x,flux_0,flux_0_var,flux_1,flux_1_var,vf_0,vf_0_var,vf_1,vf_1_var
0.0,1.0,1.7537885192549465e-32,1.0,1.3066815424265434e-34,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565116
0.01,0.9988736919194752,7.783260580752744e-8,0.9137278021585379,3.8949645843898425e-7,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.02,0.997533813671278,1.1204987063988762e-6,0.8360897549330281,5.271941776670523e-6,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.03,0.9960062615623824,5.1121352560757905e-6,0.7662023930887621,2.2629830958741624e-5,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.04,0.9943140558671131,1.4583669636051962e-5,0.7032747671444759,6.078202856294292e-5,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.05,0.9924776612404429,3.2187547611640585e-5,0.6465984723939254,0.000126398516152527,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.06,0.9905152705409129,6.0430144835951916e-5,0.5955387909253221,0.0002237565940762192,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.07,0.9884430563967899,0.00010151492104116694,0.5495268172001754,0.0003546893846452303,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.08,0.9862753943125937,0.00015726205449075994,0.5080524535051978,0.0005188853719788135,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.09,0.984025060646072,0.0002290797008535275,0.4706581753341926,0.0007143334109112181,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.1,0.9817034083793863,0.00031796898510187785,0.43693347875831035,0.0009377949339114004,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.11,0.9793205232535305,0.00042454997660241545,0.40650993233442945,0.0011852401868920409,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.12,0.976885362525888,0.0005490996791158182,0.3790567652818092,0.0014522192204668362,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.13,0.9744058783401955,0.0006915958352723872,0.3542769316978056,0.001734158461810863,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.14,0.9718891274618584,0.0008517623585331855,0.33190359763305155,0.0020265849557474136,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.15,0.9693413689242992,0.001029113658877191,0.3116970040325753,0.0023252860874542706,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.16,0.9667681509506766,0.0012229961668908207,0.2934416639831331,0.002626414949219693,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.17,0.9641743883557465,0.001432626093407129,0.2769438574839836,0.002926551894908574,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.18,0.9615644314930863,0.0016571229697101742,0.2620293911620264,0.003222732133988759,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.19,0.9589421276895521,0.0018955388573121256,0.24854159405414658,0.0035124480101962957,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.2,0.9563108760009882,0.0021468833416540246,0.23633952384306733,0.0037936332247651655,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.21,0.9536736760275963,0.0024101445643574817,0.2252963608118715,0.00406463489391591,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.22,0.9510331714436693,0.002684306628710609,0.2152979693241932,0.0043241780773102065,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.23,0.9483916888221128,0.0029683637511979284,0.20624160888326792,0.004571326324420294,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.24,0.9457512722689069,0.0032613315414715244,0.19803477880926848,0.004805440871550385,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.25,0.9431137143247545,0.0035622557839359624,0.19059418233225162,0.005026140376876723,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.26,0.9404805835402831,0.0038702190730809712,0.1838447974549122,0.005233262487859987,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.27,0.9378532490857724,0.004184345626821456,0.1777190433191602,0.005426828074180477,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.28,0.9352329027165143,0.0045038045708756394,0.1721560320343822,0.005607008608695578,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.29,0.9326205783793813,0.004827811955011906,0.16710089701130892,0.0057740969187636505,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.3,0.9300171697148492,0.00515563173041187,0.16250418981009843,0.005928481342656275,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.31,0.9274234456808201,0.005486575887433795,0.1583213383683603,0.006070623195226464,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.32,0.9248400644997715,0.00582000392531413,0.15451216023713407,0.006201037360520028,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.33,0.9222675861090072,0.006155321800116568,0.15104042513103424,0.006320275775959694,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.34,0.9197064832740554,0.00649198047463446,0.14787346170250262,0.006428913544495111,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.35,0.9171571515080702,0.006829474173938581,0.14498180398797125,0.006527537400886496,0.8468968466942275,0.025002334568565113,0.1531031533057704,0.025002334568565113
0.36,0.9146199179245604,0.00716733843272427,0.14233887345305637,0.0066167362607456315,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.37,0.9120950491371944,0.0075051480053792705,0.13992069299129134,0.006697093592002905,0.8468968466942275,0.025002334568565113,0.1531031533057704,0.025002334568565113
0.38,0.9095827583080276,0.007842514696566317,0.13770562961229682,0.006769181364995203,0.8468968466942275,0.025002334568565113,0.1531031533057704,0.025002334568565113
0.39,0.9070832114347672,0.008179085158891002,0.13567416289557113,0.006833555357072912,0.8468968466942275,0.025002334568565113,0.1531031533057704,0.025002334568565113
0.4,0.9045965329579612,0.008514538694687912,0.13380867659015225,0.006890751608815784,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565113
0.41,0.902122810760327,0.008848585090918137,0.1320932710118424,0.006941283850430004,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.42,0.899662100622778,0.009180962509429553,0.13051359413252636,0.006985641737850572,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.43,0.8972144301948112,0.009511435449227479,0.12905668947307622,0.007024289757943983,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.44,0.8947798025307954,0.009839792792769232,0.12771085910552976,0.007057666680671286,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.45,0.8923581992382926,0.010165845944503834,0.1264655402440097,0.007086185452949277,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.46,0.8899495832795411,0.01048942706679219,0.12531119405931646,0.007110233444170391,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.47,0.8875539014629883,0.010810387415865048,0.1242392054915583,0.0071301729669245445,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.48,0.8851710866577911,0.011128595778502321,0.12324179295987016,0.007146342008466687,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.49,0.8828010597608204,0.011443937008571574,0.12231192698021269,0.007159055118990404,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.5,0.880443731442421,0.011756310661371163,0.12144325680245643,0.007168604411917565,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.51,0.8780990036946081,0.012065629722824819,0.12063004426790903,0.0071752606393132795,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.52,0.8757667712027674,0.01237181942991721,0.1198671041690833,0.0071792743123222326,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.53,0.8734469225596961,0.012674816178300546,0.11914975046590394,0.007180876842309324,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.54,0.8711393413389485,0.012974566512702691,0.11847374777749324,0.007180281683294033,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.55,0.8688439070425479,0.013271026195596497,0.11783526762701167,0.007177685460410834,0.8468968466942275,0.025002334568565116,0.1531031533057704,0.025002334568565113
0.56,0.866560495936588,0.013564159349519421,0.11723084896940053,0.007173269072594865,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.57,0.8642889817868586,0.01385393766844734,0.11665736257892373,0.007167198760582729,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.025002334568565113
0.58,0.8620292365052912,0.014140339693696446,0.11611197891567163,0.007159627133710001,0.8468968466942275,0.025002334568565116,0.1531031533057704,0.025002334568565113
0.59,0.8597811307169199,0.01442335014994979,0.11559213912818789,0.007150694150952375,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.02500233456856511
0.6,0.8575445342560247,0.014702959337161689,0.11509552888350934,0.007140528053259722,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.02500233456856511
0.61,0.8553193165992192,0.014979162574268253,0.11462005474663231,0.007129246245526326,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.02500233456856511
0.62,0.8531053472423991,0.01525195969083559,0.11416382285900552,0.007116956127576337,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.02500233456856511
0.63,0.8509024960277533,0.015521354562978406,0.11372511969049798,0.007103755874361233,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.02500233456856511
0.64,0.8487106334264242,0.015787354690095186,0.11330239466162108,0.007089735166201176,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.02500233456856511
0.65,0.8465296307817317,0.016049970809178457,0.1128942444528847,0.0070749758703875605,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.66,0.8443593605173928,0.016309216543666568,0.11249939883626942,0.007059552675825817,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.02500233456856511
0.67,0.8421996963147544,0.016565108084009683,0.11211670788006145,0.0070435336826526005,0.8468968466942275,0.025002334568565116,0.15310315330577037,0.02500233456856511
0.68,0.8400505132625214,0.016817663897318678,0.11174513039297518,0.00702698094894125,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.69,0.8379116879821469,0.01706690446365799,0.11138372348667404,0.0070099509967115545,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.7,0.835783098731787,0.017312852036720353,0.11103163314769074,0.006992495279519202,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.71,0.8336646254912061,0.017555530426798836,0.11068808572046449,0.0069746606139066995,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.72,0.8315561500300539,0.017794964804126574,0.1103523802128461,0.006956489576978332,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.73,0.8294575559613252,0.01803118152081224,0.11002388134411037,0.006938020872312738,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.74,0.8273687287820005,0.01826420794973937,0.10970201326335417,0.006919289666358465,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.75,0.8252895559022828,0.018494072338929083,0.10938625387321775,0.006900327897378518,0.8468968466942275,0.025002334568565113,0.1531031533057704,0.025002334568565113
0.76,0.8232199266649952,0.018720803679993604,0.10907612970020952,0.006881164558917041,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.77,0.8211597323562978,0.01894443158941595,0.1087712112586654,0.006861825959664528,0.8468968466942275,0.025002334568565113,0.1531031533057704,0.025002334568565113
0.78,0.8191088662088968,0.01916498620150663,0.10847110886053611,0.006842335961496872,0.8468968466942275,0.025002334568565113,0.1531031533057704,0.025002334568565113
0.79,0.8170672233988062,0.019382498071975902,0.10817546882785514,0.0068227161973603324,0.8468968466942275,0.025002334568565113,0.1531031533057704,0.025002334568565113
0.8,0.8150347010363842,0.019596998091160743,0.10788397006894723,0.006802986270573775,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.81,0.8130111981526661,0.01980851740602181,0.10759632098322051,0.006783163937016208,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.82,0.8109966156814631,0.020017087350106086,0.10731225666281317,0.006763265271572776,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.83,0.8089908564380441,0.02022273938074218,0.10703153636243937,0.006743304820115652,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.84,0.8069938250947849,0.020425505022795727,0.1067539412115714,0.006723295738205581,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.85,0.8050054281544219,0.02062541581837771,0.1064792721455956,0.006703249917615008,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.86,0.8030255739211978,0.02082250328194848,0.10620734803484949,0.006683178101690081,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.025002334568565116
0.87,0.8010541724704193,0.021016798860311006,0.10593800399249392,0.006663089990491893,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.88,0.7990911356166117,0.021208333897034595,0.10567108984401158,0.006642994336585505,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.89,0.7971363768806915,0.021397139600887405,0.10540646874278765,0.006622899032275856,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.9,0.7951898114563468,0.02158324701790005,0.10514401591775062,0.006602811189026788,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.91,0.7932513561758479,0.021766687006712387,0.10488361754036739,0.006582737209739732,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.92,0.7913209294755325,0.02194749021688761,0.10462516969956313,0.006562682854513729,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.93,0.7893984513610598,0.022125687069911044,0.10436857747419184,0.006542653300456433,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
0.94,0.787483843372669,0.02230130774261102,0.10411375409372066,0.006522653196069894,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
0.95,0.7855770285504872,0.022474382152766866,0.10386062017866893,0.006502686710688613,0.8468968466942275,0.02500233456856511,0.1531031533057704,0.025002334568565116
0.96,0.7836779314000616,0.022644939946693126,0.1036091030531705,0.0064827575794099025,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
0.97,0.7817864778581902,0.022813010488598986,0.1033591361227491,0.006462869143916157,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
0.98,0.7799025952590805,0.022978622851554973,0.10311065831108367,0.00644302438955709,0.8468968466942275,0.02500233456856511,0.1531031533057704,0.025002334568565116
0.99,0.7780262123009923,0.023141805809901907,0.1028636135501095,0.006423225979025777,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.0,0.7761572590133684,0.023302587832957997,0.10261795031837002,0.006403476282935246,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.01,0.7742956667244867,0.0234609970798939,0.10237362122301341,0.006383777407575168,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.02,0.7724413680297167,0.02361706139565676,0.10213058262126275,0.006364131220102594,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.03,0.7705942967603782,0.023770808307834127,0.10188879427760254,0.006344539371400317,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.04,0.7687543879532402,0.023922265024360984,0.10164821905327091,0.006325003316813593,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.05,0.7669215778206783,0.024071458431982048,0.1014088226249898,0.006305524334959604,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.06,0.7650958037214755,0.02421841509538684,0.1011705732301442,0.006286103544784406,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.07,0.7632770041323576,0.024363161256947794,0.10093344143589045,0.006266741921028459,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.08,0.761465118620147,0.024505722836994297,0.100697399929934,0.006247440308246123,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.09,0.759660087814639,0.02464612543456356,0.10046242333089818,0.0062281994335121,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.1,0.7578618533821481,0.02478439432857433,0.10022848801644033,0.006209019917935294,0.8468968466942275,0.02500233456856511,0.1531031533057704,0.025002334568565116
1.11,0.7560703579997681,0.024920554479375377,0.09999557196742768,0.006189902287090674,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.12,0.7542855453302273,0.02505463053062503,0.09976365462663939,0.0061708469804680624,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.13,0.752507359997512,0.02518664681146115,0.09953271677063871,0.006151854360029851,0.8468968466942275,0.025002334568565113,0.15310315330577037,0.02500233456856511
1.14,0.7507357475630698,0.025316627338927332,0.09930274039355094,0.00613292471795905,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.15,0.7489706545027109,0.025444595820620766,0.09907370860162949,0.006114058283674037,0.8468968466942275,0.02500233456856511,0.1531031533057704,0.025002334568565116
1.16,0.7472120281840962,0.02557057565753519,0.0988456055175876,0.006095255230176556,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.17,0.7454598168449237,0.025694589947071238,0.09861841619377885,0.006076515679797042,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.18,0.7437139695716375,0.02581666148618962,0.09839212653338326,0.006057839709391435,0.8468968466942275,0.02500233456856511,0.1531031533057704,0.025002334568565116
1.19,0.7419744362788327,0.025936812774687703,0.09816672321884752,0.006039227355042021,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.2,0.7402411676891453,0.026055066018580056,0.09794219364690174,0.006020678616308298,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.21,0.7385141153137859,0.02617144313356277,0.09771852586952257,0.006002193460069686,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.22,0.7367932314336195,0.026285965748550986,0.09749570854029803,0.005983771823998815,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.23,0.7350784690807676,0.026398655209271652,0.09727373086567101,0.005965413619699787,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.24,0.7333697820207224,0.02650953258189967,0.09705258256061661,0.0059471187355430435,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.25,0.7316671247350404,0.026618618656728526,0.09683225380833228,0.005928887039225441,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.26,0.7299704524044619,0.02672593395186299,0.09661273522356534,0.005910718380081016,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.27,0.7282797208925679,0.026831498716924952,0.09639401781923464,0.0058926125911669,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.28,0.7265948867298734,0.026935332936766615,0.09617609297605191,0.005874569491144857,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.29,0.7249159070984121,0.027037456335181783,0.0959589524148436,0.005856588885977832,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.3,0.7232427398167166,0.02713788837860837,0.09574258817133842,0.005838670570459647,0.8468968466942275,0.02500233456856511,0.1531031533057704,0.025002334568565116
1.31,0.7215753433253047,0.027236648279820974,0.09552699257318309,0.005820814329593365,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.32,0.7199136766724935,0.027333755001600943,0.09531215821897969,0.0058030199398322775,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.33,0.7182576995006891,0.027429227260387316,0.09509807795916067,0.0057852871701975835,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.025002334568565116
1.34,0.7166073720330202,0.027523083529900298,0.09488474487853264,0.0057676157832836274,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.35,0.7149626550604086,0.027615342044733815,0.09467215228032617,0.00575000553616225,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
