x,flux_0,flux_1,vf_0,vf_1
0.0,1.0000000000000002,1.0,0.5,0.5
0.01,0.9989032349802723,0.9131838516846238,0.5000173391673367,0.4999826608326633
0.02,0.9976445690253669,0.834065080103577,0.5000346098510502,0.49996539014894986
0.03,0.9962391560321359,0.7619607489843614,0.5000518123216264,0.4999481876783735
0.04,0.994700801890801,0.6962485147933087,0.5000689468484838,0.4999310531515162
0.05,0.9930420841913754,0.6363612507970681,0.5000860136999759,0.4999139863000242
0.06,0.9912744613003488,0.5817821480827519,0.5001030131433964,0.49989698685660355
0.07,0.9894083717515554,0.5320402512212274,0.5001199454449841,0.499880054555016
0.08,0.9874533248113287,0.4867063900121806,0.5001368108699251,0.4998631891300749
0.09,0.9854179830016457,0.44538947217067026,0.5001536096823591,0.49984639031764094
0.1,0.9833102372954009,0.40773310493246795,0.5001703421453818,0.49982965785461814
0.11,0.9811372756345038,0.3734125163964829,0.5001870085210504,0.49981299147894964
0.12,0.9789056453637398,0.34213175001152885,0.5002036090703864,0.4997963909296136
0.13,0.9766213101206523,0.31362110797395887,0.5002201440533809,0.49977985594661906
0.14,0.9742897016737576,0.28763482145266334,0.500236613728998,0.49976338627100203
0.15,0.9719157671576625,0.2639489275171482,0.5002530183551788,0.4997469816448213
0.16,0.9695040121138372,0.24235933442982308,0.5002693581888455,0.4997306418111544
0.17,0.9670585397094905,0.22268005859063902,0.5002856334859063,0.4997143665140937
0.18,0.9645830864739274,0.20474161790488196,0.5003018445012578,0.4996981554987422
0.19,0.9620810548616264,0.18838956769605655,0.5003179914887903,0.49968200851120975
0.2,0.9595555429238157,0.17348316651705592,0.500334074701391,0.499665925298609
0.21,0.9569842159339575,0.15986651121923098,0.500384322347811,0.499615677652189
0.22,0.9543947122284824,0.1474526178990332,0.5004343717663543,0.4995656282336457
0.23,0.9517894152427999,0.13613482740609018,0.5004842237390337,0.4995157762609663
0.24,0.949170493933557,0.1258159396841377,0.5005338790447766,0.4994661209552234
0.25,0.9465399218553813,0.11640737492451644,0.5005833384594376,0.4994166615405624
0.26,0.9438994945416364,0.10782840910629388,0.5006326027558107,0.4993673972441893
0.27,0.9412508453399799,0.10000547732693153,0.500681672703641,0.49931832729635905
0.28,0.9385954598400877,0.09287153891228463,0.500730549069637,0.49926945093036307
0.29,0.9359346890187165,0.08636549882772593,0.5007792326174825,0.49922076738251747
0.3,0.9332697612161344,0.08043168039793502,0.5008277241078487,0.4991722758921513
0.31,0.930601793047817,0.07501934478557543,0.5008760242984058,0.4991239757015941
0.32,0.9279317993460664,0.07008225308250907,0.5009241339438352,0.49907586605616483
0.33,0.9252607022177958,0.06557826723485997,0.5009720537958406,0.4990279462041594
0.34,0.9225893392970546,0.061468986358297895,0.5010197846031607,0.49898021539683934
0.35,0.9199184712638834,0.057719415305264234,0.50106732711158,0.49893267288841997
0.36,0.9172487886947229,0.054297662624141235,0.5011146820639413,0.4988853179360587
0.37,0.9145809183038033,0.05117466530396746,0.5011618502001565,0.4988381497998435
0.38,0.9119154286296551,0.04832393792941939,0.5012088322572188,0.4987911677427812
0.39,0.9092528352160703,0.04572134408140343,0.5012556289692138,0.49874437103078617
0.4,0.9065936053324586,0.04334488801055041,0.5013022410673311,0.4986977589326689
0.41,0.9039099573881233,0.0411453784048856,0.5013827485394584,0.4986172514605416
0.42,0.9012307731146986,0.03913645399984073,0.5014629385898137,0.4985370614101862
0.43,0.8985564079643619,0.03730122858833874,0.5015428124699157,0.49845718753008433
0.44,0.8958871830010704,0.035624312963640964,0.501622371426348,0.498377628573652
0.45,0.8932233879732736,0.03409168221457592,0.5017016167007797,0.4982983832992202
0.46,0.890565284113092,0.03269055478378572,0.5017805495299843,0.4982194504700157
0.47,0.8879131066863012,0.031409282246391286,0.5018591711458587,0.49814082885414135
