x,phi(x)
0.0000000e+00,1.3863775e+00
5.0000000e-03,1.3753644e+00
1.0000000e-02,1.3645118e+00
1.5000000e-02,1.3538172e+00
2.0000000e-02,1.3432784e+00
2.5000000e-02,1.3328928e+00
3.0000000e-02,1.3226583e+00
3.5000000e-02,1.3125724e+00
4.0000000e-02,1.3026329e+00
4.5000000e-02,1.2928375e+00
5.0000000e-02,1.2831842e+00
5.5000000e-02,1.2736707e+00
6.0000000e-02,1.2642948e+00
6.5000000e-02,1.2550546e+00
7.0000000e-02,1.2459479e+00
7.5000000e-02,1.2369727e+00
8.0000000e-02,1.2281269e+00
8.5000000e-02,1.2194087e+00
9.0000000e-02,1.2108161e+00
9.5000000e-02,1.2023471e+00
1.0000000e-01,1.1940000e+00
1.0500000e-01,1.1857727e+00
1.1000000e-01,1.1776636e+00
1.1500000e-01,1.1696707e+00
1.2000000e-01,1.1617924e+00
1.2500000e-01,1.1540269e+00
1.3000000e-01,1.1463725e+00
1.3500000e-01,1.1388274e+00
1.4000000e-01,1.1313901e+00
1.4500000e-01,1.1240588e+00
1.5000000e-01,1.1168320e+00
1.5500000e-01,1.1097081e+00
1.6000000e-01,1.1026855e+00
1.6500000e-01,1.0957627e+00
1.7000000e-01,1.0889381e+00
1.7500000e-01,1.0822103e+00
1.8000000e-01,1.0755778e+00
1.8500000e-01,1.0690391e+00
1.9000000e-01,1.0625928e+00
1.9500000e-01,1.0562376e+00
2.0000000e-01,1.0499719e+00
2.0500000e-01,1.0437945e+00
2.1000000e-01,1.0377041e+00
2.1500000e-01,1.0316992e+00
2.2000000e-01,1.0257786e+00
2.2500000e-01,1.0199411e+00
2.3000000e-01,1.0141853e+00
2.3500000e-01,1.0085100e+00
2.4000000e-01,1.0029140e+00
2.4500000e-01,9.9739613e-01
2.5000000e-01,9.9195513e-01
2.5500000e-01,9.8658986e-01
2.6000000e-01,9.8129917e-01
2.6500000e-01,9.7608194e-01
2.7000000e-01,9.7093705e-01
2.7500000e-01,9.6586339e-01
2.8000000e-01,9.6085990e-01
2.8500000e-01,9.5592549e-01
2.9000000e-01,9.5105914e-01
2.9500000e-01,9.4625979e-01
3.0000000e-01,9.4152645e-01
3.0500000e-01,9.3685810e-01
3.1000000e-01,9.3225377e-01
3.1500000e-01,9.2771248e-01
3.2000000e-01,9.2323327e-01
3.2500000e-01,9.1881521e-01
3.3000000e-01,9.1445737e-01
3.3500000e-01,9.1015884e-01
3.4000000e-01,9.0591872e-01
3.4500000e-01,9.0173613e-01
3.5000000e-01,8.9761019e-01
3.5500000e-01,8.9354004e-01
3.6000000e-01,8.8952485e-01
3.6500000e-01,8.8556379e-01
