x,phi(x)
0.0000000e+00,1.0000000e+00
5.0000000e-03,9.8669008e-01
1.0000000e-02,9.7395499e-01
1.5000000e-02,9.6176831e-01
2.0000000e-02,9.5010486e-01
2.5000000e-02,9.3894061e-01
3.0000000e-02,9.2825262e-01
3.5000000e-02,9.1801903e-01
4.0000000e-02,9.0821897e-01
4.5000000e-02,8.9883254e-01
5.0000000e-02,8.8984075e-01
5.5000000e-02,8.8122548e-01
6.0000000e-02,8.7296945e-01
6.5000000e-02,8.6505618e-01
7.0000000e-02,8.5746993e-01
7.5000000e-02,8.5019571e-01
8.0000000e-02,8.4321919e-01
8.5000000e-02,8.3652673e-01
9.0000000e-02,8.3010529e-01
9.5000000e-02,8.2394245e-01
1.0000000e-01,8.1802635e-01
1.0500000e-01,8.1234568e-01
1.1000000e-01,8.0688965e-01
1.1500000e-01,8.0164797e-01
1.2000000e-01,7.9661081e-01
1.2500000e-01,7.9176881e-01
1.3000000e-01,7.8711302e-01
1.3500000e-01,7.8263493e-01
1.4000000e-01,7.7832640e-01
1.4500000e-01,7.7417967e-01
1.5000000e-01,7.7018734e-01
1.5500000e-01,7.6634234e-01
1.6000000e-01,7.6263794e-01
1.6500000e-01,7.5906770e-01
1.7000000e-01,7.5562551e-01
1.7500000e-01,7.5230550e-01
1.8000000e-01,7.4910210e-01
1.8500000e-01,7.4600999e-01
1.9000000e-01,7.4302408e-01
1.9500000e-01,7.4013953e-01
2.0000000e-01,7.3735171e-01
2.0500000e-01,7.3465623e-01
2.1000000e-01,7.3204886e-01
2.1500000e-01,7.2952561e-01
2.2000000e-01,7.2708263e-01
2.2500000e-01,7.2471627e-01
2.3000000e-01,7.2242306e-01
2.3500000e-01,7.2019967e-01
2.4000000e-01,7.1804292e-01
2.4500000e-01,7.1594980e-01
2.5000000e-01,7.1391740e-01
2.5500000e-01,7.1194299e-01
2.6000000e-01,7.1002393e-01
2.6500000e-01,7.0815772e-01
2.7000000e-01,7.0634196e-01
2.7500000e-01,7.0457438e-01
2.8000000e-01,7.0285280e-01
2.8500000e-01,7.0117514e-01
2.9000000e-01,6.9953943e-01
2.9500000e-01,6.9794377e-01
3.0000000e-01,6.9638636e-01
3.0500000e-01,6.9486548e-01
3.1000000e-01,6.9337950e-01
3.1500000e-01,6.9192684e-01
3.2000000e-01,6.9050601e-01
3.2500000e-01,6.8911559e-01
3.3000000e-01,6.8775423e-01
3.3500000e-01,6.8642061e-01
3.4000000e-01,6.8511351e-01
3.4500000e-01,6.8383175e-01
3.5000000e-01,6.8257420e-01
3.5500000e-01,6.8133978e-01
3.6000000e-01,6.8012748e-01
3.6500000e-01,6.7893631e-01
3.7000000e-01,6.7776534e-01
3.7500000e-01,6.7661368e-01
3.8000000e-01,6.7548049e-01
3.8500000e-01,6.7436495e-01
3.9000000e-01,6.7326629e-01
3.9500000e-01,6.7218378e-01
4.0000000e-01,6.7111670e-01
4.0500000e-01,6.7006440e-01
4.1000000e-01,6.6902622e-01
4.1500000e-01,6.6800156e-01
4.2000000e-01,6.6698984e-01
4.2500000e-01,6.6599050e-01
4.3000000e-01,6.6500301e-01
4.3500000e-01,6.6402686e-01
4.4000000e-01,6.6306157e-01
4.4500000e-01,6.6210669e-01
4.5000000e-01,6.6116176e-01
4.5500000e-01,6.6022638e-01
4.6000000e-01,6.5930013e-01
4.6500000e-01,6.5838265e-01
4.7000000e-01,6.5747356e-01
4.7500000e-01,6.5657253e-01
4.8000000e-01,6.5567920e-01
4.8500000e-01,6.5479328e-01
4.9000000e-01,6.5391446e-01
4.9500000e-01,6.5304245e-01
5.0000000e-01,6.5217698e-01
5.0500000e-01,6.5131778e-01
5.1000000e-01,6.5046460e-01
5.1500000e-01,6.4961721e-01
5.2000000e-01,6.4877537e-01
5.2500000e-01,6.4793888e-01
5.3000000e-01,6.4710752e-01
5.3500000e-01,6.4628109e-01
5.4000000e-01,6.4545942e-01
5.4500000e-01,6.4464230e-01
5.5000000e-01,6.4382958e-01
5.5500000e-01,6.4302110e-01
5.6000000e-01,6.4221668e-01
5.6500000e-01,6.4141619e-01
5.7000000e-01,6.4061949e-01
5.7500000e-01,6.3982642e-01
5.8000000e-01,6.3903688e-01
5.8500000e-01,6.3825072e-01
5.9000000e-01,6.3746784e-01
5.9500000e-01,6.3668813e-01
6.0000000e-01,6.3591146e-01
6.0500000e-01,6.3513775e-01
6.1000000e-01,6.3436689e-01
6.1500000e-01,6.3359878e-01
6.2000000e-01,6.3283335e-01
6.2500000e-01,6.3207050e-01
6.3000000e-01,6.3131016e-01
6.3500000e-01,6.3055224e-01
6.4000000e-01,6.2979667e-01
6.4500000e-01,6.2904338e-01
6.5000000e-01,6.2829230e-01
6.5500000e-01,6.2754338e-01
6.6000000e-01,6.2679654e-01
6.6500000e-01,6.2605172e-01
6.7000000e-01,6.2530888e-01
6.7500000e-01,6.2456796e-01
6.8000000e-01,6.2382890e-01
6.8500000e-01,6.2309167e-01
6.9000000e-01,6.2235620e-01
6.9500000e-01,6.2162246e-01
7.0000000e-01,6.2089041e-01
7.0500000e-01,6.2015999e-01
7.1000000e-01,6.1943119e-01
