x,p2(x)
0.0000000e+00,5.0000000e-01
5.0000000e-03,4.9999839e-01
1.0000000e-02,4.9999359e-01
1.5000000e-02,4.9998564e-01
2.0000000e-02,4.9997456e-01
2.5000000e-02,4.9996040e-01
3.0000000e-02,4.9994318e-01
3.5000000e-02,4.9992294e-01
4.0000000e-02,4.9989971e-01
4.5000000e-02,4.9987352e-01
5.0000000e-02,4.9984440e-01
5.5000000e-02,4.9981238e-01
6.0000000e-02,4.9977749e-01
6.5000000e-02,4.9973977e-01
7.0000000e-02,4.9969923e-01
7.5000000e-02,4.9965592e-01
8.0000000e-02,4.9960984e-01
8.5000000e-02,4.9956105e-01
9.0000000e-02,4.9950955e-01
9.5000000e-02,4.9945538e-01
1.0000000e-01,4.9939856e-01
1.0500000e-01,4.9933912e-01
1.1000000e-01,4.9927708e-01
1.1500000e-01,4.9921248e-01
1.2000000e-01,4.9914532e-01
1.2500000e-01,4.9907565e-01
1.3000000e-01,4.9900348e-01
1.3500000e-01,4.9892883e-01
1.4000000e-01,4.9885173e-01
1.4500000e-01,4.9877220e-01
1.5000000e-01,4.9869026e-01
1.5500000e-01,4.9860594e-01
1.6000000e-01,4.9851926e-01
1.6500000e-01,4.9843023e-01
1.7000000e-01,4.9833888e-01
1.7500000e-01,4.9824524e-01
1.8000000e-01,4.9814931e-01
1.8500000e-01,4.9805112e-01
1.9000000e-01,4.9795070e-01
1.9500000e-01,4.9784805e-01
2.0000000e-01,4.9774321e-01
2.0500000e-01,4.9763618e-01
2.1000000e-01,4.9752699e-01
2.1500000e-01,4.9741565e-01
2.2000000e-01,4.9730219e-01
2.2500000e-01,4.9718662e-01
2.3000000e-01,4.9706896e-01
2.3500000e-01,4.9694923e-01
2.4000000e-01,4.9682744e-01
2.4500000e-01,4.9670361e-01
2.5000000e-01,4.9657777e-01
2.5500000e-01,4.9644991e-01
2.6000000e-01,4.9632007e-01
2.6500000e-01,4.9618825e-01
2.7000000e-01,4.9605448e-01
2.7500000e-01,4.9591876e-01
2.8000000e-01,4.9578112e-01
2.8500000e-01,4.9564157e-01
2.9000000e-01,4.9550012e-01
2.9500000e-01,4.9535679e-01
3.0000000e-01,4.9521159e-01
3.0500000e-01,4.9506454e-01
3.1000000e-01,4.9491566e-01
3.1500000e-01,4.9476495e-01
3.2000000e-01,4.9461243e-01
3.2500000e-01,4.9445812e-01
3.3000000e-01,4.9430202e-01
3.3500000e-01,4.9414416e-01
3.4000000e-01,4.9398454e-01
3.4500000e-01,4.9382317e-01
3.5000000e-01,4.9366008e-01
3.5500000e-01,4.9349527e-01
3.6000000e-01,4.9332876e-01
3.6500000e-01,4.9316055e-01
3.7000000e-01,4.9299066e-01
3.7500000e-01,4.9281911e-01
3.8000000e-01,4.9264590e-01
3.8500000e-01,4.9247105e-01
3.9000000e-01,4.9229456e-01
3.9500000e-01,4.9211646e-01
4.0000000e-01,4.9193674e-01
4.0500000e-01,4.9175543e-01
4.1000000e-01,4.9157253e-01
4.1500000e-01,4.9138806e-01
4.2000000e-01,4.9120202e-01
4.2500000e-01,4.9101442e-01
4.3000000e-01,4.9082529e-01
4.3500000e-01,4.9063462e-01
4.4000000e-01,4.9044242e-01
4.4500000e-01,4.9024872e-01
4.5000000e-01,4.9005351e-01
