x,phi2(x)
0.0000000e+00,1.0000000e+00
5.0000000e-03,9.5559846e-01
1.0000000e-02,9.1323807e-01
1.5000000e-02,8.7282492e-01
2.0000000e-02,8.3426942e-01
2.5000000e-02,7.9748609e-01
3.0000000e-02,7.6239339e-01
3.5000000e-02,7.2891354e-01
4.0000000e-02,6.9697233e-01
4.5000000e-02,6.6649896e-01
5.0000000e-02,6.3742590e-01
5.5000000e-02,6.0968872e-01
6.0000000e-02,5.8322595e-01
6.5000000e-02,5.5797896e-01
7.0000000e-02,5.3389182e-01
7.5000000e-02,5.1091114e-01
8.0000000e-02,4.8898603e-01
8.5000000e-02,4.6806792e-01
9.0000000e-02,4.4811048e-01
9.5000000e-02,4.2906951e-01
1.0000000e-01,4.1090284e-01
1.0500000e-01,3.9357024e-01
1.1000000e-01,3.7703334e-01
1.1500000e-01,3.6125553e-01
1.2000000e-01,3.4620188e-01
1.2500000e-01,3.3183908e-01
1.3000000e-01,3.1813534e-01
1.3500000e-01,3.0506034e-01
1.4000000e-01,2.9258515e-01
1.4500000e-01,2.8068218e-01
1.5000000e-01,2.6932509e-01
1.5500000e-01,2.5848877e-01
1.6000000e-01,2.4814927e-01
1.6500000e-01,2.3828372e-01
1.7000000e-01,2.2887032e-01
1.7500000e-01,2.1988827e-01
1.8000000e-01,2.1131772e-01
1.8500000e-01,2.0313974e-01
1.9000000e-01,1.9533627e-01
1.9500000e-01,1.8789008e-01
2.0000000e-01,1.8078473e-01
2.0500000e-01,1.7400455e-01
2.1000000e-01,1.6753456e-01
2.1500000e-01,1.6136051e-01
2.2000000e-01,1.5546877e-01
2.2500000e-01,1.4984636e-01
2.3000000e-01,1.4448089e-01
2.3500000e-01,1.3936054e-01
2.4000000e-01,1.3447403e-01
2.4500000e-01,1.2981061e-01
2.5000000e-01,1.2536000e-01
2.5500000e-01,1.2111243e-01
2.6000000e-01,1.1705855e-01
2.6500000e-01,1.1318945e-01
2.7000000e-01,1.0949663e-01
2.7500000e-01,1.0597199e-01
2.8000000e-01,1.0260778e-01
2.8500000e-01,9.9396626e-02
2.9000000e-01,9.6331489e-02
2.9500000e-01,9.3405651e-02
3.0000000e-01,9.0612705e-02
3.0500000e-01,8.7946538e-02
3.1000000e-01,8.5401318e-02
3.1500000e-01,8.2971484e-02
3.2000000e-01,8.0651727e-02
3.2500000e-01,7.8436985e-02
3.3000000e-01,7.6322428e-02
3.3500000e-01,7.4303448e-02
3.4000000e-01,7.2375649e-02
3.4500000e-01,7.0534838e-02
3.5000000e-01,6.8777014e-02
3.5500000e-01,6.7098362e-02
3.6000000e-01,6.5495239e-02
3.6500000e-01,6.3964173e-02
3.7000000e-01,6.2501850e-02
3.7500000e-01,6.1105109e-02
3.8000000e-01,5.9770935e-02
3.8500000e-01,5.8496451e-02
3.9000000e-01,5.7278911e-02
3.9500000e-01,5.6115699e-02
4.0000000e-01,5.5004316e-02
4.0500000e-01,5.3942379e-02
4.1000000e-01,5.2927616e-02
4.1500000e-01,5.1957857e-02
4.2000000e-01,5.1031034e-02
4.2500000e-01,5.0145173e-02
4.3000000e-01,4.9298391e-02
4.3500000e-01,4.8488893e-02
4.4000000e-01,4.7714964e-02
4.4500000e-01,4.6974970e-02
4.5000000e-01,4.6267351e-02
4.5500000e-01,4.5590620e-02
4.6000000e-01,4.4943358e-02
4.6500000e-01,4.4324210e-02
4.7000000e-01,4.3731885e-02
4.7500000e-01,4.3165150e-02
4.8000000e-01,4.2622830e-02
4.8500000e-01,4.2103804e-02
4.9000000e-01,4.1607001e-02
4.9500000e-01,4.1131401e-02
5.0000000e-01,4.0676031e-02
5.0500000e-01,4.0239960e-02
5.1000000e-01,3.9822304e-02
5.1500000e-01,3.9422217e-02
5.2000000e-01,3.9038892e-02
5.2500000e-01,3.8671560e-02
5.3000000e-01,3.8319487e-02
5.3500000e-01,3.7981973e-02
5.4000000e-01,3.7658350e-02
5.4500000e-01,3.7347980e-02
5.5000000e-01,3.7050256e-02
5.5500000e-01,3.6764597e-02
5.6000000e-01,3.6490451e-02
5.6500000e-01,3.6227289e-02
5.7000000e-01,3.5974608e-02
5.7500000e-01,3.5731928e-02
5.8000000e-01,3.5498790e-02
5.8500000e-01,3.5274757e-02
5.9000000e-01,3.5059413e-02
5.9500000e-01,3.4852358e-02
6.0000000e-01,3.4653214e-02
6.0500000e-01,3.4461618e-02
6.1000000e-01,3.4277225e-02
6.1500000e-01,3.4099706e-02
6.2000000e-01,3.3928746e-02
6.2500000e-01,3.3764044e-02
6.3000000e-01,3.3605316e-02
6.3500000e-01,3.3452287e-02
6.4000000e-01,3.3304699e-02
6.4500000e-01,3.3162301e-02
6.5000000e-01,3.3024857e-02
6.5500000e-01,3.2892141e-02
6.6000000e-01,3.2763937e-02
6.6500000e-01,3.2640040e-02
6.7000000e-01,3.2520253e-02
6.7500000e-01,3.2404388e-02
6.8000000e-01,3.2292268e-02
6.8500000e-01,3.2183722e-02
6.9000000e-01,3.2078587e-02
6.9500000e-01,3.1976707e-02
7.0000000e-01,3.1877936e-02
7.0500000e-01,3.1782131e-02
7.1000000e-01,3.1689159e-02
7.1500000e-01,3.1598890e-02
7.2000000e-01,3.1511202e-02
7.2500000e-01,3.1425978e-02
7.3000000e-01,3.1343107e-02
7.3500000e-01,3.1262482e-02
7.4000000e-01,3.1184001e-02
7.4500000e-01,3.1107568e-02
7.5000000e-01,3.1033090e-02
7.5500000e-01,3.0960479e-02
7.6000000e-01,3.0889651e-02
7.6500000e-01,3.0820526e-02
7.7000000e-01,3.0753027e-02
7.7500000e-01,3.0687081e-02
7.8000000e-01,3.0622618e-02
7.8500000e-01,3.0559573e-02
7.9000000e-01,3.0497881e-02
7.9500000e-01,3.0437482e-02
8.0000000e-01,3.0378318e-02
8.0500000e-01,3.0320334e-02
8.1000000e-01,3.0263479e-02
8.1500000e-01,3.0207700e-02
8.2000000e-01,3.0152952e-02
8.2500000e-01,3.0099188e-02
8.3000000e-01,3.0046364e-02
8.3500000e-01,2.9994440e-02
8.4000000e-01,2.9943375e-02
8.4500000e-01,2.9893131e-02
8.5000000e-01,2.9843674e-02
8.5500000e-01,2.9794968e-02
8.6000000e-01,2.9746980e-02
8.6500000e-01,2.9699679e-02
8.7000000e-01,2.9653036e-02
8.7500000e-01,2.9607021e-02
8.8000000e-01,2.9561608e-02
8.8500000e-01,2.9516771e-02
8.9000000e-01,2.9472485e-02
8.9500000e-01,2.9428726e-02
9.0000000e-01,2.9385471e-02
9.0500000e-01,2.9342700e-02
9.1000000e-01,2.9300392e-02
9.1500000e-01,2.9258527e-02
9.2000000e-01,2.9217087e-02
9.2500000e-01,2.9176053e-02
9.3000000e-01,2.9135409e-02
9.3500000e-01,2.9095139e-02
9.4000000e-01,2.9055227e-02
9.4500000e-01,2.9015658e-02
9.5000000e-01,2.8976418e-02
9.5500000e-01,2.8937494e-02
9.6000000e-01,2.8898873e-02
9.6500000e-01,2.8860543e-02
9.7000000e-01,2.8822492e-02
9.7500000e-01,2.8784709e-02
9.8000000e-01,2.8747183e-02
9.8500000e-01,2.8709904e-02
9.9000000e-01,2.8672863e-02
9.9500000e-01,2.8636050e-02
1.0000000e+00,2.8599457e-02
1.0050000e+00,2.8563075e-02
1.0100000e+00,2.8526896e-02
1.0150000e+00,2.8490912e-02
1.0200000e+00,2.8455116e-02
1.0250000e+00,2.8419502e-02
1.0300000e+00,2.8384062e-02
1.0350000e+00,2.8348790e-02
1.0400000e+00,2.8313680e-02
1.0450000e+00,2.8278726e-02
1.0500000e+00,2.8243924e-02
1.0550000e+00,2.8209266e-02
1.0600000e+00,2.8174750e-02
1.0650000e+00,2.8140369e-02
