x,p1(x)
0.0000000e+00,5.0000000e-01
5.0000000e-03,5.0000161e-01
1.0000000e-02,5.0000641e-01
1.5000000e-02,5.0001436e-01
2.0000000e-02,5.0002544e-01
2.5000000e-02,5.0003960e-01
3.0000000e-02,5.0005682e-01
3.5000000e-02,5.0007706e-01
4.0000000e-02,5.0010029e-01
4.5000000e-02,5.0012648e-01
5.0000000e-02,5.0015560e-01
5.5000000e-02,5.0018762e-01
6.0000000e-02,5.0022251e-01
6.5000000e-02,5.0026023e-01
7.0000000e-02,5.0030077e-01
7.5000000e-02,5.0034408e-01
8.0000000e-02,5.0039016e-01
8.5000000e-02,5.0043895e-01
9.0000000e-02,5.0049045e-01
9.5000000e-02,5.0054462e-01
1.0000000e-01,5.0060144e-01
1.0500000e-01,5.0066088e-01
1.1000000e-01,5.0072292e-01
1.1500000e-01,5.0078752e-01
1.2000000e-01,5.0085468e-01
1.2500000e-01,5.0092435e-01
1.3000000e-01,5.0099652e-01
1.3500000e-01,5.0107117e-01
1.4000000e-01,5.0114827e-01
1.4500000e-01,5.0122780e-01
1.5000000e-01,5.0130974e-01
1.5500000e-01,5.0139406e-01
1.6000000e-01,5.0148074e-01
1.6500000e-01,5.0156977e-01
1.7000000e-01,5.0166112e-01
1.7500000e-01,5.0175476e-01
1.8000000e-01,5.0185069e-01
1.8500000e-01,5.0194888e-01
1.9000000e-01,5.0204930e-01
1.9500000e-01,5.0215195e-01
2.0000000e-01,5.0225679e-01
2.0500000e-01,5.0236382e-01
2.1000000e-01,5.0247301e-01
2.1500000e-01,5.0258435e-01
2.2000000e-01,5.0269781e-01
2.2500000e-01,5.0281338e-01
2.3000000e-01,5.0293104e-01
2.3500000e-01,5.0305077e-01
2.4000000e-01,5.0317256e-01
2.4500000e-01,5.0329639e-01
2.5000000e-01,5.0342223e-01
2.5500000e-01,5.0355009e-01
2.6000000e-01,5.0367993e-01
2.6500000e-01,5.0381175e-01
2.7000000e-01,5.0394552e-01
2.7500000e-01,5.0408124e-01
2.8000000e-01,5.0421888e-01
2.8500000e-01,5.0435843e-01
2.9000000e-01,5.0449988e-01
2.9500000e-01,5.0464321e-01
3.0000000e-01,5.0478841e-01
3.0500000e-01,5.0493546e-01
3.1000000e-01,5.0508434e-01
3.1500000e-01,5.0523505e-01
3.2000000e-01,5.0538757e-01
3.2500000e-01,5.0554188e-01
3.3000000e-01,5.0569798e-01
3.3500000e-01,5.0585584e-01
3.4000000e-01,5.0601546e-01
3.4500000e-01,5.0617683e-01
3.5000000e-01,5.0633992e-01
3.5500000e-01,5.0650473e-01
3.6000000e-01,5.0667124e-01
3.6500000e-01,5.0683945e-01
3.7000000e-01,5.0700934e-01
3.7500000e-01,5.0718089e-01
3.8000000e-01,5.0735410e-01
3.8500000e-01,5.0752895e-01
