x,phi2(x)
0.0000000e+00,1.0000000e+00
5.0000000e-03,9.5558460e-01
1.0000000e-02,9.1318432e-01
1.5000000e-02,8.7270763e-01
2.0000000e-02,8.3406715e-01
2.5000000e-02,7.9717949e-01
3.0000000e-02,7.6196504e-01
3.5000000e-02,7.2834780e-01
4.0000000e-02,6.9625524e-01
4.5000000e-02,6.6561810e-01
5.0000000e-02,6.3637028e-01
5.5000000e-02,6.0844870e-01
6.0000000e-02,5.8179311e-01
6.5000000e-02,5.5634603e-01
7.0000000e-02,5.3205258e-01
7.5000000e-02,5.0886035e-01
8.0000000e-02,4.8671935e-01
8.5000000e-02,4.6558184e-01
9.0000000e-02,4.4540225e-01
9.5000000e-02,4.2613707e-01
1.0000000e-01,4.0774479e-01
1.0500000e-01,3.9018577e-01
1.1000000e-01,3.7342218e-01
1.1500000e-01,3.5741789e-01
1.2000000e-01,3.4213843e-01
1.2500000e-01,3.2755089e-01
1.3000000e-01,3.1362384e-01
1.3500000e-01,3.0032731e-01
1.4000000e-01,2.8763267e-01
1.4500000e-01,2.7551258e-01
1.5000000e-01,2.6394097e-01
1.5500000e-01,2.5289293e-01
1.6000000e-01,2.4234469e-01
1.6500000e-01,2.3227356e-01
1.7000000e-01,2.2265788e-01
1.7500000e-01,2.1347698e-01
1.8000000e-01,2.0471112e-01
1.8500000e-01,1.9634146e-01
1.9000000e-01,1.8835000e-01
1.9500000e-01,1.8071960e-01
2.0000000e-01,1.7343385e-01
2.0500000e-01,1.6647711e-01
2.1000000e-01,1.5983445e-01
2.1500000e-01,1.5349161e-01
2.2000000e-01,1.4743498e-01
2.2500000e-01,1.4165158e-01
2.3000000e-01,1.3612901e-01
2.3500000e-01,1.3085542e-01
2.4000000e-01,1.2581951e-01
2.4500000e-01,1.2101050e-01
2.5000000e-01,1.1641810e-01
2.5500000e-01,1.1203247e-01
2.6000000e-01,1.0784423e-01
2.6500000e-01,1.0384443e-01
2.7000000e-01,1.0002451e-01
2.7500000e-01,9.6376304e-02
2.8000000e-01,9.2892033e-02
2.8500000e-01,8.9564254e-02
2.9000000e-01,8.6385867e-02
2.9500000e-01,8.3350095e-02
3.0000000e-01,8.0450468e-02
3.0500000e-01,7.7680810e-02
3.1000000e-01,7.5035224e-02
3.1500000e-01,7.2508084e-02
3.2000000e-01,7.0094017e-02
3.2500000e-01,6.7787893e-02
3.3000000e-01,6.5584818e-02
3.3500000e-01,6.3480118e-02
3.4000000e-01,6.1469331e-02
3.4500000e-01,5.9548198e-02
3.5000000e-01,5.7712655e-02
3.5500000e-01,5.5958821e-02
3.6000000e-01,5.4282990e-02
3.6500000e-01,5.2681626e-02
3.7000000e-01,5.1151353e-02
3.7500000e-01,4.9688949e-02
3.8000000e-01,4.8291336e-02
3.8500000e-01,4.6955579e-02
3.9000000e-01,4.5678873e-02
3.9500000e-01,4.4458543e-02
4.0000000e-01,4.3292034e-02
4.0500000e-01,4.2176906e-02
4.1000000e-01,4.1110832e-02
4.1500000e-01,4.0091590e-02
4.2000000e-01,3.9117057e-02
4.2500000e-01,3.8185209e-02
4.3000000e-01,3.7294113e-02
4.3500000e-01,3.6441921e-02
4.4000000e-01,3.5626874e-02
4.4500000e-01,3.4847289e-02
4.5000000e-01,3.4101560e-02
4.5500000e-01,3.3388155e-02
4.6000000e-01,3.2705610e-02
4.6500000e-01,3.2052530e-02
4.7000000e-01,3.1427580e-02
4.7500000e-01,3.0829488e-02
4.8000000e-01,3.0257039e-02
4.8500000e-01,2.9709072e-02
4.9000000e-01,2.9184482e-02
4.9500000e-01,2.8682209e-02
5.0000000e-01,2.8201246e-02
5.0500000e-01,2.7740630e-02
5.1000000e-01,2.7299440e-02
5.1500000e-01,2.6876798e-02
5.2000000e-01,2.6471868e-02
5.2500000e-01,2.6083848e-02
5.3000000e-01,2.5711975e-02
5.3500000e-01,2.5355520e-02
5.4000000e-01,2.5013787e-02
5.4500000e-01,2.4686112e-02
5.5000000e-01,2.4371860e-02
5.5500000e-01,2.4070425e-02
5.6000000e-01,2.3781231e-02
5.6500000e-01,2.3503725e-02
5.7000000e-01,2.3237380e-02
5.7500000e-01,2.2981693e-02
5.8000000e-01,2.2736185e-02
5.8500000e-01,2.2500397e-02
5.9000000e-01,2.2273891e-02
5.9500000e-01,2.2056251e-02
6.0000000e-01,2.1847076e-02
6.0500000e-01,2.1645987e-02
6.1000000e-01,2.1452621e-02
6.1500000e-01,2.1266629e-02
6.2000000e-01,2.1087682e-02
6.2500000e-01,2.0915463e-02
6.3000000e-01,2.0749669e-02
6.3500000e-01,2.0590014e-02
6.4000000e-01,2.0436222e-02
6.4500000e-01,2.0288031e-02
6.5000000e-01,2.0145189e-02
6.5500000e-01,2.0007457e-02
6.6000000e-01,1.9874608e-02
6.6500000e-01,1.9746422e-02
6.7000000e-01,1.9622692e-02
6.7500000e-01,1.9503219e-02
6.8000000e-01,1.9387812e-02
6.8500000e-01,1.9276292e-02
6.9000000e-01,1.9168484e-02
6.9500000e-01,1.9064225e-02
7.0000000e-01,1.8963355e-02
7.0500000e-01,1.8865725e-02
7.1000000e-01,1.8771191e-02
7.1500000e-01,1.8679615e-02
7.2000000e-01,1.8590867e-02
7.2500000e-01,1.8504822e-02
7.3000000e-01,1.8421361e-02
7.3500000e-01,1.8340369e-02
7.4000000e-01,1.8261737e-02
7.4500000e-01,1.8185362e-02
7.5000000e-01,1.8111145e-02
7.5500000e-01,1.8038990e-02
7.6000000e-01,1.7968808e-02
7.6500000e-01,1.7900513e-02
7.7000000e-01,1.7834021e-02
7.7500000e-01,1.7769254e-02
7.8000000e-01,1.7706137e-02
7.8500000e-01,1.7644598e-02
7.9000000e-01,1.7584569e-02
7.9500000e-01,1.7525984e-02
8.0000000e-01,1.7468782e-02
8.0500000e-01,1.7412902e-02
8.1000000e-01,1.7358287e-02
8.1500000e-01,1.7304884e-02
8.2000000e-01,1.7252640e-02
8.2500000e-01,1.7201506e-02
8.3000000e-01,1.7151434e-02
8.3500000e-01,1.7102380e-02
8.4000000e-01,1.7054299e-02
8.4500000e-01,1.7007152e-02
8.5000000e-01,1.6960899e-02
8.5500000e-01,1.6915501e-02
8.6000000e-01,1.6870925e-02
8.6500000e-01,1.6827134e-02
8.7000000e-01,1.6784097e-02
8.7500000e-01,1.6741782e-02
8.8000000e-01,1.6700159e-02
8.8500000e-01,1.6659200e-02
8.9000000e-01,1.6618878e-02
8.9500000e-01,1.6579167e-02
9.0000000e-01,1.6540043e-02
9.0500000e-01,1.6501480e-02
