x,phi(x)
0.0000000e+00,1.2942693e+00
5.0000000e-03,1.2877929e+00
1.0000000e-02,1.2814140e+00
1.5000000e-02,1.2751310e+00
2.0000000e-02,1.2689422e+00
2.5000000e-02,1.2628460e+00
3.0000000e-02,1.2568409e+00
3.5000000e-02,1.2509254e+00
4.0000000e-02,1.2450978e+00
4.5000000e-02,1.2393569e+00
5.0000000e-02,1.2337010e+00
5.5000000e-02,1.2281288e+00
6.0000000e-02,1.2226389e+00
6.5000000e-02,1.2172298e+00
7.0000000e-02,1.2119002e+00
7.5000000e-02,1.2066487e+00
8.0000000e-02,1.2014741e+00
8.5000000e-02,1.1963751e+00
9.0000000e-02,1.1913503e+00
9.5000000e-02,1.1863985e+00
1.0000000e-01,1.1815186e+00
1.0500000e-01,1.1767092e+00
1.1000000e-01,1.1719692e+00
1.1500000e-01,1.1672975e+00
1.2000000e-01,1.1626928e+00
1.2500000e-01,1.1581541e+00
1.3000000e-01,1.1536802e+00
1.3500000e-01,1.1492701e+00
1.4000000e-01,1.1449227e+00
1.4500000e-01,1.1406368e+00
1.5000000e-01,1.1364116e+00
1.5500000e-01,1.1322459e+00
1.6000000e-01,1.1281388e+00
1.6500000e-01,1.1240893e+00
1.7000000e-01,1.1200964e+00
1.7500000e-01,1.1161592e+00
1.8000000e-01,1.1122767e+00
1.8500000e-01,1.1084479e+00
1.9000000e-01,1.1046721e+00
1.9500000e-01,1.1009484e+00
2.0000000e-01,1.0972757e+00
2.0500000e-01,1.0936534e+00
2.1000000e-01,1.0900805e+00
2.1500000e-01,1.0865561e+00
2.2000000e-01,1.0830796e+00
2.2500000e-01,1.0796501e+00
2.3000000e-01,1.0762668e+00
2.3500000e-01,1.0729289e+00
2.4000000e-01,1.0696357e+00
2.4500000e-01,1.0663864e+00
2.5000000e-01,1.0631803e+00
2.5500000e-01,1.0600166e+00
2.6000000e-01,1.0568947e+00
2.6500000e-01,1.0538139e+00
2.7000000e-01,1.0507734e+00
2.7500000e-01,1.0477726e+00
2.8000000e-01,1.0448108e+00
2.8500000e-01,1.0418874e+00
2.9000000e-01,1.0390017e+00
2.9500000e-01,1.0361531e+00
3.0000000e-01,1.0333410e+00
3.0500000e-01,1.0305647e+00
3.1000000e-01,1.0278237e+00
3.1500000e-01,1.0251174e+00
3.2000000e-01,1.0224452e+00
3.2500000e-01,1.0198065e+00
3.3000000e-01,1.0172008e+00
3.3500000e-01,1.0146275e+00
3.4000000e-01,1.0120861e+00
3.4500000e-01,1.0095760e+00
3.5000000e-01,1.0070967e+00
3.5500000e-01,1.0046478e+00
3.6000000e-01,1.0022286e+00
3.6500000e-01,9.9983877e-01
3.7000000e-01,9.9747775e-01
3.7500000e-01,9.9514506e-01
3.8000000e-01,9.9284024e-01
3.8500000e-01,9.9056282e-01
3.9000000e-01,9.8831234e-01
3.9500000e-01,9.8608837e-01
4.0000000e-01,9.8389045e-01
4.0500000e-01,9.8171815e-01
4.1000000e-01,9.7957105e-01
4.1500000e-01,9.7744874e-01
4.2000000e-01,9.7535079e-01
4.2500000e-01,9.7327680e-01
4.3000000e-01,9.7122638e-01
4.3500000e-01,9.6919913e-01
4.4000000e-01,9.6719467e-01
4.4500000e-01,9.6521263e-01
4.5000000e-01,9.6325263e-01
4.5500000e-01,9.6131430e-01
4.6000000e-01,9.5939729e-01
4.6500000e-01,9.5750125e-01
4.7000000e-01,9.5562582e-01
4.7500000e-01,9.5377067e-01
4.8000000e-01,9.5193546e-01
4.8500000e-01,9.5011986e-01
4.9000000e-01,9.4832355e-01
4.9500000e-01,9.4654621e-01
5.0000000e-01,9.4478753e-01
5.0500000e-01,9.4304719e-01
5.1000000e-01,9.4132490e-01
5.1500000e-01,9.3962036e-01
5.2000000e-01,9.3793327e-01
5.2500000e-01,9.3626336e-01
5.3000000e-01,9.3461033e-01
5.3500000e-01,9.3297391e-01
5.4000000e-01,9.3135382e-01
5.4500000e-01,9.2974981e-01
5.5000000e-01,9.2816159e-01
5.5500000e-01,9.2658892e-01
5.6000000e-01,9.2503154e-01
5.6500000e-01,9.2348920e-01
5.7000000e-01,9.2196165e-01
5.7500000e-01,9.2044865e-01
5.8000000e-01,9.1894996e-01
5.8500000e-01,9.1746534e-01
5.9000000e-01,9.1599458e-01
5.9500000e-01,9.1453743e-01
6.0000000e-01,9.1309369e-01
6.0500000e-01,9.1166312e-01
6.1000000e-01,9.1024552e-01
6.1500000e-01,9.0884067e-01
6.2000000e-01,9.0744837e-01
6.2500000e-01,9.0606841e-01
6.3000000e-01,9.0470059e-01
6.3500000e-01,9.0334472e-01
6.4000000e-01,9.0200059e-01
6.4500000e-01,9.0066803e-01
6.5000000e-01,8.9934683e-01
6.5500000e-01,8.9803682e-01
6.6000000e-01,8.9673782e-01
6.6500000e-01,8.9544965e-01
6.7000000e-01,8.9417212e-01
6.7500000e-01,8.9290508e-01
6.8000000e-01,8.9164835e-01
6.8500000e-01,8.9040177e-01
6.9000000e-01,8.8916516e-01
6.9500000e-01,8.8793838e-01
7.0000000e-01,8.8672126e-01
7.0500000e-01,8.8551365e-01
7.1000000e-01,8.8431539e-01
7.1500000e-01,8.8312633e-01
7.2000000e-01,8.8194633e-01
7.2500000e-01,8.8077524e-01
7.3000000e-01,8.7961292e-01
7.3500000e-01,8.7845923e-01
7.4000000e-01,8.7731403e-01
7.4500000e-01,8.7617719e-01
7.5000000e-01,8.7504857e-01
7.5500000e-01,8.7392803e-01
7.6000000e-01,8.7281546e-01
7.6500000e-01,8.7171073e-01
7.7000000e-01,8.7061370e-01
7.7500000e-01,8.6952427e-01
7.8000000e-01,8.6844230e-01
7.8500000e-01,8.6736768e-01
7.9000000e-01,8.6630030e-01
7.9500000e-01,8.6524004e-01
8.0000000e-01,8.6418678e-01
8.0500000e-01,8.6314042e-01
8.1000000e-01,8.6210084e-01
8.1500000e-01,8.6106795e-01
8.2000000e-01,8.6004164e-01
8.2500000e-01,8.5902180e-01
8.3000000e-01,8.5800832e-01
8.3500000e-01,8.5700113e-01
8.4000000e-01,8.5600010e-01
8.4500000e-01,8.5500515e-01
8.5000000e-01,8.5401619e-01
8.5500000e-01,8.5303311e-01
8.6000000e-01,8.5205584e-01
8.6500000e-01,8.5108427e-01
8.7000000e-01,8.5011832e-01
8.7500000e-01,8.4915790e-01
8.8000000e-01,8.4820293e-01
8.8500000e-01,8.4725333e-01
8.9000000e-01,8.4630900e-01
8.9500000e-01,8.4536987e-01
9.0000000e-01,8.4443586e-01
9.0500000e-01,8.4350690e-01
9.1000000e-01,8.4258289e-01
9.1500000e-01,8.4166377e-01
9.2000000e-01,8.4074947e-01
9.2500000e-01,8.3983990e-01
9.3000000e-01,8.3893500e-01
9.3500000e-01,8.3803470e-01
9.4000000e-01,8.3713892e-01
9.4500000e-01,8.3624761e-01
9.5000000e-01,8.3536068e-01
9.5500000e-01,8.3447808e-01
9.6000000e-01,8.3359973e-01
9.6500000e-01,8.3272558e-01
9.7000000e-01,8.3185557e-01
9.7500000e-01,8.3098962e-01
9.8000000e-01,8.3012768e-01
9.8500000e-01,8.2926969e-01
9.9000000e-01,8.2841560e-01
9.9500000e-01,8.2756533e-01
1.0000000e+00,8.2671885e-01
1.0050000e+00,8.2587608e-01
1.0100000e+00,8.2503697e-01
1.0150000e+00,8.2420148e-01
1.0200000e+00,8.2336955e-01
1.0250000e+00,8.2254112e-01
1.0300000e+00,8.2171615e-01
1.0350000e+00,8.2089458e-01
1.0400000e+00,8.2007636e-01
1.0450000e+00,8.1926145e-01
1.0500000e+00,8.1844980e-01
1.0550000e+00,8.1764136e-01
1.0600000e+00,8.1683608e-01
1.0650000e+00,8.1603392e-01
1.0700000e+00,8.1523484e-01
1.0750000e+00,8.1443878e-01
1.0800000e+00,8.1364571e-01
1.0850000e+00,8.1285559e-01
1.0900000e+00,8.1206836e-01
1.0950000e+00,8.1128400e-01
1.1000000e+00,8.1050245e-01
1.1050000e+00,8.0972369e-01
1.1100000e+00,8.0894767e-01
1.1150000e+00,8.0817435e-01
1.1200000e+00,8.0740369e-01
1.1250000e+00,8.0663567e-01
1.1300000e+00,8.0587023e-01
1.1350000e+00,8.0510735e-01
1.1400000e+00,8.0434699e-01
1.1450000e+00,8.0358911e-01
1.1500000e+00,8.0283368e-01
1.1550000e+00,8.0208068e-01
1.1600000e+00,8.0133005e-01
1.1650000e+00,8.0058178e-01
1.1700000e+00,7.9983583e-01
1.1750000e+00,7.9909216e-01
1.1800000e+00,7.9835075e-01
1.1850000e+00,7.9761157e-01
1.1900000e+00,7.9687459e-01
1.1950000e+00,7.9613977e-01
1.2000000e+00,7.9540710e-01
1.2050000e+00,7.9467653e-01
