x,phi2(x)
0.0000000e+00,1.0024937e+00
5.0000000e-03,9.5807503e-01
1.0000000e-02,9.1567172e-01
1.5000000e-02,8.7519227e-01
2.0000000e-02,8.3654927e-01
2.5000000e-02,7.9965934e-01
3.0000000e-02,7.6444283e-01
3.5000000e-02,7.3082375e-01
4.0000000e-02,6.9872954e-01
4.5000000e-02,6.6809096e-01
5.0000000e-02,6.3884188e-01
5.5000000e-02,6.1091921e-01
6.0000000e-02,5.8426271e-01
6.5000000e-02,5.5881487e-01
7.0000000e-02,5.3452081e-01
7.5000000e-02,5.1132812e-01
8.0000000e-02,4.8918680e-01
8.5000000e-02,4.6804909e-01
9.0000000e-02,4.4786942e-01
9.5000000e-02,4.2860429e-01
1.0000000e-01,4.1021217e-01
1.0500000e-01,3.9265341e-01
1.1000000e-01,3.7589018e-01
1.1500000e-01,3.5988635e-01
1.2000000e-01,3.4460744e-01
1.2500000e-01,3.3002054e-01
1.3000000e-01,3.1609422e-01
1.3500000e-01,3.0279848e-01
1.4000000e-01,2.9010471e-01
1.4500000e-01,2.7798556e-01
1.5000000e-01,2.6641496e-01
1.5500000e-01,2.5536798e-01
1.6000000e-01,2.4482087e-01
1.6500000e-01,2.3475093e-01
1.7000000e-01,2.2513649e-01
1.7500000e-01,2.1595687e-01
1.8000000e-01,2.0719234e-01
1.8500000e-01,1.9882406e-01
1.9000000e-01,1.9083403e-01
1.9500000e-01,1.8320508e-01
2.0000000e-01,1.7592083e-01
2.0500000e-01,1.6896562e-01
2.1000000e-01,1.6232453e-01
2.1500000e-01,1.5598328e-01
2.2000000e-01,1.4992828e-01
2.2500000e-01,1.4414653e-01
2.3000000e-01,1.3862563e-01
2.3500000e-01,1.3335374e-01
2.4000000e-01,1.2831956e-01
2.4500000e-01,1.2351230e-01
2.5000000e-01,1.1892166e-01
2.5500000e-01,1.1453781e-01
2.6000000e-01,1.1035137e-01
2.6500000e-01,1.0635338e-01
2.7000000e-01,1.0253528e-01
2.7500000e-01,9.8888918e-02
2.8000000e-01,9.5406498e-02
2.8500000e-01,9.2080580e-02
2.9000000e-01,8.8904065e-02
2.9500000e-01,8.5870173e-02
3.0000000e-01,8.2972433e-02
3.0500000e-01,8.0204670e-02
3.1000000e-01,7.7560986e-02
3.1500000e-01,7.5035752e-02
3.2000000e-01,7.2623596e-02
3.2500000e-01,7.0319388e-02
3.3000000e-01,6.8118231e-02
3.3500000e-01,6.6015452e-02
3.4000000e-01,6.4006588e-02
3.4500000e-01,6.2087380e-02
3.5000000e-01,6.0253763e-02
3.5500000e-01,5.8501854e-02
3.6000000e-01,5.6827949e-02
3.6500000e-01,5.5228510e-02
3.7000000e-01,5.3700161e-02
3.7500000e-01,5.2239680e-02
3.8000000e-01,5.0843988e-02
3.8500000e-01,4.9510149e-02
3.9000000e-01,4.8235359e-02
3.9500000e-01,4.7016942e-02
4.0000000e-01,4.5852342e-02
4.0500000e-01,4.4739120e-02
4.1000000e-01,4.3674948e-02
4.1500000e-01,4.2657604e-02
4.2000000e-01,4.1684964e-02
4.2500000e-01,4.0755004e-02
4.3000000e-01,3.9865791e-02
4.3500000e-01,3.9015478e-02
4.4000000e-01,3.8202303e-02
4.4500000e-01,3.7424585e-02
4.5000000e-01,3.6680717e-02
4.5500000e-01,3.5969167e-02
4.6000000e-01,3.5288472e-02
4.6500000e-01,3.4637234e-02
4.7000000e-01,3.4014120e-02
4.7500000e-01,3.3417857e-02
4.8000000e-01,3.2847230e-02
4.8500000e-01,3.2301079e-02
4.9000000e-01,3.1778296e-02
4.9500000e-01,3.1277825e-02
5.0000000e-01,3.0798656e-02
5.0500000e-01,3.0339826e-02
5.1000000e-01,2.9900414e-02
