x,phi1(x)
0.0000000e+00,1.2153618e+00
5.0000000e-03,1.2145469e+00
1.0000000e-02,1.2137315e+00
1.5000000e-02,1.2129157e+00
2.0000000e-02,1.2120995e+00
2.5000000e-02,1.2112829e+00
3.0000000e-02,1.2104658e+00
3.5000000e-02,1.2096484e+00
4.0000000e-02,1.2088305e+00
4.5000000e-02,1.2080123e+00
5.0000000e-02,1.2071938e+00
5.5000000e-02,1.2063749e+00
6.0000000e-02,1.2055556e+00
6.5000000e-02,1.2047360e+00
7.0000000e-02,1.2039160e+00
7.5000000e-02,1.2030957e+00
8.0000000e-02,1.2022751e+00
8.5000000e-02,1.2014542e+00
9.0000000e-02,1.2006330e+00
9.5000000e-02,1.1998115e+00
1.0000000e-01,1.1989898e+00
1.0500000e-01,1.1981677e+00
1.1000000e-01,1.1973454e+00
1.1500000e-01,1.1965228e+00
1.2000000e-01,1.1957000e+00
1.2500000e-01,1.1948769e+00
1.3000000e-01,1.1940536e+00
1.3500000e-01,1.1932301e+00
1.4000000e-01,1.1924063e+00
1.4500000e-01,1.1915823e+00
1.5000000e-01,1.1907581e+00
1.5500000e-01,1.1899338e+00
1.6000000e-01,1.1891092e+00
1.6500000e-01,1.1882844e+00
1.7000000e-01,1.1874595e+00
1.7500000e-01,1.1866344e+00
1.8000000e-01,1.1858091e+00
1.8500000e-01,1.1849837e+00
1.9000000e-01,1.1841581e+00
1.9500000e-01,1.1833324e+00
2.0000000e-01,1.1825065e+00
2.0500000e-01,1.1816805e+00
2.1000000e-01,1.1808544e+00
2.1500000e-01,1.1800282e+00
2.2000000e-01,1.1792019e+00
2.2500000e-01,1.1783754e+00
2.3000000e-01,1.1775489e+00
2.3500000e-01,1.1767222e+00
2.4000000e-01,1.1758955e+00
2.4500000e-01,1.1750687e+00
2.5000000e-01,1.1742419e+00
2.5500000e-01,1.1734149e+00
2.6000000e-01,1.1725879e+00
2.6500000e-01,1.1717609e+00
2.7000000e-01,1.1709338e+00
2.7500000e-01,1.1701066e+00
2.8000000e-01,1.1692794e+00
2.8500000e-01,1.1684522e+00
2.9000000e-01,1.1676250e+00
2.9500000e-01,1.1667977e+00
3.0000000e-01,1.1659704e+00
3.0500000e-01,1.1651431e+00
3.1000000e-01,1.1643158e+00
3.1500000e-01,1.1634885e+00
3.2000000e-01,1.1626613e+00
3.2500000e-01,1.1618340e+00
3.3000000e-01,1.1610067e+00
3.3500000e-01,1.1601795e+00
3.4000000e-01,1.1593523e+00
3.4500000e-01,1.1585251e+00
3.5000000e-01,1.1576980e+00
3.5500000e-01,1.1568709e+00
3.6000000e-01,1.1560438e+00
3.6500000e-01,1.1552168e+00
3.7000000e-01,1.1543899e+00
3.7500000e-01,1.1535630e+00
3.8000000e-01,1.1527361e+00
3.8500000e-01,1.1519094e+00
3.9000000e-01,1.1510827e+00
3.9500000e-01,1.1502561e+00
4.0000000e-01,1.1494296e+00
4.0500000e-01,1.1486032e+00
4.1000000e-01,1.1477769e+00
4.1500000e-01,1.1469507e+00
4.2000000e-01,1.1461245e+00
4.2500000e-01,1.1452985e+00
4.3000000e-01,1.1444726e+00
4.3500000e-01,1.1436468e+00
4.4000000e-01,1.1428211e+00
4.4500000e-01,1.1419956e+00
4.5000000e-01,1.1411702e+00
4.5500000e-01,1.1403449e+00
4.6000000e-01,1.1395197e+00
4.6500000e-01,1.1386947e+00
4.7000000e-01,1.1378698e+00
4.7500000e-01,1.1370451e+00
4.8000000e-01,1.1362205e+00
4.8500000e-01,1.1353961e+00
4.9000000e-01,1.1345718e+00
4.9500000e-01,1.1337478e+00
5.0000000e-01,1.1329238e+00
5.0500000e-01,1.1321001e+00
5.1000000e-01,1.1312765e+00
5.1500000e-01,1.1304531e+00
5.2000000e-01,1.1296298e+00
5.2500000e-01,1.1288068e+00
5.3000000e-01,1.1279839e+00
5.3500000e-01,1.1271613e+00
5.4000000e-01,1.1263388e+00
5.4500000e-01,1.1255165e+00
5.5000000e-01,1.1246945e+00
5.5500000e-01,1.1238726e+00
5.6000000e-01,1.1230510e+00
5.6500000e-01,1.1222295e+00
5.7000000e-01,1.1214083e+00
5.7500000e-01,1.1205873e+00
5.8000000e-01,1.1197665e+00
5.8500000e-01,1.1189459e+00
5.9000000e-01,1.1181256e+00
5.9500000e-01,1.1173055e+00
6.0000000e-01,1.1164856e+00
6.0500000e-01,1.1156660e+00
6.1000000e-01,1.1148466e+00
6.1500000e-01,1.1140274e+00
6.2000000e-01,1.1132085e+00
6.2500000e-01,1.1123899e+00
6.3000000e-01,1.1115715e+00
6.3500000e-01,1.1107533e+00
6.4000000e-01,1.1099354e+00
6.4500000e-01,1.1091178e+00
6.5000000e-01,1.1083004e+00
6.5500000e-01,1.1074833e+00
6.6000000e-01,1.1066664e+00
6.6500000e-01,1.1058499e+00
6.7000000e-01,1.1050336e+00
6.7500000e-01,1.1042176e+00
6.8000000e-01,1.1034018e+00
6.8500000e-01,1.1025864e+00
6.9000000e-01,1.1017712e+00
6.9500000e-01,1.1009563e+00
7.0000000e-01,1.1001417e+00
7.0500000e-01,1.0993274e+00
7.1000000e-01,1.0985134e+00
7.1500000e-01,1.0976996e+00
7.2000000e-01,1.0968862e+00
7.2500000e-01,1.0960731e+00
7.3000000e-01,1.0952603e+00
7.3500000e-01,1.0944477e+00
7.4000000e-01,1.0936355e+00
7.4500000e-01,1.0928236e+00
7.5000000e-01,1.0920120e+00
7.5500000e-01,1.0912008e+00
7.6000000e-01,1.0903898e+00
7.6500000e-01,1.0895792e+00
7.7000000e-01,1.0887689e+00
7.7500000e-01,1.0879589e+00
7.8000000e-01,1.0871492e+00
7.8500000e-01,1.0863399e+00
7.9000000e-01,1.0855308e+00
7.9500000e-01,1.0847222e+00
8.0000000e-01,1.0839138e+00
8.0500000e-01,1.0831058e+00
8.1000000e-01,1.0822981e+00
8.1500000e-01,1.0814908e+00
8.2000000e-01,1.0806838e+00
8.2500000e-01,1.0798771e+00
8.3000000e-01,1.0790708e+00
8.3500000e-01,1.0782648e+00
8.4000000e-01,1.0774592e+00
8.4500000e-01,1.0766539e+00
8.5000000e-01,1.0758490e+00
8.5500000e-01,1.0750445e+00
8.6000000e-01,1.0742403e+00
8.6500000e-01,1.0734364e+00
8.7000000e-01,1.0726329e+00
8.7500000e-01,1.0718298e+00
8.8000000e-01,1.0710270e+00
8.8500000e-01,1.0702246e+00
8.9000000e-01,1.0694226e+00
8.9500000e-01,1.0686209e+00
9.0000000e-01,1.0678196e+00
9.0500000e-01,1.0670186e+00
9.1000000e-01,1.0662181e+00
9.1500000e-01,1.0654179e+00
9.2000000e-01,1.0646181e+00
9.2500000e-01,1.0638186e+00
9.3000000e-01,1.0630196e+00
9.3500000e-01,1.0622209e+00
9.4000000e-01,1.0614226e+00
9.4500000e-01,1.0606247e+00
9.5000000e-01,1.0598272e+00
9.5500000e-01,1.0590300e+00
9.6000000e-01,1.0582332e+00
9.6500000e-01,1.0574369e+00
9.7000000e-01,1.0566409e+00
9.7500000e-01,1.0558453e+00
9.8000000e-01,1.0550501e+00
9.8500000e-01,1.0542553e+00
9.9000000e-01,1.0534609e+00
9.9500000e-01,1.0526668e+00
1.0000000e+00,1.0518732e+00
1.0050000e+00,1.0510800e+00
1.0100000e+00,1.0502872e+00
1.0150000e+00,1.0494947e+00
1.0200000e+00,1.0487027e+00
1.0250000e+00,1.0479111e+00
1.0300000e+00,1.0471199e+00
1.0350000e+00,1.0463291e+00
1.0400000e+00,1.0455387e+00
1.0450000e+00,1.0447487e+00
1.0500000e+00,1.0439591e+00
1.0550000e+00,1.0431699e+00
1.0600000e+00,1.0423812e+00
1.0650000e+00,1.0415928e+00
1.0700000e+00,1.0408049e+00
1.0750000e+00,1.0400174e+00
1.0800000e+00,1.0392303e+00
1.0850000e+00,1.0384436e+00
1.0900000e+00,1.0376573e+00
1.0950000e+00,1.0368714e+00
1.1000000e+00,1.0360860e+00
1.1050000e+00,1.0353010e+00
1.1100000e+00,1.0345164e+00
1.1150000e+00,1.0337322e+00
1.1200000e+00,1.0329485e+00
1.1250000e+00,1.0321652e+00
1.1300000e+00,1.0313823e+00
1.1350000e+00,1.0305998e+00
1.1400000e+00,1.0298178e+00
1.1450000e+00,1.0290361e+00
1.1500000e+00,1.0282550e+00
1.1550000e+00,1.0274742e+00
1.1600000e+00,1.0266939e+00
1.1650000e+00,1.0259140e+00
1.1700000e+00,1.0251345e+00
1.1750000e+00,1.0243555e+00
1.1800000e+00,1.0235769e+00
1.1850000e+00,1.0227987e+00
1.1900000e+00,1.0220210e+00
1.1950000e+00,1.0212437e+00
1.2000000e+00,1.0204669e+00
1.2050000e+00,1.0196905e+00
1.2100000e+00,1.0189145e+00
1.2150000e+00,1.0181390e+00
1.2200000e+00,1.0173639e+00
1.2250000e+00,1.0165892e+00
1.2300000e+00,1.0158150e+00
1.2350000e+00,1.0150412e+00
1.2400000e+00,1.0142679e+00
1.2450000e+00,1.0134950e+00
1.2500000e+00,1.0127226e+00
1.2550000e+00,1.0119506e+00
1.2600000e+00,1.0111790e+00
1.2650000e+00,1.0104079e+00
1.2700000e+00,1.0096373e+00
1.2750000e+00,1.0088671e+00
1.2800000e+00,1.0080973e+00
1.2850000e+00,1.0073280e+00
1.2900000e+00,1.0065591e+00
1.2950000e+00,1.0057907e+00
1.3000000e+00,1.0050227e+00
1.3050000e+00,1.0042552e+00
1.3100000e+00,1.0034882e+00
1.3150000e+00,1.0027216e+00
1.3200000e+00,1.0019554e+00
1.3250000e+00,1.0011897e+00
1.3300000e+00,1.0004245e+00
1.3350000e+00,9.9965966e-01
1.3400000e+00,9.9889532e-01
1.3450000e+00,9.9813143e-01
1.3500000e+00,9.9736800e-01
1.3550000e+00,9.9660503e-01
1.3600000e+00,9.9584251e-01
1.3650000e+00,9.9508045e-01
1.3700000e+00,9.9431885e-01
1.3750000e+00,9.9355770e-01
1.3800000e+00,9.9279702e-01
1.3850000e+00,9.9203679e-01
1.3900000e+00,9.9127702e-01
1.3950000e+00,9.9051771e-01
1.4000000e+00,9.8975886e-01
1.4050000e+00,9.8900048e-01
1.4100000e+00,9.8824255e-01
1.4150000e+00,9.8748508e-01
1.4200000e+00,9.8672808e-01
1.4250000e+00,9.8597154e-01
1.4300000e+00,9.8521546e-01
1.4350000e+00,9.8445984e-01
1.4400000e+00,9.8370469e-01
1.4450000e+00,9.8295000e-01
1.4500000e+00,9.8219578e-01
1.4550000e+00,9.8144202e-01
1.4600000e+00,9.8068872e-01
1.4650000e+00,9.7993589e-01
1.4700000e+00,9.7918352e-01
1.4750000e+00,9.7843162e-01
1.4800000e+00,9.7768019e-01
1.4850000e+00,9.7692922e-01
1.4900000e+00,9.7617871e-01
1.4950000e+00,9.7542868e-01
1.5000000e+00,9.7467911e-01
1.5050000e+00,9.7393001e-01
1.5100000e+00,9.7318138e-01
1.5150000e+00,9.7243321e-01
1.5200000e+00,9.7168551e-01
1.5250000e+00,9.7093828e-01
1.5300000e+00,9.7019152e-01
1.5350000e+00,9.6944523e-01
1.5400000e+00,9.6869941e-01
1.5450000e+00,9.6795406e-01
1.5500000e+00,9.6720917e-01
1.5550000e+00,9.6646476e-01
1.5600000e+00,9.6572081e-01
1.5650000e+00,9.6497734e-01
1.5700000e+00,9.6423434e-01
1.5750000e+00,9.6349181e-01
1.5800000e+00,9.6274974e-01
1.5850000e+00,9.6200815e-01
1.5900000e+00,9.6126703e-01
1.5950000e+00,9.6052639e-01
1.6000000e+00,9.5978621e-01
1.6050000e+00,9.5904650e-01
1.6100000e+00,9.5830727e-01
1.6150000e+00,9.5756851e-01
1.6200000e+00,9.5683022e-01
1.6250000e+00,9.5609241e-01
1.6300000e+00,9.5535506e-01
1.6350000e+00,9.5461819e-01
1.6400000e+00,9.5388179e-01
1.6450000e+00,9.5314587e-01
1.6500000e+00,9.5241041e-01
1.6550000e+00,9.5167543e-01
1.6600000e+00,9.5094093e-01
1.6650000e+00,9.5020690e-01
1.6700000e+00,9.4947334e-01
1.6750000e+00,9.4874025e-01
1.6800000e+00,9.4800764e-01
1.6850000e+00,9.4727550e-01
1.6900000e+00,9.4654384e-01
1.6950000e+00,9.4581265e-01
1.7000000e+00,9.4508193e-01
1.7050000e+00,9.4435169e-01
1.7100000e+00,9.4362192e-01
1.7150000e+00,9.4289263e-01
1.7200000e+00,9.4216381e-01
1.7250000e+00,9.4143546e-01
1.7300000e+00,9.4070759e-01
1.7350000e+00,9.3998020e-01
1.7400000e+00,9.3925327e-01
1.7450000e+00,9.3852683e-01
1.7500000e+00,9.3780086e-01
1.7550000e+00,9.3707536e-01
1.7600000e+00,9.3635034e-01
1.7650000e+00,9.3562579e-01
1.7700000e+00,9.3490172e-01
1.7750000e+00,9.3417812e-01
1.7800000e+00,9.3345499e-01
