x,phi1(x)
0.0000000e+00,1.2006510e+00
5.0000000e-03,1.1996402e+00
1.0000000e-02,1.1986255e+00
1.5000000e-02,1.1976070e+00
2.0000000e-02,1.1965847e+00
2.5000000e-02,1.1955587e+00
3.0000000e-02,1.1945290e+00
3.5000000e-02,1.1934957e+00
4.0000000e-02,1.1924589e+00
4.5000000e-02,1.1914185e+00
5.0000000e-02,1.1903746e+00
5.5000000e-02,1.1893273e+00
6.0000000e-02,1.1882767e+00
6.5000000e-02,1.1872226e+00
7.0000000e-02,1.1861653e+00
7.5000000e-02,1.1851047e+00
8.0000000e-02,1.1840409e+00
8.5000000e-02,1.1829740e+00
9.0000000e-02,1.1819039e+00
9.5000000e-02,1.1808307e+00
1.0000000e-01,1.1797545e+00
1.0500000e-01,1.1786753e+00
1.1000000e-01,1.1775931e+00
1.1500000e-01,1.1765080e+00
1.2000000e-01,1.1754200e+00
1.2500000e-01,1.1743291e+00
1.3000000e-01,1.1732355e+00
1.3500000e-01,1.1721391e+00
1.4000000e-01,1.1710400e+00
1.4500000e-01,1.1699381e+00
1.5000000e-01,1.1688337e+00
1.5500000e-01,1.1677266e+00
1.6000000e-01,1.1666169e+00
1.6500000e-01,1.1655047e+00
1.7000000e-01,1.1643899e+00
1.7500000e-01,1.1632728e+00
1.8000000e-01,1.1621531e+00
1.8500000e-01,1.1610311e+00
1.9000000e-01,1.1599067e+00
1.9500000e-01,1.1587799e+00
2.0000000e-01,1.1576509e+00
2.0500000e-01,1.1565196e+00
2.1000000e-01,1.1553861e+00
2.1500000e-01,1.1542503e+00
2.2000000e-01,1.1531124e+00
2.2500000e-01,1.1519724e+00
2.3000000e-01,1.1508302e+00
2.3500000e-01,1.1496860e+00
2.4000000e-01,1.1485398e+00
2.4500000e-01,1.1473915e+00
2.5000000e-01,1.1462412e+00
2.5500000e-01,1.1450891e+00
2.6000000e-01,1.1439349e+00
2.6500000e-01,1.1427789e+00
2.7000000e-01,1.1416211e+00
2.7500000e-01,1.1404614e+00
2.8000000e-01,1.1392999e+00
2.8500000e-01,1.1381366e+00
2.9000000e-01,1.1369716e+00
2.9500000e-01,1.1358049e+00
3.0000000e-01,1.1346364e+00
3.0500000e-01,1.1334664e+00
3.1000000e-01,1.1322947e+00
3.1500000e-01,1.1311213e+00
3.2000000e-01,1.1299465e+00
3.2500000e-01,1.1287700e+00
3.3000000e-01,1.1275920e+00
3.3500000e-01,1.1264126e+00
3.4000000e-01,1.1252316e+00
3.4500000e-01,1.1240492e+00
3.5000000e-01,1.1228654e+00
3.5500000e-01,1.1216802e+00
3.6000000e-01,1.1204936e+00
3.6500000e-01,1.1193057e+00
3.7000000e-01,1.1181165e+00
3.7500000e-01,1.1169259e+00
3.8000000e-01,1.1157341e+00
3.8500000e-01,1.1145410e+00
3.9000000e-01,1.1133467e+00
3.9500000e-01,1.1121513e+00
4.0000000e-01,1.1109546e+00
4.0500000e-01,1.1097568e+00
4.1000000e-01,1.1085578e+00
4.1500000e-01,1.1073577e+00
4.2000000e-01,1.1061566e+00
4.2500000e-01,1.1049544e+00
4.3000000e-01,1.1037511e+00
4.3500000e-01,1.1025468e+00
4.4000000e-01,1.1013415e+00
4.4500000e-01,1.1001353e+00
4.5000000e-01,1.0989281e+00
4.5500000e-01,1.0977199e+00
4.6000000e-01,1.0965109e+00
4.6500000e-01,1.0953009e+00
4.7000000e-01,1.0940901e+00
4.7500000e-01,1.0928784e+00
4.8000000e-01,1.0916659e+00
4.8500000e-01,1.0904526e+00
4.9000000e-01,1.0892385e+00
4.9500000e-01,1.0880236e+00
5.0000000e-01,1.0868080e+00
5.0500000e-01,1.0855916e+00
5.1000000e-01,1.0843746e+00
5.1500000e-01,1.0831568e+00
5.2000000e-01,1.0819384e+00
5.2500000e-01,1.0807193e+00
5.3000000e-01,1.0794996e+00
5.3500000e-01,1.0782792e+00
5.4000000e-01,1.0770583e+00
5.4500000e-01,1.0758368e+00
5.5000000e-01,1.0746147e+00
5.5500000e-01,1.0733921e+00
5.6000000e-01,1.0721689e+00
5.6500000e-01,1.0709452e+00
5.7000000e-01,1.0697211e+00
5.7500000e-01,1.0684965e+00
5.8000000e-01,1.0672714e+00
5.8500000e-01,1.0660458e+00
5.9000000e-01,1.0648199e+00
5.9500000e-01,1.0635935e+00
6.0000000e-01,1.0623668e+00
6.0500000e-01,1.0611397e+00
6.1000000e-01,1.0599122e+00
6.1500000e-01,1.0586844e+00
6.2000000e-01,1.0574563e+00
6.2500000e-01,1.0562278e+00
6.3000000e-01,1.0549991e+00
6.3500000e-01,1.0537701e+00
6.4000000e-01,1.0525408e+00
6.4500000e-01,1.0513113e+00
6.5000000e-01,1.0500815e+00
6.5500000e-01,1.0488516e+00
6.6000000e-01,1.0476214e+00
6.6500000e-01,1.0463910e+00
6.7000000e-01,1.0451605e+00
6.7500000e-01,1.0439298e+00
6.8000000e-01,1.0426990e+00
6.8500000e-01,1.0414681e+00
6.9000000e-01,1.0402370e+00
6.9500000e-01,1.0390059e+00
7.0000000e-01,1.0377746e+00
7.0500000e-01,1.0365433e+00
7.1000000e-01,1.0353119e+00
7.1500000e-01,1.0340805e+00
7.2000000e-01,1.0328491e+00
7.2500000e-01,1.0316176e+00
7.3000000e-01,1.0303862e+00
7.3500000e-01,1.0291547e+00
7.4000000e-01,1.0279233e+00
7.4500000e-01,1.0266919e+00
7.5000000e-01,1.0254606e+00
7.5500000e-01,1.0242294e+00
7.6000000e-01,1.0229982e+00
7.6500000e-01,1.0217671e+00
7.7000000e-01,1.0205361e+00
7.7500000e-01,1.0193052e+00
7.8000000e-01,1.0180744e+00
7.8500000e-01,1.0168438e+00
7.9000000e-01,1.0156133e+00
7.9500000e-01,1.0143830e+00
8.0000000e-01,1.0131529e+00
8.0500000e-01,1.0119230e+00
8.1000000e-01,1.0106932e+00
8.1500000e-01,1.0094637e+00
8.2000000e-01,1.0082344e+00
8.2500000e-01,1.0070053e+00
8.3000000e-01,1.0057765e+00
8.3500000e-01,1.0045479e+00
8.4000000e-01,1.0033196e+00
8.4500000e-01,1.0020916e+00
8.5000000e-01,1.0008638e+00
8.5500000e-01,9.9963637e-01
8.6000000e-01,9.9840924e-01
8.6500000e-01,9.9718243e-01
8.7000000e-01,9.9595595e-01
8.7500000e-01,9.9472981e-01
8.8000000e-01,9.9350403e-01
8.8500000e-01,9.9227861e-01
8.9000000e-01,9.9105357e-01
8.9500000e-01,9.8982891e-01
9.0000000e-01,9.8860464e-01
9.0500000e-01,9.8738078e-01
9.1000000e-01,9.8615733e-01
9.1500000e-01,9.8493430e-01
9.2000000e-01,9.8371171e-01
9.2500000e-01,9.8248956e-01
9.3000000e-01,9.8126787e-01
9.3500000e-01,9.8004663e-01
9.4000000e-01,9.7882587e-01
9.4500000e-01,9.7760559e-01
9.5000000e-01,9.7638580e-01
9.5500000e-01,9.7516651e-01
9.6000000e-01,9.7394773e-01
9.6500000e-01,9.7272947e-01
9.7000000e-01,9.7151174e-01
9.7500000e-01,9.7029454e-01
9.8000000e-01,9.6907788e-01
9.8500000e-01,9.6786178e-01
9.9000000e-01,9.6664624e-01
9.9500000e-01,9.6543127e-01
1.0000000e+00,9.6421688e-01
1.0050000e+00,9.6300308e-01
1.0100000e+00,9.6178987e-01
1.0150000e+00,9.6057727e-01
1.0200000e+00,9.5936528e-01
1.0250000e+00,9.5815391e-01
1.0300000e+00,9.5694317e-01
1.0350000e+00,9.5573306e-01
1.0400000e+00,9.5452360e-01
1.0450000e+00,9.5331480e-01
1.0500000e+00,9.5210665e-01
1.0550000e+00,9.5089917e-01
1.0600000e+00,9.4969237e-01
1.0650000e+00,9.4848625e-01
1.0700000e+00,9.4728082e-01
1.0750000e+00,9.4607609e-01
1.0800000e+00,9.4487207e-01
1.0850000e+00,9.4366875e-01
1.0900000e+00,9.4246616e-01
1.0950000e+00,9.4126430e-01
1.1000000e+00,9.4006317e-01
1.1050000e+00,9.3886278e-01
1.1100000e+00,9.3766315e-01
1.1150000e+00,9.3646426e-01
1.1200000e+00,9.3526614e-01
1.1250000e+00,9.3406879e-01
1.1300000e+00,9.3287222e-01
1.1350000e+00,9.3167643e-01
1.1400000e+00,9.3048143e-01
1.1450000e+00,9.2928722e-01
1.1500000e+00,9.2809382e-01
1.1550000e+00,9.2690123e-01
1.1600000e+00,9.2570945e-01
1.1650000e+00,9.2451849e-01
1.1700000e+00,9.2332837e-01
1.1750000e+00,9.2213907e-01
1.1800000e+00,9.2095062e-01
1.1850000e+00,9.1976302e-01
1.1900000e+00,9.1857627e-01
1.1950000e+00,9.1739037e-01
1.2000000e+00,9.1620534e-01
1.2050000e+00,9.1502119e-01
1.2100000e+00,9.1383791e-01
1.2150000e+00,9.1265551e-01
1.2200000e+00,9.1147400e-01
1.2250000e+00,9.1029338e-01
1.2300000e+00,9.0911366e-01
1.2350000e+00,9.0793485e-01
1.2400000e+00,9.0675695e-01
1.2450000e+00,9.0557996e-01
1.2500000e+00,9.0440390e-01
1.2550000e+00,9.0322876e-01
1.2600000e+00,9.0205456e-01
1.2650000e+00,9.0088129e-01
1.2700000e+00,8.9970897e-01
1.2750000e+00,8.9853759e-01
1.2800000e+00,8.9736716e-01
1.2850000e+00,8.9619770e-01
1.2900000e+00,8.9502919e-01
1.2950000e+00,8.9386166e-01
1.3000000e+00,8.9269510e-01
1.3050000e+00,8.9152951e-01
1.3100000e+00,8.9036491e-01
1.3150000e+00,8.8920130e-01
