x,phi(x)
0.0000000e+00,1.0949456e+00
5.0000000e-03,1.0726028e+00
1.0000000e-02,1.0512461e+00
1.5000000e-02,1.0308310e+00
2.0000000e-02,1.0113149e+00
2.5000000e-02,9.9265699e-01
3.0000000e-02,9.7481858e-01
3.5000000e-02,9.5776256e-01
4.0000000e-02,9.4145357e-01
4.5000000e-02,9.2585784e-01
5.0000000e-02,9.1094310e-01
5.5000000e-02,8.9667859e-01
6.0000000e-02,8.8303491e-01
6.5000000e-02,8.6998401e-01
7.0000000e-02,8.5749910e-01
7.5000000e-02,8.4555462e-01
8.0000000e-02,8.3412614e-01
8.5000000e-02,8.2319036e-01
9.0000000e-02,8.1272504e-01
9.5000000e-02,8.0270893e-01
1.0000000e-01,7.9312176e-01
1.0500000e-01,7.8394416e-01
1.1000000e-01,7.7515765e-01
1.1500000e-01,7.6674459e-01
1.2000000e-01,7.5868813e-01
1.2500000e-01,7.5097219e-01
1.3000000e-01,7.4358142e-01
1.3500000e-01,7.3650115e-01
1.4000000e-01,7.2971741e-01
1.4500000e-01,7.2321681e-01
1.5000000e-01,7.1698662e-01
1.5500000e-01,7.1101465e-01
1.6000000e-01,7.0528928e-01
1.6500000e-01,6.9979941e-01
1.7000000e-01,6.9453445e-01
1.7500000e-01,6.8948428e-01
1.8000000e-01,6.8463924e-01
1.8500000e-01,6.7999012e-01
1.9000000e-01,6.7552810e-01
1.9500000e-01,6.7124479e-01
2.0000000e-01,6.6713217e-01
2.0500000e-01,6.6318257e-01
2.1000000e-01,6.5938868e-01
2.1500000e-01,6.5574352e-01
2.2000000e-01,6.5224042e-01
2.2500000e-01,6.4887302e-01
2.3000000e-01,6.4563524e-01
2.3500000e-01,6.4252129e-01
2.4000000e-01,6.3952562e-01
2.4500000e-01,6.3664294e-01
2.5000000e-01,6.3386821e-01
2.5500000e-01,6.3119661e-01
2.6000000e-01,6.2862354e-01
2.6500000e-01,6.2614460e-01
2.7000000e-01,6.2375559e-01
2.7500000e-01,6.2145252e-01
2.8000000e-01,6.1923156e-01
2.8500000e-01,6.1708905e-01
2.9000000e-01,6.1502151e-01
2.9500000e-01,6.1302562e-01
3.0000000e-01,6.1109819e-01
3.0500000e-01,6.0923619e-01
3.1000000e-01,6.0743673e-01
3.1500000e-01,6.0569703e-01
3.2000000e-01,6.0401446e-01
3.2500000e-01,6.0238649e-01
3.3000000e-01,6.0081071e-01
3.3500000e-01,5.9928484e-01
3.4000000e-01,5.9780666e-01
3.4500000e-01,5.9637409e-01
3.5000000e-01,5.9498512e-01
3.5500000e-01,5.9363785e-01
3.6000000e-01,5.9233044e-01
3.6500000e-01,5.9106115e-01
3.7000000e-01,5.8982833e-01
3.7500000e-01,5.8863037e-01
3.8000000e-01,5.8746577e-01
3.8500000e-01,5.8633307e-01
3.9000000e-01,5.8523089e-01
3.9500000e-01,5.8415791e-01
4.0000000e-01,5.8311286e-01
4.0500000e-01,5.8209454e-01
4.1000000e-01,5.8110181e-01
4.1500000e-01,5.8013355e-01
4.2000000e-01,5.7918873e-01
4.2500000e-01,5.7826633e-01
4.3000000e-01,5.7736541e-01
4.3500000e-01,5.7648504e-01
4.4000000e-01,5.7562436e-01
4.4500000e-01,5.7478252e-01
