x,phi(x)
0.0000000e+00,1.5653355e+00
5.0000000e-03,1.5620115e+00
1.0000000e-02,1.5587008e+00
1.5000000e-02,1.5554033e+00
2.0000000e-02,1.5521189e+00
2.5000000e-02,1.5488476e+00
3.0000000e-02,1.5455893e+00
3.5000000e-02,1.5423438e+00
4.0000000e-02,1.5391112e+00
4.5000000e-02,1.5358913e+00
5.0000000e-02,1.5326841e+00
5.5000000e-02,1.5294895e+00
6.0000000e-02,1.5263074e+00
6.5000000e-02,1.5231378e+00
7.0000000e-02,1.5199806e+00
7.5000000e-02,1.5168358e+00
8.0000000e-02,1.5137031e+00
8.5000000e-02,1.5105827e+00
9.0000000e-02,1.5074744e+00
9.5000000e-02,1.5043782e+00
1.0000000e-01,1.5012939e+00
1.0500000e-01,1.4982215e+00
1.1000000e-01,1.4951610e+00
1.1500000e-01,1.4921123e+00
1.2000000e-01,1.4890753e+00
1.2500000e-01,1.4860500e+00
1.3000000e-01,1.4830362e+00
1.3500000e-01,1.4800340e+00
1.4000000e-01,1.4770432e+00
1.4500000e-01,1.4740638e+00
1.5000000e-01,1.4710957e+00
1.5500000e-01,1.4681389e+00
1.6000000e-01,1.4651933e+00
1.6500000e-01,1.4622589e+00
1.7000000e-01,1.4593355e+00
1.7500000e-01,1.4564232e+00
1.8000000e-01,1.4535218e+00
1.8500000e-01,1.4506313e+00
1.9000000e-01,1.4477516e+00
1.9500000e-01,1.4448827e+00
2.0000000e-01,1.4420245e+00
2.0500000e-01,1.4391770e+00
2.1000000e-01,1.4363401e+00
2.1500000e-01,1.4335137e+00
2.2000000e-01,1.4306978e+00
2.2500000e-01,1.4278923e+00
2.3000000e-01,1.4250972e+00
2.3500000e-01,1.4223123e+00
2.4000000e-01,1.4195378e+00
2.4500000e-01,1.4167734e+00
2.5000000e-01,1.4140192e+00
2.5500000e-01,1.4112750e+00
2.6000000e-01,1.4085409e+00
2.6500000e-01,1.4058168e+00
2.7000000e-01,1.4031025e+00
2.7500000e-01,1.4003981e+00
2.8000000e-01,1.3977036e+00
2.8500000e-01,1.3950188e+00
2.9000000e-01,1.3923437e+00
2.9500000e-01,1.3896782e+00
3.0000000e-01,1.3870224e+00
3.0500000e-01,1.3843760e+00
3.1000000e-01,1.3817392e+00
3.1500000e-01,1.3791118e+00
3.2000000e-01,1.3764938e+00
3.2500000e-01,1.3738852e+00
3.3000000e-01,1.3712858e+00
3.3500000e-01,1.3686956e+00
3.4000000e-01,1.3661147e+00
3.4500000e-01,1.3635429e+00
3.5000000e-01,1.3609801e+00
3.5500000e-01,1.3584264e+00
3.6000000e-01,1.3558817e+00
3.6500000e-01,1.3533460e+00
3.7000000e-01,1.3508191e+00
3.7500000e-01,1.3483011e+00
