x,phi(x)
0.0000000e+00,1.3540197e+00
5.0000000e-03,1.3430819e+00
1.0000000e-02,1.3323067e+00
1.5000000e-02,1.3216913e+00
2.0000000e-02,1.3112332e+00
2.5000000e-02,1.3009300e+00
3.0000000e-02,1.2907792e+00
3.5000000e-02,1.2807784e+00
4.0000000e-02,1.2709253e+00
4.5000000e-02,1.2612174e+00
5.0000000e-02,1.2516525e+00
5.5000000e-02,1.2422284e+00
6.0000000e-02,1.2329428e+00
6.5000000e-02,1.2237935e+00
7.0000000e-02,1.2147784e+00
7.5000000e-02,1.2058954e+00
8.0000000e-02,1.1971423e+00
8.5000000e-02,1.1885172e+00
9.0000000e-02,1.1800179e+00
9.5000000e-02,1.1716426e+00
1.0000000e-01,1.1633892e+00
1.0500000e-01,1.1552558e+00
1.1000000e-01,1.1472406e+00
1.1500000e-01,1.1393416e+00
1.2000000e-01,1.1315571e+00
1.2500000e-01,1.1238851e+00
1.3000000e-01,1.1163241e+00
1.3500000e-01,1.1088721e+00
1.4000000e-01,1.1015275e+00
1.4500000e-01,1.0942886e+00
1.5000000e-01,1.0871538e+00
1.5500000e-01,1.0801213e+00
1.6000000e-01,1.0731895e+00
1.6500000e-01,1.0663570e+00
1.7000000e-01,1.0596220e+00
1.7500000e-01,1.0529831e+00
1.8000000e-01,1.0464388e+00
1.8500000e-01,1.0399875e+00
1.9000000e-01,1.0336279e+00
1.9500000e-01,1.0273584e+00
2.0000000e-01,1.0211776e+00
2.0500000e-01,1.0150842e+00
2.1000000e-01,1.0090767e+00
2.1500000e-01,1.0031539e+00
2.2000000e-01,9.9731433e-01
2.2500000e-01,9.9155673e-01
2.3000000e-01,9.8587980e-01
2.3500000e-01,9.8028228e-01
2.4000000e-01,9.7476292e-01
2.4500000e-01,9.6932049e-01
2.5000000e-01,9.6395377e-01
2.5500000e-01,9.5866158e-01
2.6000000e-01,9.5344275e-01
2.6500000e-01,9.4829611e-01
2.7000000e-01,9.4322055e-01
2.7500000e-01,9.3821493e-01
2.8000000e-01,9.3327816e-01
2.8500000e-01,9.2840916e-01
2.9000000e-01,9.2360686e-01
2.9500000e-01,9.1887022e-01
3.0000000e-01,9.1419821e-01
3.0500000e-01,9.0958980e-01
3.1000000e-01,9.0504401e-01
3.1500000e-01,9.0055984e-01
3.2000000e-01,8.9613634e-01
3.2500000e-01,8.9177254e-01
3.3000000e-01,8.8746752e-01
3.3500000e-01,8.8322035e-01
3.4000000e-01,8.7903013e-01
3.4500000e-01,8.7489596e-01
3.5000000e-01,8.7081696e-01
3.5500000e-01,8.6679227e-01
3.6000000e-01,8.6282104e-01
3.6500000e-01,8.5890244e-01
3.7000000e-01,8.5503562e-01
3.7500000e-01,8.5121980e-01
3.8000000e-01,8.4745416e-01
3.8500000e-01,8.4373793e-01
3.9000000e-01,8.4007033e-01
3.9500000e-01,8.3645060e-01
4.0000000e-01,8.3287799e-01
4.0500000e-01,8.2935176e-01
4.1000000e-01,8.2587120e-01
4.1500000e-01,8.2243558e-01
4.2000000e-01,8.1904421e-01
4.2500000e-01,8.1569639e-01
4.3000000e-01,8.1239145e-01
4.3500000e-01,8.0912871e-01
4.4000000e-01,8.0590752e-01
4.4500000e-01,8.0272722e-01
4.5000000e-01,7.9958719e-01
4.5500000e-01,7.9648680e-01
4.6000000e-01,7.9342542e-01
4.6500000e-01,7.9040244e-01
4.7000000e-01,7.8741728e-01
4.7500000e-01,7.8446934e-01
4.8000000e-01,7.8155805e-01
4.8500000e-01,7.7868282e-01
4.9000000e-01,7.7584311e-01
4.9500000e-01,7.7303836e-01
5.0000000e-01,7.7026803e-01
5.0500000e-01,7.6753157e-01
5.1000000e-01,7.6482848e-01
5.1500000e-01,7.6215822e-01
5.2000000e-01,7.5952029e-01
5.2500000e-01,7.5691419e-01
5.3000000e-01,7.5433942e-01
5.3500000e-01,7.5179550e-01
5.4000000e-01,7.4928194e-01
5.4500000e-01,7.4679829e-01
5.5000000e-01,7.4434408e-01
5.5500000e-01,7.4191885e-01
5.6000000e-01,7.3952215e-01
5.6500000e-01,7.3715354e-01
5.7000000e-01,7.3481259e-01
5.7500000e-01,7.3249887e-01
5.8000000e-01,7.3021196e-01
5.8500000e-01,7.2795145e-01
5.9000000e-01,7.2571692e-01
5.9500000e-01,7.2350799e-01
6.0000000e-01,7.2132425e-01
6.0500000e-01,7.1916531e-01
6.1000000e-01,7.1703080e-01
6.1500000e-01,7.1492034e-01
6.2000000e-01,7.1283355e-01
6.2500000e-01,7.1077008e-01
