x,phi(x)
0.0000000e+00,1.0614701e+00
5.0000000e-03,1.0390860e+00
1.0000000e-02,1.0176882e+00
1.5000000e-02,9.9723208e-01
2.0000000e-02,9.7767483e-01
2.5000000e-02,9.5897574e-01
3.0000000e-02,9.4109588e-01
3.5000000e-02,9.2399811e-01
4.0000000e-02,9.0764698e-01
4.5000000e-02,8.9200862e-01
5.0000000e-02,8.7705074e-01
5.5000000e-02,8.6274247e-01
6.0000000e-02,8.4905438e-01
6.5000000e-02,8.3595835e-01
7.0000000e-02,8.2342755e-01
7.5000000e-02,8.1143636e-01
8.0000000e-02,7.9996034e-01
8.5000000e-02,7.8897612e-01
9.0000000e-02,7.7846144e-01
9.5000000e-02,7.6839502e-01
1.0000000e-01,7.5875654e-01
1.0500000e-01,7.4952664e-01
1.1000000e-01,7.4068679e-01
1.1500000e-01,7.3221934e-01
1.2000000e-01,7.2410742e-01
1.2500000e-01,7.1633493e-01
1.3000000e-01,7.0888650e-01
1.3500000e-01,7.0174747e-01
1.4000000e-01,6.9490384e-01
1.4500000e-01,6.8834222e-01
1.5000000e-01,6.8204987e-01
1.5500000e-01,6.7601459e-01
1.6000000e-01,6.7022476e-01
1.6500000e-01,6.6466929e-01
1.7000000e-01,6.5933756e-01
1.7500000e-01,6.5421946e-01
1.8000000e-01,6.4930535e-01
1.8500000e-01,6.4458598e-01
1.9000000e-01,6.4005258e-01
1.9500000e-01,6.3569673e-01
2.0000000e-01,6.3151042e-01
2.0500000e-01,6.2748599e-01
2.1000000e-01,6.2361613e-01
2.1500000e-01,6.1989387e-01
2.2000000e-01,6.1631254e-01
2.2500000e-01,6.1286579e-01
2.3000000e-01,6.0954755e-01
2.3500000e-01,6.0635203e-01
2.4000000e-01,6.0327369e-01
2.4500000e-01,6.0030726e-01
2.5000000e-01,5.9744770e-01
2.5500000e-01,5.9469019e-01
2.6000000e-01,5.9203014e-01
2.6500000e-01,5.8946318e-01
2.7000000e-01,5.8698510e-01
2.7500000e-01,5.8459192e-01
