x,phi1(x)
0.0000000e+00,1.1863061e+00
5.0000000e-03,1.1860530e+00
1.0000000e-02,1.1857549e+00
1.5000000e-02,1.1854139e+00
2.0000000e-02,1.1850319e+00
2.5000000e-02,1.1846105e+00
3.0000000e-02,1.1841515e+00
3.5000000e-02,1.1836565e+00
4.0000000e-02,1.1831270e+00
4.5000000e-02,1.1825646e+00
5.0000000e-02,1.1819707e+00
5.5000000e-02,1.1813465e+00
6.0000000e-02,1.1806936e+00
6.5000000e-02,1.1800129e+00
7.0000000e-02,1.1793059e+00
7.5000000e-02,1.1785735e+00
8.0000000e-02,1.1778170e+00
8.5000000e-02,1.1770373e+00
9.0000000e-02,1.1762354e+00
9.5000000e-02,1.1754123e+00
1.0000000e-01,1.1745690e+00
1.0500000e-01,1.1737062e+00
1.1000000e-01,1.1728248e+00
1.1500000e-01,1.1719257e+00
1.2000000e-01,1.1710095e+00
1.2500000e-01,1.1700771e+00
1.3000000e-01,1.1691291e+00
1.3500000e-01,1.1681662e+00
1.4000000e-01,1.1671891e+00
1.4500000e-01,1.1661983e+00
1.5000000e-01,1.1651945e+00
1.5500000e-01,1.1641781e+00
1.6000000e-01,1.1631499e+00
1.6500000e-01,1.1621102e+00
1.7000000e-01,1.1610596e+00
1.7500000e-01,1.1599985e+00
1.8000000e-01,1.1589274e+00
1.8500000e-01,1.1578468e+00
1.9000000e-01,1.1567570e+00
1.9500000e-01,1.1556585e+00
2.0000000e-01,1.1545516e+00
2.0500000e-01,1.1534367e+00
2.1000000e-01,1.1523141e+00
2.1500000e-01,1.1511842e+00
2.2000000e-01,1.1500474e+00
2.2500000e-01,1.1489038e+00
2.3000000e-01,1.1477539e+00
2.3500000e-01,1.1465978e+00
2.4000000e-01,1.1454359e+00
2.4500000e-01,1.1442685e+00
2.5000000e-01,1.1430957e+00
2.5500000e-01,1.1419178e+00
2.6000000e-01,1.1407351e+00
2.6500000e-01,1.1395477e+00
2.7000000e-01,1.1383559e+00
2.7500000e-01,1.1371598e+00
2.8000000e-01,1.1359597e+00
2.8500000e-01,1.1347558e+00
2.9000000e-01,1.1335482e+00
2.9500000e-01,1.1323371e+00
3.0000000e-01,1.1311226e+00
3.0500000e-01,1.1299050e+00
3.1000000e-01,1.1286844e+00
3.1500000e-01,1.1274608e+00
3.2000000e-01,1.1262345e+00
3.2500000e-01,1.1250056e+00
3.3000000e-01,1.1237742e+00
3.3500000e-01,1.1225405e+00
3.4000000e-01,1.1213045e+00
3.4500000e-01,1.1200663e+00
3.5000000e-01,1.1188261e+00
3.5500000e-01,1.1175841e+00
3.6000000e-01,1.1163402e+00
3.6500000e-01,1.1150945e+00
3.7000000e-01,1.1138473e+00
3.7500000e-01,1.1125985e+00
3.8000000e-01,1.1113482e+00
3.8500000e-01,1.1100966e+00
3.9000000e-01,1.1088437e+00
3.9500000e-01,1.1075895e+00
4.0000000e-01,1.1063342e+00
4.0500000e-01,1.1050779e+00
4.1000000e-01,1.1038205e+00
4.1500000e-01,1.1025622e+00
4.2000000e-01,1.1013030e+00
4.2500000e-01,1.1000430e+00
4.3000000e-01,1.0987823e+00
4.3500000e-01,1.0975208e+00
4.4000000e-01,1.0962587e+00
4.4500000e-01,1.0949960e+00
4.5000000e-01,1.0937327e+00
4.5500000e-01,1.0924690e+00
4.6000000e-01,1.0912048e+00
4.6500000e-01,1.0899402e+00
4.7000000e-01,1.0886752e+00
4.7500000e-01,1.0874100e+00
4.8000000e-01,1.0861444e+00
4.8500000e-01,1.0848786e+00
4.9000000e-01,1.0836126e+00
4.9500000e-01,1.0823465e+00
5.0000000e-01,1.0810802e+00
5.0500000e-01,1.0798138e+00
5.1000000e-01,1.0785473e+00
5.1500000e-01,1.0772809e+00
5.2000000e-01,1.0760144e+00
5.2500000e-01,1.0747480e+00
5.3000000e-01,1.0734816e+00
5.3500000e-01,1.0722153e+00
5.4000000e-01,1.0709492e+00
5.4500000e-01,1.0696831e+00
5.5000000e-01,1.0684173e+00
5.5500000e-01,1.0671516e+00
5.6000000e-01,1.0658862e+00
5.6500000e-01,1.0646210e+00
5.7000000e-01,1.0633561e+00
5.7500000e-01,1.0620914e+00
5.8000000e-01,1.0608271e+00
5.8500000e-01,1.0595631e+00
5.9000000e-01,1.0582994e+00
5.9500000e-01,1.0570361e+00
6.0000000e-01,1.0557732e+00
6.0500000e-01,1.0545107e+00
6.1000000e-01,1.0532487e+00
6.1500000e-01,1.0519871e+00
6.2000000e-01,1.0507259e+00
6.2500000e-01,1.0494652e+00
6.3000000e-01,1.0482050e+00
6.3500000e-01,1.0469453e+00
6.4000000e-01,1.0456861e+00
6.4500000e-01,1.0444275e+00
6.5000000e-01,1.0431694e+00
6.5500000e-01,1.0419119e+00
6.6000000e-01,1.0406550e+00
6.6500000e-01,1.0393987e+00
6.7000000e-01,1.0381430e+00
6.7500000e-01,1.0368879e+00
6.8000000e-01,1.0356334e+00
6.8500000e-01,1.0343796e+00
6.9000000e-01,1.0331264e+00
6.9500000e-01,1.0318739e+00
7.0000000e-01,1.0306221e+00
