x,phi1(x)
0.0000000e+00,1.1204465e+00
5.0000000e-03,1.1200969e+00
1.0000000e-02,1.1197044e+00
1.5000000e-02,1.1192709e+00
2.0000000e-02,1.1187984e+00
2.5000000e-02,1.1182887e+00
3.0000000e-02,1.1177435e+00
3.5000000e-02,1.1171644e+00
4.0000000e-02,1.1165529e+00
4.5000000e-02,1.1159107e+00
5.0000000e-02,1.1152392e+00
5.5000000e-02,1.1145396e+00
6.0000000e-02,1.1138134e+00
6.5000000e-02,1.1130618e+00
7.0000000e-02,1.1122859e+00
7.5000000e-02,1.1114870e+00
8.0000000e-02,1.1106660e+00
8.5000000e-02,1.1098241e+00
9.0000000e-02,1.1089623e+00
9.5000000e-02,1.1080814e+00
1.0000000e-01,1.1071824e+00
1.0500000e-01,1.1062661e+00
1.1000000e-01,1.1053335e+00
1.1500000e-01,1.1043852e+00
1.2000000e-01,1.1034221e+00
1.2500000e-01,1.1024448e+00
1.3000000e-01,1.1014540e+00
1.3500000e-01,1.1004504e+00
1.4000000e-01,1.0994347e+00
1.4500000e-01,1.0984074e+00
1.5000000e-01,1.0973690e+00
1.5500000e-01,1.0963202e+00
1.6000000e-01,1.0952615e+00
1.6500000e-01,1.0941933e+00
1.7000000e-01,1.0931162e+00
1.7500000e-01,1.0920305e+00
1.8000000e-01,1.0909368e+00
1.8500000e-01,1.0898354e+00
1.9000000e-01,1.0887268e+00
1.9500000e-01,1.0876113e+00
2.0000000e-01,1.0864892e+00
2.0500000e-01,1.0853610e+00
2.1000000e-01,1.0842269e+00
2.1500000e-01,1.0830873e+00
2.2000000e-01,1.0819425e+00
2.2500000e-01,1.0807927e+00
2.3000000e-01,1.0796382e+00
2.3500000e-01,1.0784793e+00
2.4000000e-01,1.0773163e+00
2.4500000e-01,1.0761493e+00
2.5000000e-01,1.0749787e+00
2.5500000e-01,1.0738046e+00
2.6000000e-01,1.0726272e+00
2.6500000e-01,1.0714467e+00
2.7000000e-01,1.0702634e+00
2.7500000e-01,1.0690774e+00
2.8000000e-01,1.0678888e+00
2.8500000e-01,1.0666979e+00
2.9000000e-01,1.0655048e+00
2.9500000e-01,1.0643097e+00
3.0000000e-01,1.0631126e+00
3.0500000e-01,1.0619138e+00
3.1000000e-01,1.0607134e+00
3.1500000e-01,1.0595114e+00
3.2000000e-01,1.0583081e+00
3.2500000e-01,1.0571034e+00
3.3000000e-01,1.0558977e+00
3.3500000e-01,1.0546908e+00
3.4000000e-01,1.0534830e+00
3.4500000e-01,1.0522743e+00
3.5000000e-01,1.0510649e+00
3.5500000e-01,1.0498548e+00
3.6000000e-01,1.0486441e+00
3.6500000e-01,1.0474328e+00
3.7000000e-01,1.0462211e+00
3.7500000e-01,1.0450090e+00
3.8000000e-01,1.0437967e+00
3.8500000e-01,1.0425840e+00
3.9000000e-01,1.0413713e+00
3.9500000e-01,1.0401584e+00
4.0000000e-01,1.0389454e+00
4.0500000e-01,1.0377324e+00
4.1000000e-01,1.0365195e+00
4.1500000e-01,1.0353067e+00
4.2000000e-01,1.0340940e+00
4.2500000e-01,1.0328816e+00
4.3000000e-01,1.0316693e+00
4.3500000e-01,1.0304574e+00
4.4000000e-01,1.0292458e+00
4.4500000e-01,1.0280345e+00
4.5000000e-01,1.0268236e+00
