x,phi(x)
0.0000000e+00,1.0000000e+00
5.0000000e-03,9.7752890e-01
1.0000000e-02,9.5604432e-01
1.5000000e-02,9.3550153e-01
2.0000000e-02,9.1585785e-01
2.5000000e-02,8.9707252e-01
3.0000000e-02,8.7910662e-01
3.5000000e-02,8.6192303e-01
4.0000000e-02,8.4548627e-01
4.5000000e-02,8.2976252e-01
5.0000000e-02,8.1471945e-01
5.5000000e-02,8.0032623e-01
6.0000000e-02,7.8655341e-01
6.5000000e-02,7.7337289e-01
7.0000000e-02,7.6075782e-01
7.5000000e-02,7.4868261e-01
8.0000000e-02,7.3712280e-01
8.5000000e-02,7.2605505e-01
9.0000000e-02,7.1545707e-01
9.5000000e-02,7.0530759e-01
1.0000000e-01,6.9558632e-01
1.0500000e-01,6.8627387e-01
1.1000000e-01,6.7735173e-01
1.1500000e-01,6.6880223e-01
1.2000000e-01,6.6060853e-01
1.2500000e-01,6.5275452e-01
1.3000000e-01,6.4522483e-01
1.3500000e-01,6.3800481e-01
1.4000000e-01,6.3108043e-01
1.4500000e-01,6.2443834e-01
1.5000000e-01,6.1806578e-01
1.5500000e-01,6.1195056e-01
1.6000000e-01,6.0608106e-01
1.6500000e-01,6.0044618e-01
1.7000000e-01,5.9503531e-01
1.7500000e-01,5.8983835e-01
1.8000000e-01,5.8484564e-01
1.8500000e-01,5.8004795e-01
1.9000000e-01,5.7543649e-01
1.9500000e-01,5.7100286e-01
2.0000000e-01,5.6673904e-01
2.0500000e-01,5.6263738e-01
2.1000000e-01,5.5869055e-01
2.1500000e-01,5.5489160e-01
2.2000000e-01,5.5123386e-01
2.2500000e-01,5.4771097e-01
2.3000000e-01,5.4431686e-01
2.3500000e-01,5.4104574e-01
2.4000000e-01,5.3789208e-01
2.4500000e-01,5.3485061e-01
2.5000000e-01,5.3191627e-01
2.5500000e-01,5.2908426e-01
2.6000000e-01,5.2634999e-01
2.6500000e-01,5.2370908e-01
2.7000000e-01,5.2115733e-01
2.7500000e-01,5.1869075e-01
2.8000000e-01,5.1630553e-01
2.8500000e-01,5.1399802e-01
2.9000000e-01,5.1176476e-01
2.9500000e-01,5.0960242e-01
3.0000000e-01,5.0750783e-01
3.0500000e-01,5.0547797e-01
3.1000000e-01,5.0350996e-01
3.1500000e-01,5.0160104e-01
3.2000000e-01,4.9974857e-01
3.2500000e-01,4.9795006e-01
3.3000000e-01,4.9620309e-01
3.3500000e-01,4.9450538e-01
3.4000000e-01,4.9285475e-01
3.4500000e-01,4.9124911e-01
3.5000000e-01,4.8968646e-01
3.5500000e-01,4.8816492e-01
3.6000000e-01,4.8668266e-01
3.6500000e-01,4.8523795e-01
3.7000000e-01,4.8382914e-01
3.7500000e-01,4.8245465e-01
3.8000000e-01,4.8111297e-01
3.8500000e-01,4.7980267e-01
3.9000000e-01,4.7852236e-01
3.9500000e-01,4.7727074e-01
4.0000000e-01,4.7604656e-01
4.0500000e-01,4.7484862e-01
4.1000000e-01,4.7367579e-01
4.1500000e-01,4.7252696e-01
4.2000000e-01,4.7140110e-01
4.2500000e-01,4.7029723e-01
4.3000000e-01,4.6921438e-01
4.3500000e-01,4.6815166e-01
4.4000000e-01,4.6710821e-01
4.4500000e-01,4.6608319e-01
4.5000000e-01,4.6507582e-01
4.5500000e-01,4.6408535e-01
4.6000000e-01,4.6311107e-01
4.6500000e-01,4.6215227e-01
4.7000000e-01,4.6120833e-01
4.7500000e-01,4.6027859e-01
4.8000000e-01,4.5936248e-01
4.8500000e-01,4.5845942e-01
4.9000000e-01,4.5756887e-01
4.9500000e-01,4.5669031e-01
5.0000000e-01,4.5582324e-01
5.0500000e-01,4.5496720e-01
5.1000000e-01,4.5412172e-01
5.1500000e-01,4.5328638e-01
5.2000000e-01,4.5246077e-01
5.2500000e-01,4.5164449e-01
5.3000000e-01,4.5083717e-01
5.3500000e-01,4.5003845e-01
5.4000000e-01,4.4924798e-01
5.4500000e-01,4.4846545e-01
5.5000000e-01,4.4769053e-01
5.5500000e-01,4.4692293e-01
5.6000000e-01,4.4616237e-01
5.6500000e-01,4.4540857e-01
5.7000000e-01,4.4466128e-01
5.7500000e-01,4.4392024e-01
5.8000000e-01,4.4318522e-01
5.8500000e-01,4.4245600e-01
5.9000000e-01,4.4173235e-01
5.9500000e-01,4.4101408e-01
6.0000000e-01,4.4030098e-01
6.0500000e-01,4.3959286e-01
6.1000000e-01,4.3888956e-01
6.1500000e-01,4.3819089e-01
6.2000000e-01,4.3749669e-01
6.2500000e-01,4.3680681e-01
6.3000000e-01,4.3612110e-01
6.3500000e-01,4.3543941e-01
6.4000000e-01,4.3476160e-01
6.4500000e-01,4.3408756e-01
6.5000000e-01,4.3341714e-01
6.5500000e-01,4.3275024e-01
6.6000000e-01,4.3208674e-01
6.6500000e-01,4.3142653e-01
6.7000000e-01,4.3076951e-01
6.7500000e-01,4.3011557e-01
6.8000000e-01,4.2946463e-01
6.8500000e-01,4.2881660e-01
6.9000000e-01,4.2817138e-01
6.9500000e-01,4.2752890e-01
7.0000000e-01,4.2688907e-01
7.0500000e-01,4.2625182e-01
7.1000000e-01,4.2561708e-01
7.1500000e-01,4.2498478e-01
7.2000000e-01,4.2435486e-01
7.2500000e-01,4.2372724e-01
7.3000000e-01,4.2310187e-01
7.3500000e-01,4.2247870e-01
7.4000000e-01,4.2185766e-01
7.4500000e-01,4.2123871e-01
7.5000000e-01,4.2062180e-01
7.5500000e-01,4.2000687e-01
7.6000000e-01,4.1939388e-01
7.6500000e-01,4.1878278e-01
7.7000000e-01,4.1817355e-01
7.7500000e-01,4.1756612e-01
7.8000000e-01,4.1696047e-01
7.8500000e-01,4.1635656e-01
7.9000000e-01,4.1575435e-01
7.9500000e-01,4.1515382e-01
8.0000000e-01,4.1455491e-01
8.0500000e-01,4.1395762e-01
8.1000000e-01,4.1336190e-01
8.1500000e-01,4.1276773e-01
8.2000000e-01,4.1217508e-01
8.2500000e-01,4.1158393e-01
8.3000000e-01,4.1099424e-01
8.3500000e-01,4.1040601e-01
8.4000000e-01,4.0981919e-01
8.4500000e-01,4.0923378e-01
8.5000000e-01,4.0864974e-01
8.5500000e-01,4.0806707e-01
8.6000000e-01,4.0748574e-01
8.6500000e-01,4.0690573e-01
8.7000000e-01,4.0632702e-01
