x,phi1(x)
0.0000000e+00,1.0000000e+00
5.0000000e-03,9.9947318e-01
1.0000000e-02,9.9890417e-01
1.5000000e-02,9.9829495e-01
2.0000000e-02,9.9764743e-01
2.5000000e-02,9.9696340e-01
3.0000000e-02,9.9624458e-01
3.5000000e-02,9.9549263e-01
4.0000000e-02,9.9470912e-01
4.5000000e-02,9.9389554e-01
5.0000000e-02,9.9305335e-01
5.5000000e-02,9.9218389e-01
6.0000000e-02,9.9128849e-01
6.5000000e-02,9.9036839e-01
7.0000000e-02,9.8942479e-01
7.5000000e-02,9.8845883e-01
8.0000000e-02,9.8747158e-01
8.5000000e-02,9.8646411e-01
9.0000000e-02,9.8543738e-01
9.5000000e-02,9.8439236e-01
1.0000000e-01,9.8332995e-01
1.0500000e-01,9.8225102e-01
1.1000000e-01,9.8115638e-01
1.1500000e-01,9.8004683e-01
1.2000000e-01,9.7892312e-01
1.2500000e-01,9.7778597e-01
1.3000000e-01,9.7663606e-01
1.3500000e-01,9.7547406e-01
1.4000000e-01,9.7430058e-01
1.4500000e-01,9.7311623e-01
1.5000000e-01,9.7192157e-01
1.5500000e-01,9.7071716e-01
1.6000000e-01,9.6950351e-01
1.6500000e-01,9.6828112e-01
1.7000000e-01,9.6705046e-01
1.7500000e-01,9.6581199e-01
1.8000000e-01,9.6456614e-01
1.8500000e-01,9.6331333e-01
1.9000000e-01,9.6205394e-01
1.9500000e-01,9.6078836e-01
2.0000000e-01,9.5951695e-01
2.0500000e-01,9.5824005e-01
2.1000000e-01,9.5695799e-01
2.1500000e-01,9.5567107e-01
2.2000000e-01,9.5437961e-01
2.2500000e-01,9.5308389e-01
2.3000000e-01,9.5178418e-01
2.3500000e-01,9.5048073e-01
2.4000000e-01,9.4917381e-01
2.4500000e-01,9.4786364e-01
2.5000000e-01,9.4655046e-01
2.5500000e-01,9.4523447e-01
2.6000000e-01,9.4391590e-01
2.6500000e-01,9.4259493e-01
2.7000000e-01,9.4127175e-01
2.7500000e-01,9.3994655e-01
2.8000000e-01,9.3861949e-01
2.8500000e-01,9.3729074e-01
2.9000000e-01,9.3596046e-01
2.9500000e-01,9.3462879e-01
3.0000000e-01,9.3329588e-01
3.0500000e-01,9.3196187e-01
3.1000000e-01,9.3062688e-01
3.1500000e-01,9.2929104e-01
3.2000000e-01,9.2795447e-01
3.2500000e-01,9.2661728e-01
3.3000000e-01,9.2527958e-01
3.3500000e-01,9.2394147e-01
3.4000000e-01,9.2260306e-01
3.4500000e-01,9.2126443e-01
3.5000000e-01,9.1992567e-01
3.5500000e-01,9.1858688e-01
3.6000000e-01,9.1724813e-01
3.6500000e-01,9.1590950e-01
3.7000000e-01,9.1457106e-01
3.7500000e-01,9.1323289e-01
3.8000000e-01,9.1189505e-01
3.8500000e-01,9.1055762e-01
3.9000000e-01,9.0922064e-01
3.9500000e-01,9.0788419e-01
4.0000000e-01,9.0654831e-01
4.0500000e-01,9.0521306e-01
4.1000000e-01,9.0387849e-01
4.1500000e-01,9.0254465e-01
4.2000000e-01,9.0121158e-01
4.2500000e-01,8.9987934e-01
4.3000000e-01,8.9854796e-01
4.3500000e-01,8.9721749e-01
4.4000000e-01,8.9588796e-01
4.4500000e-01,8.9455941e-01
4.5000000e-01,8.9323187e-01
4.5500000e-01,8.9190538e-01
4.6000000e-01,8.9057997e-01
4.6500000e-01,8.8925567e-01
4.7000000e-01,8.8793252e-01
4.7500000e-01,8.8661052e-01
4.8000000e-01,8.8528973e-01
4.8500000e-01,8.8397015e-01
4.9000000e-01,8.8265181e-01
4.9500000e-01,8.8133474e-01
5.0000000e-01,8.8001896e-01
5.0500000e-01,8.7870449e-01
5.1000000e-01,8.7739134e-01
5.1500000e-01,8.7607954e-01
5.2000000e-01,8.7476911e-01
5.2500000e-01,8.7346005e-01
5.3000000e-01,8.7215240e-01
5.3500000e-01,8.7084616e-01
5.4000000e-01,8.6954135e-01
5.4500000e-01,8.6823798e-01
5.5000000e-01,8.6693606e-01
5.5500000e-01,8.6563562e-01
5.6000000e-01,8.6433665e-01
5.6500000e-01,8.6303918e-01
5.7000000e-01,8.6174321e-01
5.7500000e-01,8.6044875e-01
5.8000000e-01,8.5915581e-01
5.8500000e-01,8.5786441e-01
5.9000000e-01,8.5657455e-01
5.9500000e-01,8.5528624e-01
6.0000000e-01,8.5399949e-01
6.0500000e-01,8.5271430e-01
6.1000000e-01,8.5143068e-01
6.1500000e-01,8.5014864e-01
6.2000000e-01,8.4886819e-01
6.2500000e-01,8.4758933e-01
6.3000000e-01,8.4631207e-01
6.3500000e-01,8.4503641e-01
