x,phi2(x)
0.0000000e+00,1.0035850e+00
5.0000000e-03,9.5915189e-01
1.0000000e-02,9.1673392e-01
1.5000000e-02,8.7623926e-01
2.0000000e-02,8.3758021e-01
2.5000000e-02,8.0067310e-01
3.0000000e-02,7.6543811e-01
3.5000000e-02,7.3179903e-01
4.0000000e-02,6.9968317e-01
4.5000000e-02,6.6902116e-01
5.0000000e-02,6.3974681e-01
5.5000000e-02,6.1179692e-01
6.0000000e-02,5.8511123e-01
6.5000000e-02,5.5963220e-01
7.0000000e-02,5.3530493e-01
7.5000000e-02,5.1207703e-01
8.0000000e-02,4.8989850e-01
8.5000000e-02,4.6872161e-01
9.0000000e-02,4.4850084e-01
9.5000000e-02,4.2919272e-01
1.0000000e-01,4.1075578e-01
1.0500000e-01,3.9315044e-01
1.1000000e-01,3.7633891e-01
1.1500000e-01,3.6028514e-01
1.2000000e-01,3.4495472e-01
1.2500000e-01,3.3031481e-01
1.3000000e-01,3.1633406e-01
1.3500000e-01,3.0298257e-01
1.4000000e-01,2.9023176e-01
1.4500000e-01,2.7805440e-01
1.5000000e-01,2.6642447e-01
1.5500000e-01,2.5531714e-01
1.6000000e-01,2.4470873e-01
1.6500000e-01,2.3457660e-01
1.7000000e-01,2.2489918e-01
1.7500000e-01,2.1565585e-01
1.8000000e-01,2.0682696e-01
1.8500000e-01,1.9839372e-01
1.9000000e-01,1.9033822e-01
1.9500000e-01,1.8264335e-01
2.0000000e-01,1.7529279e-01
2.0500000e-01,1.6827095e-01
2.1000000e-01,1.6156297e-01
2.1500000e-01,1.5515462e-01
2.2000000e-01,1.4903237e-01
2.2500000e-01,1.4318328e-01
2.3000000e-01,1.3759498e-01
2.3500000e-01,1.3225571e-01
2.4000000e-01,1.2715418e-01
2.4500000e-01,1.2227968e-01
2.5000000e-01,1.1762193e-01
2.5500000e-01,1.1317115e-01
2.6000000e-01,1.0891800e-01
2.6500000e-01,1.0485354e-01
2.7000000e-01,1.0096927e-01
2.7500000e-01,9.7257051e-02
2.8000000e-01,9.3709124e-02
2.8500000e-01,9.0318077e-02
2.9000000e-01,8.7076837e-02
2.9500000e-01,8.3978651e-02
3.0000000e-01,8.1017071e-02
3.0500000e-01,7.8185942e-02
3.1000000e-01,7.5479389e-02
3.1500000e-01,7.2891801e-02
3.2000000e-01,7.0417823e-02
3.2500000e-01,6.8052341e-02
3.3000000e-01,6.5790473e-02
3.3500000e-01,6.3627561e-02
3.4000000e-01,6.1559152e-02
3.4500000e-01,5.9581001e-02
3.5000000e-01,5.7689049e-02
3.5500000e-01,5.5879427e-02
3.6000000e-01,5.4148435e-02
3.6500000e-01,5.2492544e-02
3.7000000e-01,5.0908384e-02
3.7500000e-01,4.9392737e-02
3.8000000e-01,4.7942531e-02
3.8500000e-01,4.6554833e-02
3.9000000e-01,4.5226840e-02
3.9500000e-01,4.3955880e-02
4.0000000e-01,4.2739398e-02
4.0500000e-01,4.1574957e-02
4.1000000e-01,4.0460228e-02
4.1500000e-01,3.9392989e-02
4.2000000e-01,3.8371117e-02
4.2500000e-01,3.7392586e-02
4.3000000e-01,3.6455461e-02
4.3500000e-01,3.5557893e-02
4.4000000e-01,3.4698119e-02
4.4500000e-01,3.3874453e-02
4.5000000e-01,3.3085287e-02
4.5500000e-01,3.2329084e-02
4.6000000e-01,3.1604377e-02
4.6500000e-01,3.0909766e-02
4.7000000e-01,3.0243912e-02
4.7500000e-01,2.9605539e-02
4.8000000e-01,2.8993426e-02
4.8500000e-01,2.8406408e-02
4.9000000e-01,2.7843373e-02
4.9500000e-01,2.7303259e-02
5.0000000e-01,2.6785050e-02
5.0500000e-01,2.6287778e-02
5.1000000e-01,2.5810518e-02
5.1500000e-01,2.5352385e-02
5.2000000e-01,2.4912536e-02
5.2500000e-01,2.4490165e-02
5.3000000e-01,2.4084502e-02
5.3500000e-01,2.3694812e-02
5.4000000e-01,2.3320392e-02
5.4500000e-01,2.2960573e-02
5.5000000e-01,2.2614712e-02
5.5500000e-01,2.2282200e-02
5.6000000e-01,2.1962451e-02
5.6500000e-01,2.1654906e-02
5.7000000e-01,2.1359034e-02
5.7500000e-01,2.1074325e-02
5.8000000e-01,2.0800293e-02
5.8500000e-01,2.0536473e-02
5.9000000e-01,2.0282420e-02
5.9500000e-01,2.0037712e-02
6.0000000e-01,1.9801944e-02
6.0500000e-01,1.9574728e-02
6.1000000e-01,1.9355696e-02
6.1500000e-01,1.9144493e-02
6.2000000e-01,1.8940784e-02
6.2500000e-01,1.8744245e-02
6.3000000e-01,1.8554570e-02
6.3500000e-01,1.8371463e-02
6.4000000e-01,1.8194645e-02
6.4500000e-01,1.8023846e-02
6.5000000e-01,1.7858811e-02
6.5500000e-01,1.7699294e-02
6.6000000e-01,1.7545061e-02
6.6500000e-01,1.7395889e-02
6.7000000e-01,1.7251565e-02
6.7500000e-01,1.7111882e-02
6.8000000e-01,1.6976648e-02
6.8500000e-01,1.6845674e-02
6.9000000e-01,1.6718784e-02
6.9500000e-01,1.6595806e-02
7.0000000e-01,1.6476578e-02
7.0500000e-01,1.6360945e-02
7.1000000e-01,1.6248758e-02
7.1500000e-01,1.6139874e-02
7.2000000e-01,1.6034158e-02
7.2500000e-01,1.5931481e-02
7.3000000e-01,1.5831717e-02
7.3500000e-01,1.5734749e-02
7.4000000e-01,1.5640464e-02
7.4500000e-01,1.5548752e-02
7.5000000e-01,1.5459511e-02
7.5500000e-01,1.5372641e-02
7.6000000e-01,1.5288047e-02
7.6500000e-01,1.5205640e-02
7.7000000e-01,1.5125332e-02
7.7500000e-01,1.5047040e-02
7.8000000e-01,1.4970687e-02
7.8500000e-01,1.4896195e-02
7.9000000e-01,1.4823493e-02
7.9500000e-01,1.4752511e-02
8.0000000e-01,1.4683184e-02
8.0500000e-01,1.4615447e-02
8.1000000e-01,1.4549241e-02
8.1500000e-01,1.4484507e-02
8.2000000e-01,1.4421189e-02
8.2500000e-01,1.4359236e-02
8.3000000e-01,1.4298596e-02
8.3500000e-01,1.4239220e-02
8.4000000e-01,1.4181063e-02
8.4500000e-01,1.4124079e-02
8.5000000e-01,1.4068226e-02
8.5500000e-01,1.4013464e-02
8.6000000e-01,1.3959754e-02
8.6500000e-01,1.3907058e-02
8.7000000e-01,1.3855340e-02
8.7500000e-01,1.3804566e-02
8.8000000e-01,1.3754704e-02
8.8500000e-01,1.3705722e-02
8.9000000e-01,1.3657591e-02
8.9500000e-01,1.3610281e-02
9.0000000e-01,1.3563765e-02
9.0500000e-01,1.3518016e-02
9.1000000e-01,1.3473010e-02
9.1500000e-01,1.3428722e-02
9.2000000e-01,1.3385129e-02
9.2500000e-01,1.3342208e-02
9.3000000e-01,1.3299939e-02
9.3500000e-01,1.3258301e-02
9.4000000e-01,1.3217275e-02
9.4500000e-01,1.3176841e-02
9.5000000e-01,1.3136981e-02
9.5500000e-01,1.3097679e-02
9.6000000e-01,1.3058918e-02
9.6500000e-01,1.3020682e-02
9.7000000e-01,1.2982956e-02
9.7500000e-01,1.2945724e-02
9.8000000e-01,1.2908974e-02
9.8500000e-01,1.2872692e-02
9.9000000e-01,1.2836864e-02
9.9500000e-01,1.2801479e-02
1.0000000e+00,1.2766524e-02
1.0050000e+00,1.2731988e-02
1.0100000e+00,1.2697860e-02
1.0150000e+00,1.2664129e-02
1.0200000e+00,1.2630786e-02
1.0250000e+00,1.2597820e-02
1.0300000e+00,1.2565223e-02
1.0350000e+00,1.2532985e-02
1.0400000e+00,1.2501097e-02
1.0450000e+00,1.2469551e-02
1.0500000e+00,1.2438340e-02
1.0550000e+00,1.2407455e-02
1.0600000e+00,1.2376889e-02
1.0650000e+00,1.2346636e-02
1.0700000e+00,1.2316687e-02
1.0750000e+00,1.2287036e-02
1.0800000e+00,1.2257678e-02
1.0850000e+00,1.2228606e-02
1.0900000e+00,1.2199813e-02
1.0950000e+00,1.2171295e-02
1.1000000e+00,1.2143046e-02
1.1050000e+00,1.2115060e-02
1.1100000e+00,1.2087332e-02
1.1150000e+00,1.2059858e-02
1.1200000e+00,1.2032632e-02
1.1250000e+00,1.2005651e-02
1.1300000e+00,1.1978909e-02
1.1350000e+00,1.1952402e-02
1.1400000e+00,1.1926127e-02
1.1450000e+00,1.1900079e-02
1.1500000e+00,1.1874254e-02
1.1550000e+00,1.1848648e-02
1.1600000e+00,1.1823259e-02
1.1650000e+00,1.1798082e-02
1.1700000e+00,1.1773113e-02
1.1750000e+00,1.1748351e-02
1.1800000e+00,1.1723791e-02
1.1850000e+00,1.1699431e-02
1.1900000e+00,1.1675267e-02
1.1950000e+00,1.1651297e-02
1.2000000e+00,1.1627517e-02
1.2050000e+00,1.1603926e-02
1.2100000e+00,1.1580520e-02
1.2150000e+00,1.1557297e-02
1.2200000e+00,1.1534254e-02
1.2250000e+00,1.1511389e-02
1.2300000e+00,1.1488700e-02
1.2350000e+00,1.1466184e-02
1.2400000e+00,1.1443840e-02
1.2450000e+00,1.1421664e-02
1.2500000e+00,1.1399655e-02
1.2550000e+00,1.1377811e-02
1.2600000e+00,1.1356130e-02
1.2650000e+00,1.1334610e-02
1.2700000e+00,1.1313249e-02
1.2750000e+00,1.1292045e-02
1.2800000e+00,1.1270996e-02
1.2850000e+00,1.1250101e-02
1.2900000e+00,1.1229359e-02
1.2950000e+00,1.1208766e-02
1.3000000e+00,1.1188323e-02
1.3050000e+00,1.1168026e-02
1.3100000e+00,1.1147875e-02
1.3150000e+00,1.1127868e-02
1.3200000e+00,1.1108004e-02
1.3250000e+00,1.1088281e-02
1.3300000e+00,1.1068698e-02
1.3350000e+00,1.1049253e-02
1.3400000e+00,1.1029945e-02
1.3450000e+00,1.1010773e-02
1.3500000e+00,1.0991736e-02
1.3550000e+00,1.0972832e-02
1.3600000e+00,1.0954060e-02
1.3650000e+00,1.0935418e-02
1.3700000e+00,1.0916906e-02
1.3750000e+00,1.0898523e-02
1.3800000e+00,1.0880267e-02
1.3850000e+00,1.0862137e-02
1.3900000e+00,1.0844133e-02
1.3950000e+00,1.0826252e-02
1.4000000e+00,1.0808495e-02
1.4050000e+00,1.0790859e-02
1.4100000e+00,1.0773344e-02
1.4150000e+00,1.0755950e-02
1.4200000e+00,1.0738674e-02
1.4250000e+00,1.0721516e-02
1.4300000e+00,1.0704476e-02
1.4350000e+00,1.0687551e-02
1.4400000e+00,1.0670742e-02
1.4450000e+00,1.0654048e-02
1.4500000e+00,1.0637466e-02
1.4550000e+00,1.0620998e-02
1.4600000e+00,1.0604641e-02
1.4650000e+00,1.0588395e-02
1.4700000e+00,1.0572259e-02
1.4750000e+00,1.0556232e-02
1.4800000e+00,1.0540314e-02
1.4850000e+00,1.0524504e-02
1.4900000e+00,1.0508800e-02
1.4950000e+00,1.0493203e-02
1.5000000e+00,1.0477711e-02
1.5050000e+00,1.0462324e-02
1.5100000e+00,1.0447041e-02
1.5150000e+00,1.0431861e-02
1.5200000e+00,1.0416783e-02
1.5250000e+00,1.0401808e-02
1.5300000e+00,1.0386933e-02
1.5350000e+00,1.0372159e-02
1.5400000e+00,1.0357484e-02
1.5450000e+00,1.0342909e-02
1.5500000e+00,1.0328432e-02
1.5550000e+00,1.0314053e-02
1.5600000e+00,1.0299771e-02
1.5650000e+00,1.0285586e-02
1.5700000e+00,1.0271497e-02
1.5750000e+00,1.0257503e-02
1.5800000e+00,1.0243603e-02
1.5850000e+00,1.0229798e-02
1.5900000e+00,1.0216086e-02
1.5950000e+00,1.0202467e-02
1.6000000e+00,1.0188941e-02
1.6050000e+00,1.0175506e-02
1.6100000e+00,1.0162163e-02
1.6150000e+00,1.0148910e-02
1.6200000e+00,1.0135747e-02
1.6250000e+00,1.0122674e-02
1.6300000e+00,1.0109690e-02
1.6350000e+00,1.0096794e-02
1.6400000e+00,1.0083987e-02
1.6450000e+00,1.0071267e-02
1.6500000e+00,1.0058634e-02
1.6550000e+00,1.0046087e-02
1.6600000e+00,1.0033626e-02
1.6650000e+00,1.0021251e-02
1.6700000e+00,1.0008961e-02
1.6750000e+00,9.9967549e-03
1.6800000e+00,9.9846332e-03
1.6850000e+00,9.9725949e-03
1.6900000e+00,9.9606398e-03
1.6950000e+00,9.9487673e-03
1.7000000e+00,9.9369769e-03
1.7050000e+00,9.9252682e-03
1.7100000e+00,9.9136408e-03
1.7150000e+00,9.9020941e-03
1.7200000e+00,9.8906279e-03
1.7250000e+00,9.8792416e-03
1.7300000e+00,9.8679348e-03
1.7350000e+00,9.8567071e-03
1.7400000e+00,9.8455580e-03
1.7450000e+00,9.8344872e-03
1.7500000e+00,9.8234942e-03
1.7550000e+00,9.8125787e-03
1.7600000e+00,9.8017402e-03
1.7650000e+00,9.7909783e-03
1.7700000e+00,9.7802926e-03
1.7750000e+00,9.7696828e-03
1.7800000e+00,9.7591485e-03
1.7850000e+00,9.7486892e-03
1.7900000e+00,9.7383046e-03
1.7950000e+00,9.7279943e-03
1.8000000e+00,9.7177580e-03
1.8050000e+00,9.7075952e-03
1.8100000e+00,9.6975057e-03
1.8150000e+00,9.6874890e-03
1.8200000e+00,9.6775448e-03
1.8250000e+00,9.6676728e-03
1.8300000e+00,9.6578725e-03
1.8350000e+00,9.6481437e-03
1.8400000e+00,9.6384860e-03
1.8450000e+00,9.6288991e-03
1.8500000e+00,9.6193826e-03
1.8550000e+00,9.6099362e-03
1.8600000e+00,9.6005596e-03
1.8650000e+00,9.5912524e-03
1.8700000e+00,9.5820143e-03
1.8750000e+00,9.5728450e-03
1.8800000e+00,9.5637442e-03
1.8850000e+00,9.5547116e-03
1.8900000e+00,9.5457468e-03
1.8950000e+00,9.5368495e-03
1.9000000e+00,9.5280196e-03
1.9050000e+00,9.5192565e-03
1.9100000e+00,9.5105601e-03
1.9150000e+00,9.5019301e-03
1.9200000e+00,9.4933661e-03
1.9250000e+00,9.4848678e-03
1.9300000e+00,9.4764351e-03
1.9350000e+00,9.4680675e-03
1.9400000e+00,9.4597648e-03
1.9450000e+00,9.4515268e-03
1.9500000e+00,9.4433531e-03
1.9550000e+00,9.4352435e-03
1.9600000e+00,9.4271978e-03
1.9650000e+00,9.4192155e-03
1.9700000e+00,9.4112966e-03
1.9750000e+00,9.4034406e-03
1.9800000e+00,9.3956474e-03
1.9850000e+00,9.3879167e-03
1.9900000e+00,9.3802483e-03
1.9950000e+00,9.3726418e-03
2.0000000e+00,9.3650970e-03
2.0050000e+00,9.3576138e-03
2.0100000e+00,9.3501918e-03
2.0150000e+00,9.3428308e-03
2.0200000e+00,9.3355305e-03
2.0250000e+00,9.3282907e-03
2.0300000e+00,9.3211113e-03
2.0350000e+00,9.3139919e-03
2.0400000e+00,9.3069323e-03
2.0450000e+00,9.2999322e-03
2.0500000e+00,9.2929916e-03
2.0550000e+00,9.2861100e-03
2.0600000e+00,9.2792874e-03
2.0650000e+00,9.2725235e-03
2.0700000e+00,9.2658180e-03
2.0750000e+00,9.2591708e-03
2.0800000e+00,9.2525817e-03
2.0850000e+00,9.2460503e-03
