x,phi(x)
0.0000000e+00,1.5062670e+00
5.0000000e-03,1.5017966e+00
1.0000000e-02,1.4973401e+00
1.5000000e-02,1.4928974e+00
2.0000000e-02,1.4884685e+00
2.5000000e-02,1.4840535e+00
3.0000000e-02,1.4796524e+00
3.5000000e-02,1.4752653e+00
4.0000000e-02,1.4708921e+00
4.5000000e-02,1.4665329e+00
5.0000000e-02,1.4621877e+00
5.5000000e-02,1.4578566e+00
6.0000000e-02,1.4535395e+00
6.5000000e-02,1.4492365e+00
7.0000000e-02,1.4449475e+00
7.5000000e-02,1.4406727e+00
8.0000000e-02,1.4364119e+00
8.5000000e-02,1.4321653e+00
9.0000000e-02,1.4279329e+00
9.5000000e-02,1.4237146e+00
1.0000000e-01,1.4195104e+00
1.0500000e-01,1.4153204e+00
1.1000000e-01,1.4111446e+00
1.1500000e-01,1.4069829e+00
1.2000000e-01,1.4028355e+00
1.2500000e-01,1.3987022e+00
1.3000000e-01,1.3945831e+00
1.3500000e-01,1.3904782e+00
1.4000000e-01,1.3863874e+00
1.4500000e-01,1.3823109e+00
1.5000000e-01,1.3782486e+00
1.5500000e-01,1.3742004e+00
1.6000000e-01,1.3701664e+00
1.6500000e-01,1.3661466e+00
1.7000000e-01,1.3621409e+00
1.7500000e-01,1.3581495e+00
1.8000000e-01,1.3541721e+00
1.8500000e-01,1.3502089e+00
1.9000000e-01,1.3462599e+00
1.9500000e-01,1.3423250e+00
2.0000000e-01,1.3384042e+00
2.0500000e-01,1.3344975e+00
2.1000000e-01,1.3306049e+00
2.1500000e-01,1.3267263e+00
2.2000000e-01,1.3228619e+00
2.2500000e-01,1.3190115e+00
2.3000000e-01,1.3151751e+00
2.3500000e-01,1.3113528e+00
2.4000000e-01,1.3075445e+00
2.4500000e-01,1.3037501e+00
2.5000000e-01,1.2999697e+00
2.5500000e-01,1.2962033e+00
2.6000000e-01,1.2924509e+00
2.6500000e-01,1.2887123e+00
2.7000000e-01,1.2849876e+00
2.7500000e-01,1.2812768e+00
2.8000000e-01,1.2775799e+00
2.8500000e-01,1.2738968e+00
2.9000000e-01,1.2702275e+00
2.9500000e-01,1.2665720e+00
3.0000000e-01,1.2629303e+00
3.0500000e-01,1.2593023e+00
3.1000000e-01,1.2556880e+00
3.1500000e-01,1.2520874e+00
3.2000000e-01,1.2485005e+00
3.2500000e-01,1.2449273e+00
3.3000000e-01,1.2413676e+00
3.3500000e-01,1.2378216e+00
3.4000000e-01,1.2342891e+00
3.4500000e-01,1.2307701e+00
3.5000000e-01,1.2272647e+00
3.5500000e-01,1.2237727e+00
3.6000000e-01,1.2202942e+00
3.6500000e-01,1.2168291e+00
3.7000000e-01,1.2133774e+00
3.7500000e-01,1.2099391e+00
3.8000000e-01,1.2065141e+00
3.8500000e-01,1.2031025e+00
3.9000000e-01,1.1997041e+00
3.9500000e-01,1.1963189e+00
4.0000000e-01,1.1929470e+00
4.0500000e-01,1.1895882e+00
4.1000000e-01,1.1862426e+00
4.1500000e-01,1.1829102e+00
4.2000000e-01,1.1795908e+00
4.2500000e-01,1.1762844e+00
4.3000000e-01,1.1729911e+00
4.3500000e-01,1.1697108e+00
4.4000000e-01,1.1664435e+00
4.4500000e-01,1.1631890e+00
4.5000000e-01,1.1599475e+00
4.5500000e-01,1.1567188e+00
4.6000000e-01,1.1535029e+00
4.6500000e-01,1.1502998e+00
4.7000000e-01,1.1471095e+00
4.7500000e-01,1.1439319e+00
4.8000000e-01,1.1407670e+00
