x,phi1(x)
0.0000000e+00,1.2525977e+00
5.0000000e-03,1.2519498e+00
1.0000000e-02,1.2512911e+00
1.5000000e-02,1.2506218e+00
2.0000000e-02,1.2499420e+00
2.5000000e-02,1.2492519e+00
3.0000000e-02,1.2485516e+00
3.5000000e-02,1.2478413e+00
4.0000000e-02,1.2471212e+00
4.5000000e-02,1.2463914e+00
5.0000000e-02,1.2456520e+00
5.5000000e-02,1.2449032e+00
6.0000000e-02,1.2441452e+00
6.5000000e-02,1.2433780e+00
7.0000000e-02,1.2426019e+00
7.5000000e-02,1.2418170e+00
8.0000000e-02,1.2410234e+00
8.5000000e-02,1.2402212e+00
9.0000000e-02,1.2394107e+00
9.5000000e-02,1.2385918e+00
1.0000000e-01,1.2377648e+00
1.0500000e-01,1.2369298e+00
1.1000000e-01,1.2360869e+00
1.1500000e-01,1.2352362e+00
1.2000000e-01,1.2343778e+00
1.2500000e-01,1.2335120e+00
1.3000000e-01,1.2326387e+00
1.3500000e-01,1.2317582e+00
1.4000000e-01,1.2308705e+00
1.4500000e-01,1.2299757e+00
1.5000000e-01,1.2290740e+00
1.5500000e-01,1.2281655e+00
1.6000000e-01,1.2272503e+00
1.6500000e-01,1.2263285e+00
1.7000000e-01,1.2254002e+00
1.7500000e-01,1.2244654e+00
1.8000000e-01,1.2235244e+00
1.8500000e-01,1.2225773e+00
1.9000000e-01,1.2216240e+00
1.9500000e-01,1.2206648e+00
2.0000000e-01,1.2196997e+00
2.0500000e-01,1.2187288e+00
2.1000000e-01,1.2177522e+00
2.1500000e-01,1.2167701e+00
2.2000000e-01,1.2157824e+00
2.2500000e-01,1.2147893e+00
2.3000000e-01,1.2137910e+00
2.3500000e-01,1.2127874e+00
2.4000000e-01,1.2117787e+00
2.4500000e-01,1.2107649e+00
2.5000000e-01,1.2097462e+00
2.5500000e-01,1.2087226e+00
2.6000000e-01,1.2076942e+00
2.6500000e-01,1.2066611e+00
2.7000000e-01,1.2056234e+00
2.7500000e-01,1.2045812e+00
2.8000000e-01,1.2035344e+00
2.8500000e-01,1.2024834e+00
2.9000000e-01,1.2014279e+00
2.9500000e-01,1.2003683e+00
3.0000000e-01,1.1993045e+00
3.0500000e-01,1.1982367e+00
3.1000000e-01,1.1971648e+00
3.1500000e-01,1.1960890e+00
3.2000000e-01,1.1950093e+00
3.2500000e-01,1.1939259e+00
3.3000000e-01,1.1928387e+00
3.3500000e-01,1.1917479e+00
3.4000000e-01,1.1906534e+00
3.4500000e-01,1.1895555e+00
3.5000000e-01,1.1884541e+00
3.5500000e-01,1.1873493e+00
3.6000000e-01,1.1862412e+00
3.6500000e-01,1.1851299e+00
3.7000000e-01,1.1840153e+00
3.7500000e-01,1.1828976e+00
3.8000000e-01,1.1817769e+00
3.8500000e-01,1.1806531e+00
3.9000000e-01,1.1795263e+00
3.9500000e-01,1.1783967e+00
4.0000000e-01,1.1772642e+00
4.0500000e-01,1.1761289e+00
4.1000000e-01,1.1749910e+00
4.1500000e-01,1.1738503e+00
4.2000000e-01,1.1727070e+00
4.2500000e-01,1.1715611e+00
4.3000000e-01,1.1704128e+00
4.3500000e-01,1.1692620e+00
4.4000000e-01,1.1681087e+00
4.4500000e-01,1.1669532e+00
4.5000000e-01,1.1657953e+00
4.5500000e-01,1.1646351e+00
4.6000000e-01,1.1634728e+00
4.6500000e-01,1.1623083e+00
4.7000000e-01,1.1611416e+00
4.7500000e-01,1.1599730e+00
4.8000000e-01,1.1588022e+00
4.8500000e-01,1.1576296e+00
4.9000000e-01,1.1564550e+00
4.9500000e-01,1.1552785e+00
5.0000000e-01,1.1541001e+00
5.0500000e-01,1.1529200e+00
5.1000000e-01,1.1517382e+00
5.1500000e-01,1.1505546e+00
5.2000000e-01,1.1493693e+00
5.2500000e-01,1.1481824e+00
5.3000000e-01,1.1469940e+00
5.3500000e-01,1.1458040e+00
5.4000000e-01,1.1446124e+00
5.4500000e-01,1.1434195e+00
5.5000000e-01,1.1422250e+00
5.5500000e-01,1.1410292e+00
5.6000000e-01,1.1398321e+00
5.6500000e-01,1.1386336e+00
5.7000000e-01,1.1374338e+00
