distance,flux0,varflux0,flux1,varflux1
1.275000,0.694787,0.120311,0.014304,0.005725
1.285000,0.692872,0.120879,0.014264,0.005708
1.295000,0.690992,0.121422,0.014191,0.005666
1.305000,0.686933,0.121164,0.014147,0.005644
1.315000,0.685042,0.121706,0.014107,0.005625
1.325000,0.683161,0.122239,0.014069,0.005608
1.335000,0.681287,0.122768,0.014022,0.005589
1.345000,0.679409,0.123296,0.013979,0.005569
1.355000,0.677512,0.123821,0.013914,0.005526
1.365000,0.675607,0.124343,0.013884,0.005509
1.375000,0.673728,0.124860,0.013853,0.005504
1.385000,0.671885,0.125343,0.013794,0.005466
1.395000,0.670060,0.125822,0.013758,0.005452
1.405000,0.666138,0.125434,0.013695,0.005416
1.415000,0.664334,0.125885,0.013639,0.005383
1.425000,0.662521,0.126350,0.013598,0.005369
1.435000,0.660676,0.126821,0.013549,0.005342
1.445000,0.658832,0.127280,0.013523,0.005330
1.455000,0.657039,0.127725,0.013495,0.005325
1.465000,0.655240,0.128163,0.013461,0.005311
1.475000,0.653453,0.128593,0.013407,0.005283
1.485000,0.651641,0.129024,0.013368,0.005257
1.495000,0.649829,0.129459,0.013327,0.005238
1.505000,0.645941,0.128988,0.013306,0.005228
1.515000,0.644164,0.129397,0.013275,0.005215
1.525000,0.642412,0.129795,0.013236,0.005195
1.535000,0.640673,0.130179,0.013198,0.005171
1.545000,0.638915,0.130574,0.013162,0.005158
1.555000,0.637169,0.130956,0.013102,0.005122
1.565000,0.635397,0.131342,0.013062,0.005098
1.575000,0.633679,0.131707,0.013019,0.005076
1.585000,0.631938,0.132072,0.012992,0.005063
1.595000,0.630191,0.132441,0.012967,0.005056
1.605000,0.626413,0.131873,0.012920,0.005030
1.615000,0.624686,0.132227,0.012862,0.004999
1.625000,0.622951,0.132576,0.012815,0.004971
1.635000,0.621254,0.132912,0.012771,0.004948
1.645000,0.619550,0.133244,0.012723,0.004920
1.655000,0.617851,0.133575,0.012685,0.004903
1.665000,0.616144,0.133902,0.012648,0.004886
1.675000,0.614465,0.134218,0.012595,0.004858
1.685000,0.612791,0.134526,0.012554,0.004836
1.695000,0.611115,0.134831,0.012519,0.004823
1.705000,0.607422,0.134179,0.012470,0.004796
1.715000,0.605744,0.134480,0.012427,0.004775
1.725000,0.604072,0.134770,0.012387,0.004752
1.735000,0.602438,0.135053,0.012347,0.004738
1.745000,0.600782,0.135337,0.012301,0.004713
1.755000,0.599130,0.135614,0.012258,0.004689
1.765000,0.597490,0.135889,0.012217,0.004671
1.775000,0.595873,0.136151,0.012170,0.004650
1.785000,0.594225,0.136415,0.012131,0.004628
1.795000,0.592612,0.136668,0.012093,0.004613
1.805000,0.588968,0.135948,0.012056,0.004591
1.815000,0.587341,0.136199,0.012026,0.004578
1.825000,0.585743,0.136441,0.011999,0.004572
1.835000,0.584156,0.136676,0.011959,0.004552
1.845000,0.582532,0.136915,0.011914,0.004522
1.855000,0.580924,0.137148,0.011894,0.004517
1.865000,0.579330,0.137377,0.011867,0.004508
1.875000,0.577768,0.137591,0.011827,0.004489
1.885000,0.576187,0.137807,0.011781,0.004463
1.895000,0.574618,0.138017,0.011736,0.004436
1.905000,0.571063,0.137227,0.011699,0.004419
1.915000,0.569526,0.137422,0.011648,0.004395
1.925000,0.567986,0.137612,0.011585,0.004357
1.935000,0.566427,0.137810,0.011548,0.004338
1.945000,0.564864,0.138003,0.011517,0.004323
1.955000,0.563298,0.138196,0.011486,0.004311
1.965000,0.561750,0.138383,0.011467,0.004308
1.975000,0.560239,0.138556,0.011420,0.004284
1.985000,0.558699,0.138730,0.011378,0.004259
1.995000,0.557186,0.138897,0.011351,0.004250
2.005000,0.553721,0.138039,0.011321,0.004238
2.015000,0.552200,0.138204,0.011293,0.004227
2.025000,0.550709,0.138360,0.011246,0.004201
2.035000,0.549196,0.138514,0.011214,0.004181
2.045000,0.547688,0.138668,0.011197,0.004179
2.055000,0.546206,0.138811,0.011175,0.004168
2.065000,0.544727,0.138950,0.011148,0.004156
2.075000,0.543243,0.139092,0.011120,0.004144
2.085000,0.541769,0.139224,0.011083,0.004123
2.095000,0.540294,0.139355,0.011048,0.004106
2.105000,0.536913,0.138443,0.011003,0.004083
2.115000,0.535456,0.138564,0.010965,0.004063
2.125000,0.534009,0.138677,0.010931,0.004044
2.135000,0.532569,0.138792,0.010895,0.004027
2.145000,0.531116,0.138903,0.010880,0.004019
2.155000,0.529676,0.139016,0.010864,0.004020
2.165000,0.528217,0.139124,0.010852,0.004013
2.175000,0.526780,0.139231,0.010849,0.004018
2.185000,0.525350,0.139333,0.010815,0.004000
2.195000,0.523907,0.139432,0.010781,0.003979
2.205000,0.520602,0.138468,0.010756,0.003963
2.215000,0.519201,0.138556,0.010731,0.003953
2.225000,0.517783,0.138644,0.010706,0.003939
2.235000,0.516394,0.138723,0.010675,0.003922
2.245000,0.514984,0.138806,0.010651,0.003909
2.255000,0.513584,0.138889,0.010632,0.003904
2.265000,0.512206,0.138958,0.010594,0.003880
2.275000,0.510828,0.139029,0.010545,0.003854
2.285000,0.509461,0.139093,0.010495,0.003824
2.295000,0.508099,0.139153,0.010460,0.003807
2.305000,0.504858,0.138150,0.010420,0.003786
2.315000,0.503502,0.138205,0.010391,0.003771
2.325000,0.502143,0.138261,0.010365,0.003762
2.335000,0.500800,0.138311,0.010333,0.003746
2.345000,0.499462,0.138360,0.010298,0.003729
2.355000,0.498119,0.138406,0.010248,0.003704
2.365000,0.496780,0.138445,0.010215,0.003685
2.375000,0.495447,0.138487,0.010199,0.003684
2.385000,0.494122,0.138524,0.010170,0.003672
2.395000,0.492794,0.138562,0.010147,0.003661
2.405000,0.489619,0.137517,0.010129,0.003655
2.415000,0.488304,0.137549,0.010108,0.003650
2.425000,0.486987,0.137576,0.010078,0.003633
2.435000,0.485667,0.137603,0.010049,0.003618
2.445000,0.484375,0.137624,0.010016,0.003600
2.455000,0.483074,0.137644,0.009999,0.003594
2.465000,0.481776,0.137661,0.009973,0.003583
2.475000,0.480490,0.137676,0.009951,0.003573
2.485000,0.479216,0.137688,0.009919,0.003556
2.495000,0.477914,0.137705,0.009883,0.003538
2.505000,0.474825,0.136624,0.009849,0.003519
2.515000,0.473551,0.136629,0.009817,0.003505
2.525000,0.472286,0.136632,0.009781,0.003486
2.535000,0.471013,0.136634,0.009751,0.003469
2.545000,0.469752,0.136632,0.009723,0.003456
2.555000,0.468497,0.136629,0.009697,0.003446
2.565000,0.467228,0.136629,0.009665,0.003433
2.575000,0.465974,0.136619,0.009627,0.003409
2.585000,0.464710,0.136614,0.009620,0.003413
2.595000,0.463462,0.136602,0.009604,0.003405
2.605000,0.460448,0.135493,0.009581,0.003396
2.615000,0.459212,0.135474,0.009558,0.003383
2.625000,0.457990,0.135456,0.009537,0.003376
2.635000,0.456774,0.135435,0.009509,0.003364
2.645000,0.455561,0.135412,0.009478,0.003347
2.655000,0.454339,0.135387,0.009456,0.003335
2.665000,0.453121,0.135364,0.009439,0.003329
2.675000,0.451925,0.135335,0.009403,0.003310
2.685000,0.450716,0.135305,0.009363,0.003289
2.695000,0.449529,0.135271,0.009331,0.003271
2.705000,0.446569,0.134140,0.009318,0.003268
2.715000,0.445373,0.134100,0.009296,0.003255
2.725000,0.444178,0.134067,0.009276,0.003250
2.735000,0.442999,0.134024,0.009247,0.003233
2.745000,0.441843,0.133982,0.009226,0.003229
2.755000,0.440651,0.133939,0.009202,0.003215
2.765000,0.439465,0.133895,0.009186,0.003210
2.775000,0.438293,0.133850,0.009169,0.003201
2.785000,0.437134,0.133801,0.009146,0.003190
2.795000,0.435965,0.133753,0.009131,0.003185
2.805000,0.433074,0.132596,0.009104,0.003170
2.815000,0.431908,0.132540,0.009095,0.003167
2.825000,0.430739,0.132489,0.009097,0.003172
2.835000,0.429607,0.132434,0.009065,0.003157
2.845000,0.428464,0.132373,0.009041,0.003141
2.855000,0.427334,0.132313,0.009020,0.003130
2.865000,0.426197,0.132253,0.008992,0.003117
2.875000,0.425074,0.132190,0.008959,0.003098
2.885000,0.423943,0.132124,0.008942,0.003090
2.895000,0.422810,0.132062,0.008923,0.003081
2.905000,0.419982,0.130889,0.008900,0.003068
2.915000,0.418873,0.130820,0.008864,0.003048
2.925000,0.417772,0.130746,0.008852,0.003041
2.935000,0.416680,0.130675,0.008825,0.003031
2.945000,0.415573,0.130600,0.008793,0.003014
2.955000,0.414488,0.130527,0.008760,0.003000
2.965000,0.413390,0.130451,0.008735,0.002987
2.975000,0.412322,0.130371,0.008697,0.002967
2.985000,0.411236,0.130297,0.008656,0.002950
2.995000,0.410159,0.130214,0.008609,0.002923
3.005000,0.407402,0.129024,0.008586,0.002912
3.015000,0.406311,0.128942,0.008580,0.002914
3.025000,0.405254,0.128857,0.008565,0.002909
3.035000,0.404187,0.128775,0.008544,0.002904
3.045000,0.403120,0.128687,0.008511,0.002884
3.055000,0.402053,0.128601,0.008489,0.002876
3.065000,0.401011,0.128513,0.008459,0.002865
3.075000,0.399981,0.128420,0.008419,0.002841
3.085000,0.398931,0.128329,0.008398,0.002834
3.095000,0.397897,0.128236,0.008371,0.002821
3.105000,0.395200,0.127039,0.008348,0.002811
3.115000,0.394162,0.126943,0.008327,0.002802
3.125000,0.393144,0.126848,0.008304,0.002792
3.135000,0.392111,0.126748,0.008288,0.002785
3.145000,0.391100,0.126651,0.008284,0.002789
3.155000,0.390078,0.126552,0.008266,0.002781
3.165000,0.389058,0.126454,0.008244,0.002772
3.175000,0.388044,0.126352,0.008228,0.002764
3.185000,0.387009,0.126251,0.008201,0.002749
3.195000,0.385990,0.126149,0.008178,0.002739
3.205000,0.383361,0.124945,0.008153,0.002728
3.215000,0.382343,0.124837,0.008134,0.002718
3.225000,0.381341,0.124730,0.008123,0.002714
3.235000,0.380342,0.124625,0.008115,0.002714
3.245000,0.379359,0.124517,0.008086,0.002698
3.255000,0.378359,0.124407,0.008075,0.002692
3.265000,0.377366,0.124297,0.008081,0.002698
3.275000,0.376377,0.124189,0.008071,0.002697
3.285000,0.375395,0.124078,0.008052,0.002688
3.295000,0.374414,0.123967,0.008020,0.002672
3.305000,0.371827,0.122753,0.008000,0.002659
3.315000,0.370863,0.122639,0.007973,0.002647
3.325000,0.369905,0.122523,0.007948,0.002631
3.335000,0.368941,0.122408,0.007935,0.002628
3.345000,0.367988,0.122290,0.007912,0.002615
3.355000,0.367032,0.122175,0.007897,0.002609
3.365000,0.366094,0.122057,0.007870,0.002593
3.375000,0.365142,0.121938,0.007860,0.002590
3.385000,0.364200,0.121820,0.007837,0.002580
3.395000,0.363234,0.121700,0.007817,0.002568
3.405000,0.360715,0.120486,0.007802,0.002561
3.415000,0.359798,0.120364,0.007783,0.002554
3.425000,0.358883,0.120241,0.007752,0.002539
3.435000,0.357941,0.120119,0.007747,0.002539
3.445000,0.357018,0.119995,0.007725,0.002528
3.455000,0.356114,0.119871,0.007693,0.002511
3.465000,0.355171,0.119748,0.007674,0.002501
3.475000,0.354255,0.119623,0.007654,0.002491
3.485000,0.353344,0.119497,0.007630,0.002482
3.495000,0.352435,0.119370,0.007609,0.002473
3.505000,0.349988,0.118155,0.007594,0.002467
3.515000,0.349084,0.118025,0.007567,0.002452
3.525000,0.348169,0.117896,0.007559,0.002450
3.535000,0.347276,0.117768,0.007543,0.002445
3.545000,0.346381,0.117639,0.007535,0.002444
3.555000,0.345493,0.117509,0.007505,0.002430
3.565000,0.344617,0.117378,0.007481,0.002418
3.575000,0.343727,0.117246,0.007460,0.002406
3.585000,0.342851,0.117115,0.007450,0.002404
3.595000,0.341969,0.116984,0.007432,0.002398
3.605000,0.339562,0.115768,0.007417,0.002389
3.615000,0.338699,0.115635,0.007402,0.002383
3.625000,0.337825,0.115499,0.007391,0.002378
3.635000,0.336945,0.115366,0.007391,0.002384
3.645000,0.336089,0.115234,0.007366,0.002370
3.655000,0.335228,0.115098,0.007344,0.002357
3.665000,0.334371,0.114963,0.007326,0.002348
3.675000,0.333508,0.114827,0.007304,0.002338
3.685000,0.332663,0.114692,0.007277,0.002324
3.695000,0.331816,0.114555,0.007260,0.002317
3.705000,0.329482,0.113344,0.007248,0.002313
3.715000,0.328634,0.113206,0.007232,0.002306
3.725000,0.327781,0.113066,0.007216,0.002298
3.735000,0.326936,0.112927,0.007204,0.002293
3.745000,0.326099,0.112789,0.007192,0.002289
3.755000,0.325268,0.112650,0.007178,0.002283
3.765000,0.324460,0.112514,0.007159,0.002277
3.775000,0.323640,0.112373,0.007123,0.002255
3.785000,0.322803,0.112233,0.007106,0.002249
3.795000,0.321988,0.112092,0.007089,0.002240
3.805000,0.319702,0.110886,0.007077,0.002236
3.815000,0.318888,0.110747,0.007059,0.002230
3.825000,0.318082,0.110603,0.007025,0.002209
3.835000,0.317282,0.110463,0.007009,0.002204
3.845000,0.316478,0.110321,0.006988,0.002195
3.855000,0.315679,0.110179,0.006969,0.002186
3.865000,0.314881,0.110038,0.006954,0.002179
3.875000,0.314086,0.109897,0.006936,0.002173
3.885000,0.313292,0.109755,0.006917,0.002166
3.895000,0.312508,0.109611,0.006899,0.002156
3.905000,0.310270,0.108412,0.006883,0.002149
3.915000,0.309477,0.108267,0.006878,0.002150
3.925000,0.308692,0.108122,0.006864,0.002145
3.935000,0.307904,0.107978,0.006849,0.002138
3.945000,0.307139,0.107835,0.006837,0.002134
3.955000,0.306367,0.107692,0.006820,0.002127
3.965000,0.305586,0.107545,0.006805,0.002118
3.975000,0.304810,0.107402,0.006789,0.002113
3.985000,0.304040,0.107256,0.006778,0.002107
3.995000,0.303264,0.107112,0.006763,0.002100
4.005000,0.301086,0.105921,0.006741,0.002089
4.015000,0.300318,0.105774,0.006732,0.002086
4.025000,0.299558,0.105628,0.006716,0.002078
4.035000,0.298805,0.105482,0.006705,0.002074
4.045000,0.298058,0.105337,0.006684,0.002067
4.055000,0.297312,0.105189,0.006668,0.002058
4.065000,0.296574,0.105043,0.006654,0.002052
4.075000,0.295833,0.104899,0.006637,0.002045
4.085000,0.295099,0.104752,0.006623,0.002039
4.095000,0.294359,0.104608,0.006595,0.002027
4.105000,0.292204,0.103423,0.006578,0.002017
4.115000,0.291473,0.103276,0.006567,0.002013
4.125000,0.290739,0.103129,0.006553,0.002006
4.135000,0.290006,0.102981,0.006548,0.002005
4.145000,0.289294,0.102837,0.006524,0.001995
4.155000,0.288570,0.102690,0.006511,0.001990
4.165000,0.287851,0.102543,0.006500,0.001984
4.175000,0.287134,0.102396,0.006489,0.001980
4.185000,0.286432,0.102252,0.006471,0.001973
4.195000,0.285729,0.102104,0.006451,0.001962
4.205000,0.283634,0.100932,0.006441,0.001958
4.215000,0.282932,0.100785,0.006424,0.001951
4.225000,0.282226,0.100635,0.006423,0.001951
4.235000,0.281527,0.100491,0.006418,0.001953
4.245000,0.280839,0.100343,0.006386,0.001934
4.255000,0.280126,0.100194,0.006391,0.001936
4.265000,0.279428,0.100049,0.006389,0.001938
4.275000,0.278742,0.099902,0.006377,0.001932
4.285000,0.278058,0.099757,0.006363,0.001926
4.295000,0.277384,0.099611,0.006332,0.001910
4.305000,0.275332,0.098450,0.006311,0.001899
4.315000,0.274650,0.098303,0.006288,0.001889
4.325000,0.273968,0.098153,0.006259,0.001873
4.335000,0.273284,0.098006,0.006256,0.001873
4.345000,0.272604,0.097860,0.006246,0.001871
4.355000,0.271932,0.097713,0.006235,0.001865
4.365000,0.271273,0.097567,0.006222,0.001861
4.375000,0.270614,0.097422,0.006209,0.001857
4.385000,0.269942,0.097276,0.006190,0.001849
4.395000,0.269279,0.097129,0.006172,0.001839
4.405000,0.267271,0.095979,0.006169,0.001837
4.415000,0.266605,0.095831,0.006176,0.001844
4.425000,0.265962,0.095685,0.006167,0.001841
4.435000,0.265308,0.095540,0.006159,0.001838
4.445000,0.264651,0.095393,0.006140,0.001828
4.455000,0.263980,0.095243,0.006133,0.001825
4.465000,0.263346,0.095099,0.006116,0.001818
4.475000,0.262701,0.094953,0.006095,0.001807
4.485000,0.262063,0.094808,0.006075,0.001797
4.495000,0.261420,0.094661,0.006056,0.001787
4.505000,0.259460,0.093526,0.006053,0.001787
4.515000,0.258830,0.093380,0.006048,0.001788
4.525000,0.258202,0.093234,0.006023,0.001775
4.535000,0.257562,0.093087,0.006017,0.001774
4.545000,0.256923,0.092939,0.006012,0.001771
4.555000,0.256288,0.092792,0.006016,0.001773
4.565000,0.255666,0.092649,0.006004,0.001770
4.575000,0.255034,0.092503,0.005989,0.001763
4.585000,0.254415,0.092360,0.005965,0.001751
4.595000,0.253795,0.092214,0.005943,0.001738
4.605000,0.251877,0.091092,0.005930,0.001732
4.615000,0.251261,0.090946,0.005916,0.001726
4.625000,0.250636,0.090798,0.005904,0.001721
4.635000,0.250027,0.090655,0.005897,0.001720
4.645000,0.249421,0.090510,0.005888,0.001715
4.655000,0.248814,0.090367,0.005881,0.001715
4.665000,0.248227,0.090225,0.005865,0.001707
4.675000,0.247618,0.090081,0.005850,0.001700
4.685000,0.247016,0.089935,0.005843,0.001696
4.695000,0.246428,0.089795,0.005827,0.001690
4.705000,0.244550,0.088687,0.005815,0.001684
4.715000,0.243963,0.088544,0.005796,0.001675
4.725000,0.243359,0.088399,0.005786,0.001671
4.735000,0.242774,0.088256,0.005767,0.001662
4.745000,0.242181,0.088113,0.005753,0.001658
4.755000,0.241600,0.087970,0.005734,0.001649
4.765000,0.241022,0.087828,0.005722,0.001645
4.775000,0.240434,0.087684,0.005712,0.001640
4.785000,0.239852,0.087543,0.005709,0.001643
4.795000,0.239271,0.087400,0.005690,0.001634
4.805000,0.237446,0.086310,0.005676,0.001628
4.815000,0.236869,0.086167,0.005663,0.001623
4.825000,0.236297,0.086024,0.005649,0.001616
4.835000,0.235736,0.085884,0.005642,0.001614
4.845000,0.235168,0.085742,0.005636,0.001612
4.855000,0.234599,0.085601,0.005637,0.001615
4.865000,0.234035,0.085459,0.005633,0.001612
4.875000,0.233473,0.085319,0.005623,0.001606
4.885000,0.232903,0.085178,0.005624,0.001607
4.895000,0.232353,0.085040,0.005617,0.001606
4.905000,0.230561,0.083965,0.005597,0.001596
4.915000,0.229998,0.083823,0.005584,0.001589
4.925000,0.229447,0.083684,0.005561,0.001577
4.935000,0.228905,0.083546,0.005544,0.001568
4.945000,0.228370,0.083409,0.005522,0.001558
4.955000,0.227826,0.083270,0.005509,0.001552
4.965000,0.227288,0.083133,0.005496,0.001548
4.975000,0.226738,0.082993,0.005489,0.001546
4.985000,0.226205,0.082857,0.005468,0.001537
4.995000,0.225661,0.082717,0.005464,0.001537
5.005000,0.223896,0.081656,0.005467,0.001539
5.015000,0.223362,0.081518,0.005453,0.001533
5.025000,0.222820,0.081378,0.005447,0.001531
5.035000,0.222293,0.081242,0.005436,0.001527
5.045000,0.221766,0.081106,0.005429,0.001524
5.055000,0.221242,0.080970,0.005417,0.001518
5.065000,0.220721,0.080835,0.005410,0.001515
5.075000,0.220205,0.080702,0.005401,0.001513
5.085000,0.219678,0.080565,0.005381,0.001502
5.095000,0.219165,0.080430,0.005371,0.001497
5.105000,0.217441,0.079386,0.005366,0.001497
5.115000,0.216929,0.079249,0.005349,0.001486
5.125000,0.216408,0.079114,0.005346,0.001487
5.135000,0.215885,0.078977,0.005349,0.001489
5.145000,0.215374,0.078843,0.005343,0.001487
5.155000,0.214856,0.078707,0.005341,0.001485
5.165000,0.214351,0.078576,0.005335,0.001483
5.175000,0.213850,0.078445,0.005319,0.001476
5.185000,0.213344,0.078311,0.005309,0.001470
5.195000,0.212840,0.078178,0.005289,0.001462
5.205000,0.211166,0.077151,0.005262,0.001447
5.215000,0.210664,0.077017,0.005251,0.001443
5.225000,0.210168,0.076884,0.005239,0.001438
5.235000,0.209672,0.076752,0.005233,0.001439
5.245000,0.209185,0.076622,0.005221,0.001434
5.255000,0.208700,0.076491,0.005214,0.001431
5.265000,0.208209,0.076360,0.005207,0.001429
5.275000,0.207718,0.076229,0.005197,0.001425
5.285000,0.207228,0.076098,0.005188,0.001420
5.295000,0.206744,0.075968,0.005174,0.001414
5.305000,0.205100,0.074958,0.005163,0.001410
5.315000,0.204619,0.074827,0.005157,0.001408
5.325000,0.204143,0.074699,0.005142,0.001402
5.335000,0.203672,0.074570,0.005130,0.001395
5.345000,0.203197,0.074441,0.005122,0.001391
5.355000,0.202724,0.074314,0.005115,0.001391
5.365000,0.202261,0.074187,0.005097,0.001382
5.375000,0.201778,0.074056,0.005090,0.001380
5.385000,0.201310,0.073930,0.005083,0.001379
5.395000,0.200850,0.073804,0.005071,0.001374
5.405000,0.199243,0.072811,0.005063,0.001370
5.415000,0.198781,0.072684,0.005048,0.001363
5.425000,0.198321,0.072558,0.005044,0.001363
5.435000,0.197860,0.072430,0.005032,0.001356
5.445000,0.197399,0.072305,0.005027,0.001355
5.455000,0.196944,0.072180,0.005029,0.001357
5.465000,0.196491,0.072055,0.005017,0.001352
5.475000,0.196031,0.071929,0.005014,0.001351
5.485000,0.195579,0.071805,0.005005,0.001346
5.495000,0.195126,0.071680,0.005004,0.001346
5.505000,0.193559,0.070706,0.004984,0.001338
5.515000,0.193114,0.070581,0.004972,0.001331
5.525000,0.192672,0.070459,0.004948,0.001321
5.535000,0.192231,0.070336,0.004930,0.001313
5.545000,0.191800,0.070215,0.004922,0.001310
5.555000,0.191359,0.070093,0.004911,0.001305
5.565000,0.190923,0.069972,0.004901,0.001303
5.575000,0.190485,0.069850,0.004887,0.001298
