distance,flux0,varflux0,flux1,varflux1
1.275000,0.719974,0.098810,0.051900,0.019922
1.285000,0.718573,0.099193,0.051793,0.019933
1.295000,0.717060,0.099610,0.051607,0.019839
1.305000,0.712849,0.099133,0.051663,0.019922
1.315000,0.711431,0.099519,0.051589,0.019918
1.325000,0.709926,0.099953,0.051377,0.019830
1.335000,0.708548,0.100309,0.050757,0.019407
1.345000,0.707153,0.100675,0.050398,0.019231
1.355000,0.705682,0.101067,0.050306,0.019169
1.365000,0.704232,0.101468,0.050136,0.019166
1.375000,0.702739,0.101871,0.050075,0.019114
1.385000,0.701275,0.102268,0.049986,0.019133
1.395000,0.699827,0.102646,0.049686,0.018933
1.405000,0.695654,0.102118,0.049588,0.018937
1.415000,0.694267,0.102463,0.049501,0.018909
1.425000,0.692881,0.102805,0.049369,0.018819
1.435000,0.691452,0.103171,0.049388,0.018905
1.445000,0.690066,0.103531,0.049187,0.018833
1.455000,0.688711,0.103850,0.048871,0.018614
1.465000,0.687302,0.104205,0.048711,0.018548
1.475000,0.685975,0.104511,0.048357,0.018333
1.485000,0.684512,0.104887,0.048191,0.018240
1.495000,0.683157,0.105210,0.048019,0.018137
1.505000,0.679154,0.104565,0.047743,0.017995
1.515000,0.677773,0.104892,0.047813,0.018051
1.525000,0.676493,0.105179,0.047551,0.017969
1.535000,0.675066,0.105518,0.047557,0.017946
1.545000,0.673795,0.105798,0.047517,0.017979
1.555000,0.672467,0.106103,0.047250,0.017818
1.565000,0.671187,0.106374,0.046872,0.017586
1.575000,0.669830,0.106680,0.046696,0.017521
1.585000,0.668529,0.106964,0.046584,0.017515
1.595000,0.667244,0.107228,0.046357,0.017347
1.605000,0.663283,0.106543,0.046162,0.017288
1.615000,0.661937,0.106829,0.046129,0.017254
1.625000,0.660607,0.107134,0.046140,0.017346
1.635000,0.659209,0.107442,0.046539,0.017535
1.645000,0.657995,0.107695,0.046524,0.017608
1.655000,0.656741,0.107947,0.046339,0.017488
1.665000,0.655408,0.108226,0.046066,0.017300
1.675000,0.654082,0.108502,0.045861,0.017202
1.685000,0.652787,0.108762,0.045853,0.017175
1.695000,0.651465,0.109049,0.045797,0.017167
1.705000,0.647603,0.108283,0.045786,0.017158
1.715000,0.646408,0.108508,0.045423,0.016915
1.725000,0.645150,0.108739,0.045222,0.016797
1.735000,0.643945,0.108965,0.045102,0.016781
1.745000,0.642673,0.109210,0.045062,0.016722
1.755000,0.641483,0.109433,0.044756,0.016594
1.765000,0.640254,0.109653,0.044482,0.016403
1.775000,0.639040,0.109867,0.044355,0.016340
1.785000,0.637823,0.110092,0.044327,0.016378
1.795000,0.636592,0.110318,0.044122,0.016258
1.805000,0.632818,0.109489,0.043965,0.016167
1.815000,0.631669,0.109678,0.043785,0.016088
1.825000,0.630462,0.109885,0.043665,0.016037
1.835000,0.629314,0.110070,0.043501,0.015948
1.845000,0.628199,0.110247,0.043266,0.015867
1.855000,0.626986,0.110452,0.042979,0.015662
1.865000,0.625824,0.110649,0.042754,0.015619
1.875000,0.624619,0.110849,0.042584,0.015520
1.885000,0.623396,0.111061,0.042421,0.015411
1.895000,0.622184,0.111267,0.042444,0.015447
1.905000,0.618465,0.110409,0.042578,0.015583
1.915000,0.617390,0.110559,0.042372,0.015490
1.925000,0.616254,0.110735,0.042139,0.015361
1.935000,0.615074,0.110918,0.042156,0.015368
1.945000,0.613926,0.111096,0.042230,0.015421
1.955000,0.612774,0.111278,0.042069,0.015377
1.965000,0.611676,0.111431,0.041962,0.015299
1.975000,0.610482,0.111626,0.042022,0.015359
1.985000,0.609309,0.111806,0.041845,0.015232
1.995000,0.608193,0.111973,0.041740,0.015181
2.005000,0.604608,0.111049,0.041563,0.015078
2.015000,0.603385,0.111231,0.041408,0.014945
2.025000,0.602288,0.111383,0.041394,0.015028
2.035000,0.601126,0.111545,0.041352,0.014993
2.045000,0.600017,0.111699,0.041240,0.014967
2.055000,0.598896,0.111863,0.041018,0.014847
2.065000,0.597810,0.111998,0.040989,0.014789
2.075000,0.596727,0.112138,0.040702,0.014635
2.085000,0.595652,0.112273,0.040463,0.014503
2.095000,0.594602,0.112394,0.040129,0.014375
2.105000,0.591070,0.111437,0.039998,0.014317
2.115000,0.589978,0.111569,0.039849,0.014223
2.125000,0.588885,0.111703,0.039808,0.014257
2.135000,0.587831,0.111840,0.039771,0.014264
2.145000,0.586751,0.111963,0.039534,0.014087
2.155000,0.585741,0.112085,0.039360,0.014063
2.165000,0.584636,0.112219,0.039229,0.013947
2.175000,0.583513,0.112362,0.039369,0.014024
2.185000,0.582467,0.112488,0.039548,0.014183
2.195000,0.581420,0.112603,0.039550,0.014158
2.205000,0.577903,0.111635,0.039453,0.014109
2.215000,0.576843,0.111756,0.039429,0.014085
2.225000,0.575753,0.111889,0.039213,0.013976
2.235000,0.574778,0.111981,0.038850,0.013780
2.245000,0.573682,0.112102,0.038740,0.013707
2.255000,0.572671,0.112200,0.038592,0.013658
2.265000,0.571648,0.112303,0.038542,0.013626
2.275000,0.570624,0.112413,0.038492,0.013629
2.285000,0.569562,0.112534,0.038357,0.013550
2.295000,0.568544,0.112637,0.038263,0.013506
2.305000,0.565088,0.111640,0.038053,0.013401
2.315000,0.564042,0.111741,0.037920,0.013314
2.325000,0.562986,0.111853,0.037929,0.013352
2.335000,0.562038,0.111919,0.037893,0.013323
2.345000,0.561116,0.112001,0.037886,0.013391
2.355000,0.560081,0.112094,0.037766,0.013256
2.365000,0.559114,0.112181,0.037761,0.013295
2.375000,0.558140,0.112254,0.037679,0.013250
2.385000,0.557119,0.112356,0.037641,0.013223
2.395000,0.556149,0.112443,0.037438,0.013134
2.405000,0.552791,0.111397,0.037360,0.013075
2.415000,0.551766,0.111486,0.037303,0.013049
2.425000,0.550823,0.111559,0.037172,0.013000
2.435000,0.549862,0.111637,0.036971,0.012900
2.445000,0.548890,0.111713,0.036675,0.012723
2.455000,0.547913,0.111793,0.036383,0.012558
2.465000,0.546973,0.111862,0.036225,0.012506
2.475000,0.546007,0.111937,0.035900,0.012321
2.485000,0.545076,0.112002,0.035774,0.012255
2.495000,0.544137,0.112081,0.035620,0.012196
2.505000,0.540794,0.111029,0.035369,0.012043
2.515000,0.539837,0.111100,0.035357,0.012076
2.525000,0.538923,0.111152,0.035343,0.012102
2.535000,0.537986,0.111211,0.035301,0.012111
2.545000,0.536990,0.111292,0.035179,0.012104
2.555000,0.536116,0.111335,0.035207,0.012148
2.565000,0.535215,0.111391,0.034985,0.012023
2.575000,0.534291,0.111447,0.034708,0.011852
2.585000,0.533361,0.111501,0.034668,0.011860
2.595000,0.532456,0.111555,0.034695,0.011942
2.605000,0.529225,0.110471,0.034681,0.011975
2.615000,0.528264,0.110533,0.034549,0.011863
2.625000,0.527338,0.110583,0.034668,0.011926
2.635000,0.526451,0.110636,0.034713,0.012000
2.645000,0.525543,0.110678,0.034561,0.011876
2.655000,0.524685,0.110718,0.034476,0.011854
2.665000,0.523772,0.110768,0.034437,0.011827
2.675000,0.522856,0.110827,0.034493,0.011887
2.685000,0.521981,0.110871,0.034319,0.011768
2.695000,0.521082,0.110908,0.034093,0.011606
2.705000,0.517838,0.109824,0.033970,0.011537
2.715000,0.516930,0.109870,0.034063,0.011611
2.725000,0.516057,0.109913,0.033879,0.011523
2.735000,0.515183,0.109947,0.033713,0.011431
2.745000,0.514306,0.109982,0.033451,0.011310
2.755000,0.513437,0.110020,0.033334,0.011246
2.765000,0.512578,0.110057,0.033263,0.011187
2.775000,0.511695,0.110094,0.033249,0.011192
2.785000,0.510814,0.110137,0.033286,0.011268
2.795000,0.509985,0.110161,0.033105,0.011168
2.805000,0.506815,0.109060,0.032865,0.011025
2.815000,0.505923,0.109100,0.032788,0.010992
2.825000,0.505058,0.109124,0.032605,0.010878
2.835000,0.504185,0.109166,0.032608,0.010904
2.845000,0.503307,0.109203,0.032651,0.010937
2.855000,0.502440,0.109232,0.032563,0.010882
2.865000,0.501614,0.109255,0.032535,0.010901
2.875000,0.500755,0.109290,0.032420,0.010841
2.885000,0.499909,0.109326,0.032259,0.010763
2.895000,0.499112,0.109343,0.032022,0.010585
2.905000,0.496030,0.108224,0.031964,0.010566
2.915000,0.495186,0.108247,0.031933,0.010570
2.925000,0.494338,0.108272,0.031975,0.010596
2.935000,0.493500,0.108294,0.031962,0.010609
2.945000,0.492708,0.108316,0.031768,0.010531
2.955000,0.491877,0.108326,0.031523,0.010349
2.965000,0.491089,0.108340,0.031440,0.010390
2.975000,0.490274,0.108352,0.031234,0.010267
2.985000,0.489458,0.108363,0.031070,0.010201
2.995000,0.488687,0.108377,0.030969,0.010175
3.005000,0.485603,0.107261,0.030792,0.010065
3.015000,0.484777,0.107278,0.030692,0.010044
3.025000,0.483972,0.107284,0.030627,0.009994
3.035000,0.483163,0.107295,0.030725,0.010075
3.045000,0.482411,0.107296,0.030654,0.010073
3.055000,0.481580,0.107309,0.030854,0.010181
3.065000,0.480843,0.107312,0.030927,0.010260
3.075000,0.480102,0.107313,0.030846,0.010225
3.085000,0.479363,0.107313,0.030599,0.010088
3.095000,0.478532,0.107320,0.030550,0.010002
3.105000,0.475499,0.106198,0.030562,0.010037
3.115000,0.474685,0.106208,0.030559,0.010028
3.125000,0.473945,0.106202,0.030503,0.010016
3.135000,0.473142,0.106210,0.030417,0.009968
3.145000,0.472339,0.106215,0.030406,0.009949
3.155000,0.471557,0.106216,0.030310,0.009924
3.165000,0.470827,0.106209,0.030169,0.009867
3.175000,0.470023,0.106219,0.030139,0.009839
3.185000,0.469256,0.106229,0.030009,0.009760
3.195000,0.468511,0.106227,0.029867,0.009658
3.205000,0.465545,0.105087,0.029788,0.009621
3.215000,0.464741,0.105093,0.029790,0.009626
3.225000,0.464026,0.105084,0.029655,0.009594
3.235000,0.463222,0.105089,0.029560,0.009541
3.245000,0.462507,0.105078,0.029506,0.009515
3.255000,0.461708,0.105089,0.029527,0.009526
3.265000,0.460934,0.105090,0.029467,0.009485
3.275000,0.460230,0.105079,0.029176,0.009327
3.285000,0.459463,0.105079,0.029014,0.009227
3.295000,0.458705,0.105076,0.028970,0.009242
3.305000,0.455728,0.103943,0.028989,0.009259
3.315000,0.455052,0.103922,0.028868,0.009218
3.325000,0.454341,0.103911,0.028735,0.009178
3.335000,0.453604,0.103902,0.028636,0.009128
3.345000,0.452868,0.103891,0.028579,0.009079
3.355000,0.452180,0.103877,0.028509,0.009072
3.365000,0.451488,0.103857,0.028409,0.009044
3.375000,0.450792,0.103841,0.028282,0.008964
3.385000,0.450099,0.103827,0.028281,0.008995
3.395000,0.449368,0.103813,0.028273,0.008979
3.405000,0.446484,0.102672,0.028359,0.009024
3.415000,0.445789,0.102660,0.028358,0.009070
3.425000,0.445067,0.102643,0.028240,0.008961
3.435000,0.444409,0.102624,0.028162,0.008964
3.445000,0.443717,0.102605,0.027977,0.008838
3.455000,0.442969,0.102591,0.028046,0.008855
3.465000,0.442262,0.102576,0.028075,0.008894
3.475000,0.441588,0.102563,0.028051,0.008909
3.485000,0.440899,0.102545,0.027890,0.008827
3.495000,0.440196,0.102528,0.027822,0.008756
3.505000,0.437329,0.101388,0.027913,0.008821
3.515000,0.436628,0.101368,0.027827,0.008798
3.525000,0.435977,0.101341,0.027639,0.008689
