distance,flux0,varflux0,flux1,varflux1
1.275000,0.790188,0.064090,0.071903,0.026281
1.285000,0.788989,0.064501,0.071708,0.026267
1.295000,0.787793,0.064896,0.071413,0.026058
1.305000,0.783413,0.064691,0.071409,0.026120
1.315000,0.782243,0.065080,0.071372,0.026138
1.325000,0.781016,0.065509,0.071373,0.026130
1.335000,0.779880,0.065882,0.071142,0.026043
1.345000,0.778699,0.066272,0.070589,0.025589
1.355000,0.777501,0.066674,0.070586,0.025609
1.365000,0.776359,0.067044,0.070626,0.025723
1.375000,0.775197,0.067414,0.070770,0.025782
1.385000,0.773979,0.067821,0.070892,0.025876
1.395000,0.772841,0.068199,0.070907,0.025971
1.405000,0.768374,0.068019,0.070584,0.025637
1.415000,0.767217,0.068393,0.070595,0.025679
1.425000,0.766084,0.068745,0.070195,0.025387
1.435000,0.764950,0.069104,0.070132,0.025386
1.445000,0.763816,0.069456,0.070052,0.025347
1.455000,0.762643,0.069832,0.070271,0.025487
1.465000,0.761566,0.070155,0.069986,0.025338
1.475000,0.760374,0.070540,0.069666,0.025098
1.485000,0.759194,0.070910,0.069376,0.024875
1.495000,0.758022,0.071287,0.069076,0.024792
1.505000,0.753689,0.070998,0.068936,0.024665
1.515000,0.752592,0.071327,0.068903,0.024687
1.525000,0.751431,0.071691,0.068903,0.024714
1.535000,0.750291,0.072042,0.068909,0.024710
1.545000,0.749197,0.072363,0.068946,0.024756
1.555000,0.748096,0.072691,0.068903,0.024749
1.565000,0.746936,0.073049,0.068706,0.024575
1.575000,0.745826,0.073366,0.068514,0.024444
1.585000,0.744723,0.073690,0.068479,0.024486
1.595000,0.743611,0.074014,0.068209,0.024338
1.605000,0.739340,0.073663,0.068059,0.024179
1.615000,0.738207,0.073999,0.068189,0.024339
1.625000,0.737117,0.074314,0.067966,0.024263
1.635000,0.736039,0.074624,0.067565,0.024038
1.645000,0.734947,0.074932,0.067228,0.023805
1.655000,0.733816,0.075257,0.067107,0.023713
1.665000,0.732706,0.075580,0.067038,0.023734
1.675000,0.731590,0.075895,0.066932,0.023631
1.685000,0.730506,0.076199,0.066961,0.023678
1.695000,0.729382,0.076520,0.066996,0.023722
1.705000,0.725128,0.076153,0.066844,0.023622
1.715000,0.724045,0.076451,0.066942,0.023683
1.725000,0.722954,0.076760,0.066868,0.023676
1.735000,0.721871,0.077052,0.066706,0.023518
1.745000,0.720747,0.077380,0.066830,0.023643
1.755000,0.719724,0.077634,0.066518,0.023386
1.765000,0.718630,0.077938,0.066781,0.023599
1.775000,0.717567,0.078220,0.066964,0.023696
1.785000,0.716508,0.078505,0.066669,0.023481
1.795000,0.715425,0.078794,0.066455,0.023298
1.805000,0.711252,0.078368,0.066192,0.023200
1.815000,0.710208,0.078629,0.066056,0.023045
1.825000,0.709167,0.078898,0.066028,0.023032
1.835000,0.708100,0.079181,0.065892,0.022971
1.845000,0.706996,0.079490,0.065837,0.022961
1.855000,0.705923,0.079763,0.065522,0.022733
1.865000,0.704855,0.080049,0.065230,0.022609
1.875000,0.703798,0.080323,0.064864,0.022391
1.885000,0.702721,0.080596,0.064726,0.022311
1.895000,0.701595,0.080901,0.064787,0.022400
1.905000,0.697500,0.080405,0.064942,0.022493
1.915000,0.696460,0.080661,0.064885,0.022486
1.925000,0.695448,0.080912,0.064680,0.022434
1.935000,0.694453,0.081148,0.064505,0.022329
1.945000,0.693386,0.081420,0.064241,0.022161
1.955000,0.692337,0.081690,0.063796,0.021936
1.965000,0.691324,0.081923,0.063237,0.021558
1.975000,0.690260,0.082190,0.062992,0.021497
1.985000,0.689207,0.082443,0.062642,0.021332
1.995000,0.688182,0.082692,0.062642,0.021415
2.005000,0.684188,0.082131,0.062433,0.021308
2.015000,0.683163,0.082377,0.062090,0.021121
2.025000,0.682144,0.082618,0.061725,0.020924
2.035000,0.681154,0.082844,0.061358,0.020777
2.045000,0.680112,0.083095,0.061266,0.020761
2.055000,0.679084,0.083337,0.060965,0.020664
2.065000,0.678057,0.083584,0.061044,0.020779
2.075000,0.677013,0.083826,0.060906,0.020670
2.085000,0.676069,0.084024,0.060877,0.020702
2.095000,0.675063,0.084253,0.060869,0.020747
2.105000,0.671044,0.083696,0.060966,0.020833
2.115000,0.670071,0.083908,0.061023,0.020874
2.125000,0.669071,0.084134,0.060829,0.020774
2.135000,0.668109,0.084341,0.060697,0.020672
2.145000,0.667091,0.084576,0.060756,0.020716
2.155000,0.666166,0.084765,0.060363,0.020504
2.165000,0.665168,0.084980,0.060507,0.020544
2.175000,0.664196,0.085185,0.060562,0.020572
2.185000,0.663200,0.085402,0.060796,0.020726
2.195000,0.662203,0.085621,0.060862,0.020786
2.205000,0.658332,0.084975,0.060665,0.020640
2.215000,0.657334,0.085190,0.060801,0.020682
2.225000,0.656426,0.085371,0.060590,0.020596
2.235000,0.655455,0.085577,0.060328,0.020432
2.245000,0.654416,0.085811,0.060132,0.020272
2.255000,0.653461,0.086001,0.060150,0.020267
2.265000,0.652522,0.086186,0.060095,0.020263
2.275000,0.651559,0.086379,0.060177,0.020281
2.285000,0.650647,0.086562,0.059805,0.020152
2.295000,0.649678,0.086756,0.059460,0.019951
2.305000,0.645809,0.086099,0.059229,0.019784
2.315000,0.644876,0.086282,0.058880,0.019610
2.325000,0.643917,0.086477,0.058650,0.019477
2.335000,0.642982,0.086653,0.058678,0.019494
2.345000,0.642009,0.086857,0.058762,0.019580
2.355000,0.641076,0.087037,0.058732,0.019561
2.365000,0.640086,0.087240,0.058634,0.019507
2.375000,0.639124,0.087426,0.058867,0.019658
2.385000,0.638193,0.087600,0.058848,0.019665
2.395000,0.637297,0.087769,0.058556,0.019577
2.405000,0.633456,0.087087,0.057942,0.019136
2.415000,0.632489,0.087274,0.057757,0.019051
2.425000,0.631577,0.087446,0.057855,0.019164
2.435000,0.630601,0.087633,0.057913,0.019149
2.445000,0.629698,0.087801,0.058054,0.019315
2.455000,0.628751,0.087981,0.058037,0.019271
2.465000,0.627827,0.088154,0.057875,0.019169
2.475000,0.626862,0.088341,0.057794,0.019129
2.485000,0.625917,0.088513,0.057529,0.018941
2.495000,0.624956,0.088693,0.057561,0.018940
2.505000,0.621227,0.087966,0.057533,0.018949
2.515000,0.620338,0.088117,0.057321,0.018847
2.525000,0.619403,0.088281,0.057308,0.018828
2.535000,0.618480,0.088440,0.057520,0.018932
2.545000,0.617562,0.088614,0.057489,0.018985
2.555000,0.616670,0.088760,0.057307,0.018833
2.565000,0.615796,0.088905,0.057101,0.018725
2.575000,0.614837,0.089082,0.056941,0.018600
2.585000,0.613949,0.089224,0.056921,0.018554
2.595000,0.613005,0.089395,0.057132,0.018682
2.605000,0.609314,0.088639,0.057154,0.018722
2.615000,0.608421,0.088791,0.056862,0.018591
2.625000,0.607530,0.088939,0.056543,0.018389
2.635000,0.606657,0.089076,0.056266,0.018221
2.645000,0.605772,0.089214,0.055949,0.018050
2.655000,0.604852,0.089374,0.056008,0.018168
2.665000,0.603983,0.089511,0.055536,0.017899
2.675000,0.603091,0.089649,0.055147,0.017631
2.685000,0.602257,0.089775,0.055282,0.017779
2.695000,0.601375,0.089910,0.055126,0.017694
2.705000,0.597724,0.089136,0.055135,0.017775
2.715000,0.596854,0.089264,0.055034,0.017679
2.725000,0.595983,0.089406,0.054972,0.017695
2.735000,0.595095,0.089541,0.054907,0.017614
2.745000,0.594249,0.089666,0.055022,0.017735
2.755000,0.593346,0.089811,0.054989,0.017712
2.765000,0.592504,0.089930,0.055162,0.017817
2.775000,0.591600,0.090074,0.055173,0.017819
2.785000,0.590815,0.090180,0.054839,0.017651
2.795000,0.589962,0.090302,0.054483,0.017422
2.805000,0.586328,0.089504,0.054217,0.017222
2.815000,0.585477,0.089633,0.054414,0.017407
2.825000,0.584651,0.089747,0.054255,0.017340
2.835000,0.583800,0.089867,0.053946,0.017169
2.845000,0.582977,0.089977,0.053643,0.017013
2.855000,0.582127,0.090093,0.053613,0.016978
2.865000,0.581269,0.090227,0.053545,0.017019
2.875000,0.580446,0.090327,0.053208,0.016766
2.885000,0.579623,0.090437,0.053251,0.016835
2.895000,0.578754,0.090566,0.053345,0.016907
2.905000,0.575217,0.089739,0.053179,0.016862
2.915000,0.574388,0.089847,0.052784,0.016645
2.925000,0.573546,0.089961,0.052611,0.016536
2.935000,0.572708,0.090083,0.052523,0.016551
2.945000,0.571871,0.090191,0.052230,0.016359
2.955000,0.571003,0.090316,0.052060,0.016301
2.965000,0.570191,0.090419,0.052000,0.016310
2.975000,0.569366,0.090519,0.051764,0.016169
2.985000,0.568570,0.090618,0.051609,0.016160
2.995000,0.567746,0.090728,0.051639,0.016198
3.005000,0.564195,0.089902,0.051599,0.016154
3.015000,0.563408,0.089992,0.051555,0.016116
3.025000,0.562553,0.090100,0.051793,0.016231
3.035000,0.561769,0.090199,0.051765,0.016295
3.045000,0.560936,0.090305,0.051644,0.016206
3.055000,0.560062,0.090428,0.051682,0.016211
3.065000,0.559296,0.090521,0.051575,0.016187
3.075000,0.558440,0.090630,0.051054,0.015848
3.085000,0.557637,0.090721,0.050959,0.015788
3.095000,0.556833,0.090821,0.051199,0.015939
3.105000,0.553307,0.089984,0.051141,0.015929
3.115000,0.552568,0.090055,0.050987,0.015884
3.125000,0.551743,0.090153,0.050859,0.015784
3.135000,0.550955,0.090242,0.050897,0.015832
3.145000,0.550165,0.090326,0.050707,0.015738
3.155000,0.549366,0.090415,0.050493,0.015652
3.165000,0.548582,0.090500,0.050536,0.015707
3.175000,0.547805,0.090580,0.050462,0.015626
3.185000,0.547046,0.090659,0.050570,0.015718
3.195000,0.546217,0.090758,0.050678,0.015739
3.205000,0.542763,0.089902,0.050868,0.015912
3.215000,0.541996,0.089979,0.050247,0.015509
3.225000,0.541223,0.090056,0.049974,0.015344
3.235000,0.540491,0.090124,0.049711,0.015235
3.245000,0.539725,0.090197,0.049576,0.015132
3.255000,0.538996,0.090265,0.049409,0.015077
3.265000,0.538252,0.090334,0.049172,0.014973
3.275000,0.537486,0.090408,0.049044,0.014921
3.285000,0.536718,0.090484,0.049104,0.014979
3.295000,0.535970,0.090552,0.048956,0.014899
3.305000,0.532559,0.089674,0.049007,0.014973
3.315000,0.531821,0.089740,0.048980,0.014975
3.325000,0.531067,0.089816,0.048867,0.014940
3.335000,0.530296,0.089892,0.048489,0.014725
3.345000,0.529526,0.089967,0.048413,0.014668
3.355000,0.528747,0.090050,0.048335,0.014662
3.365000,0.527978,0.090123,0.048256,0.014622
3.375000,0.527226,0.090195,0.048215,0.014608
3.385000,0.526476,0.090264,0.048106,0.014565
3.395000,0.525741,0.090328,0.048096,0.014583
3.405000,0.522406,0.089422,0.047828,0.014440
3.415000,0.521628,0.089499,0.047724,0.014406
3.425000,0.520869,0.089566,0.047592,0.014331
3.435000,0.520148,0.089625,0.047484,0.014329
3.445000,0.519454,0.089678,0.047290,0.014268
3.455000,0.518713,0.089739,0.047020,0.014114
3.465000,0.517979,0.089800,0.046981,0.014106
3.475000,0.517225,0.089864,0.046723,0.013963
3.485000,0.516439,0.089947,0.046931,0.014149
3.495000,0.515740,0.089999,0.046760,0.014046
3.505000,0.512455,0.089082,0.046611,0.013937
3.515000,0.511699,0.089150,0.046542,0.013922
3.525000,0.510993,0.089205,0.046310,0.013817
3.535000,0.510246,0.089270,0.046136,0.013720
3.545000,0.509526,0.089321,0.046062,0.013676
3.555000,0.508777,0.089388,0.046080,0.013744
3.565000,0.508058,0.089441,0.045965,0.013687
3.575000,0.507343,0.089496,0.046053,0.013744
3.585000,0.506627,0.089551,0.045961,0.013720
