distance,flux
5.731937,0.000041
5.784957,0.000041
5.837976,0.000041
5.890995,0.000040
5.944015,0.000040
5.997034,0.000040
6.050054,0.000040
6.103073,0.000040
6.156093,0.000040
6.209112,0.000040
6.262131,0.000039
6.315151,0.000039
6.368170,0.000039
6.421190,0.000039
6.474209,0.000039
6.527228,0.000039
6.580248,0.000038
6.633267,0.000038
6.686287,0.000038
6.739306,0.000038
6.792326,0.000038
6.845345,0.000038
6.898364,0.000037
6.951384,0.000037
7.004403,0.000037
7.057423,0.000037
7.110442,0.000037
7.163461,0.000037
7.216481,0.000037
7.269500,0.000036
7.322520,0.000036
7.375539,0.000036
7.428558,0.000036
7.481578,0.000036
7.534597,0.000036
7.587617,0.000035
7.640636,0.000035
7.693656,0.000035
7.746675,0.000035
7.799694,0.000035
7.852714,0.000035
7.905733,0.000034
7.958753,0.000034
8.011772,0.000034
8.064791,0.000034
8.117811,0.000034
8.170830,0.000034
8.223850,0.000034
8.276869,0.000033
8.329888,0.000033
8.382908,0.000033
8.435927,0.000033
8.488947,0.000033
8.541966,0.000033
8.594986,0.000032
8.648005,0.000032
8.701024,0.000032
8.754044,0.000032
8.807063,0.000032
8.860083,0.000032
8.913102,0.000032
8.966121,0.000031
9.019141,0.000031
9.072160,0.000031
9.125180,0.000031
9.178199,0.000031
9.231219,0.000031
9.284238,0.000030
9.337257,0.000030
9.390277,0.000030
9.443296,0.000030
9.496316,0.000030
9.549335,0.000030
9.602354,0.000030
9.655374,0.000029
9.708393,0.000029
9.761413,0.000029
9.814432,0.000029
9.867451,0.000029
9.920471,0.000029
9.973490,0.000028
